location_district,location_area,agency,count,rank_no
"okres Čadca",Centrum,"TARGETreal s. r. o.",1,6
"okres Čadca",Centrum,"Safe reality s. r. o.",1,7
"okres Čadca",Centrum,"JPE. Reality - Jozef Pajer",1,8
"okres Čadca",Centrum,"BeMi realitná kancelária",1,9
"okres Čadca",Centrum,"MENÍME BÝVANIE",1,10
"okres Čadca",Centrum,"MGM reality",1,11
"okres Čadca",Centrum,"RECLOUD Reality a.s.",1,12
"okres Čadca",Centrum,"PhDr. Miloš Kocúr - BKM Consulting",1,13
"okres Čadca",Centrum,"B10 Slovensko, a. s.",1,14
"okres Čadca",Čierne,"AnReal s. r. o.",2,1
"okres Čadca",Čierne,"Realitné kancelárie SR",2,2
"okres Čadca",Čierne,Reality+,1,3
"okres Čadca",Čierne,"BeMi realitná kancelária",1,4
"okres Čadca",Čierne,"Safe reality s. r. o.",1,5
"okres Čadca",Čierne,"B10 Slovensko, a. s.",1,6
"okres Čadca",Čierne,"SLNOVRAT, s.r.o.",1,7
"okres Čadca",Čierne,"TARGETreal s. r. o.",1,8
"okres Čadca",Čierne,"TRI LIPY, s. r. o.",1,9
"okres Čadca","Dlhá nad Kysucou","WFG reality, s.r.o.",3,1
"okres Čadca","Dlhá nad Kysucou","MENÍME BÝVANIE",1,2
"okres Čadca","Dlhá nad Kysucou","Vianema s.r.o.",1,3
"okres Čadca","Dlhá nad Kysucou","HOLESTIAK.sk reality s.r.o.",1,4
"okres Čadca","Dlhá nad Kysucou","1. Reality Rent, s.r.o.",1,5
"okres Čadca",Dunajov,"ŽILINAREAL, s.r.o.",2,1
"okres Čadca",Dunajov,"WFG reality, s.r.o.",1,2
"okres Čadca",Dunajov,"RES GROUP, s.r.o.",1,3
"okres Čadca",Hlinené,"RK ANNA, s.r.o.",1,1
"okres Čadca",Hlinené,"HOLESTIAK.sk reality s.r.o.",1,2
"okres Čadca",Hlinené,"SLNOVRAT, s.r.o.",1,3
"okres Čadca",Horelica,"HOLESTIAK.sk reality s.r.o.",3,1
"okres Čadca",Horelica,"SLNOVRAT, s.r.o.",2,2
"okres Čadca",Horelica,"BeMi realitná kancelária",2,3
"okres Čadca",Horelica,"Vianema s.r.o.",1,4
"okres Čadca",Husárikovci,"1. Reality Rent, s.r.o.",1,1
"okres Čadca",Husárikovci,"BeMi realitná kancelária",1,2
"okres Čadca",Kalinov,"MGM reality",2,1
"okres Čadca",Kalinov,"1. Reality Rent, s.r.o.",2,2
"okres Čadca",Kalinov,"ETHOS reality, s. r. o.",1,3
"okres Čadca",Klokočov,"BeMi realitná kancelária",4,1
"okres Čadca",Klokočov,"1. Reality Rent, s.r.o.",2,2
"okres Čadca",Klokočov,"SLNOVRAT, s.r.o.",2,3
"okres Čadca",Klokočov,"Ing. Marcela Pišteková",1,4
"okres Čadca",Klokočov,"MG real, s.r.o.",1,5
"okres Čadca",Klokočov,"YNI reality",1,6
"okres Čadca",Klokočov,"Romantické Chalupy, s.r.o.",1,7
"okres Čadca",Klokočov,"Trioreality, s.r.o.",1,8
"okres Čadca",Klokočov,"HOLESTIAK.sk reality s.r.o.",1,9
"okres Čadca",Klokočov,"Realitné kancelárie SR",1,10
"okres Čadca",Klokočov,"Nové bývanie",1,11
"okres Čadca",Klokočov,"REAL21 Invest-consult, s.r.o.",1,12
"okres Čadca",Klokočov,"TRI LIPY, s. r. o.",1,13
"okres Čadca",Klubina,"Trioreality, s.r.o.",2,1
"okres Čadca",Korňa,"RECLOUD Reality a.s.",2,1
"okres Čadca",Korňa,"1. Reality Rent, s.r.o.",1,2
"okres Čadca",Korňa,"ETHOS reality, s. r. o.",1,3
"okres Čadca",Korňa,"TRI LIPY, s. r. o.",1,4
"okres Čadca",Korňa,"RIEŠIME BÝVANIE",1,5
"okres Čadca",Korňa,"Ing. Marcela Pišteková",1,6
"okres Čadca",Korňa,"SLNOVRAT, s.r.o.",1,7
"okres Čadca",Kyčerka,"1. Reality Rent, s.r.o.",2,1
"okres Čadca",Kyčerka,"SLNOVRAT, s.r.o.",2,2
"okres Čadca",Kyčerka,"Realitná kancelária",2,3
"okres Čadca",Kyčerka,"B10 Slovensko, a. s.",1,4
"okres Čadca",Kyčerka,"BeMi realitná kancelária",1,5
"okres Čadca",Kyčerka,"JPE. Reality - Jozef Pajer",1,6
"okres Čadca",Kyčerka,"Trioreality, s.r.o.",1,7
"okres Čadca",Kyzkovci,"HOLESTIAK.sk reality s.r.o.",1,1
"okres Čadca",Makov,"1. Reality Rent, s.r.o.",7,1
"okres Čadca",Makov,"AP REAL, s.r.o.",4,2
"okres Čadca",Makov,"SLNOVRAT, s.r.o.",2,3
"okres Čadca",Makov,"Ing. Gerlinda Bérešová - Esti",2,4
"okres Čadca",Makov,"BeMi realitná kancelária",1,5
"okres Čadca",Makov,"B10 Slovensko, a. s.",1,6
"okres Čadca",Makov,"SIERA realitná kancelária s.r.o.",1,7
"okres Čadca",Makov,"Realitná kancelária DOM",1,8
"okres Čadca",Makov,"Vianema s.r.o.",1,9
"okres Čadca",Makov,"Ing. Marcela Pišteková",1,10
"okres Čadca",Makov,"Apollo House",1,11
"okres Čadca",Makov,"TRI LIPY, s. r. o.",1,12
"okres Čadca",Milošová,"JPE. Reality - Jozef Pajer",2,1
"okres Čadca",Milošová,"TRI LIPY, s. r. o.",1,2
"okres Čadca",Milošová,"HOLESTIAK.sk reality s.r.o.",1,3
"okres Čadca",Milošová,"SLNOVRAT, s.r.o.",1,4
"okres Čadca","Nová Bystrica","RECLOUD Reality a.s.",1,1
"okres Čadca","Nová Bystrica","SLNOVRAT, s.r.o.",1,2
"okres Čadca","Nová Bystrica","1. Reality Rent, s.r.o.",1,3
"okres Čadca",Olešná,"1. Reality Rent, s.r.o.",3,1
"okres Čadca",Olešná,"RE/MAX Slovakia",1,2
"okres Čadca",Olešná,"RENOME REAL",1,3
"okres Čadca",Olešná,"JPE. Reality - Jozef Pajer",1,4
"okres Čadca",Olešná,"RK4 REALITY",1,5
"okres Čadca",Oščadnica,"SLNOVRAT, s.r.o.",6,1
"okres Čadca",Oščadnica,"1. Reality Rent, s.r.o.",6,2
"okres Čadca",Oščadnica,"HOLESTIAK.sk reality s.r.o.",3,3
"okres Čadca",Oščadnica,"Trioreality, s.r.o.",2,4
"okres Čadca",Oščadnica,"Nestor Capital s.r.o.",2,5
"okres Čadca",Oščadnica,"RE/MAX Slovakia",2,6
"okres Čadca",Oščadnica,"TRI LIPY, s. r. o.",2,7
"okres Čadca",Oščadnica,"MGM reality",2,8
"okres Čadca",Oščadnica,"VAŠE REALITY s.r.o.",1,9
"okres Čadca",Oščadnica,"NIKO-REAL, s.r.o.",1,10
"okres Čadca",Oščadnica,"Realitná kancelária",1,11
"okres Čadca",Oščadnica,RealityOne,1,12
"okres Čadca",Oščadnica,"JPE. Reality - Jozef Pajer",1,13
"okres Čadca",Oščadnica,"PhDr. Miloš Kocúr - BKM Consulting",1,14
"okres Čadca",Oščadnica,"Arvin & Benet",1,15
"okres Čadca",Oščadnica,"KING REAL s. r. o.",1,16
"okres Čadca",Oščadnica,"BeMi realitná kancelária",1,17
"okres Čadca",Oščadnica,"RS Mansory s.r.o.",1,18
"okres Čadca",Oščadnica,"TARGETreal s. r. o.",1,19
"okres Čadca",Oščadnica,"Realitné kancelárie SR",1,20
"okres Čadca",Podvysoká,"HALO reality, s.r.o.",1,1
"okres Čadca",Podvysoká,"BeMi realitná kancelária",1,2
"okres Čadca",Podvysoká,"Real Global",1,3
"okres Čadca",Podzávoz,"1. Reality Rent, s.r.o.",3,1
"okres Čadca",Podzávoz,"BeMi realitná kancelária",3,2
"okres Čadca",Podzávoz,"SLNOVRAT, s.r.o.",2,3
"okres Čadca",Podzávoz,"Realitka pre každého",1,4
"okres Čadca",Podzávoz,"JPE. Reality - Jozef Pajer",1,5
"okres Čadca",Predmier,"SLNOVRAT, s.r.o.",5,1
"okres Čadca",Predmier,"Reality Alpia",1,2
"okres Čadca",Predmier,"Ing. Marcela Pišteková",1,3
"okres Čadca",Predmier,"JPE. Reality - Jozef Pajer",1,4
"okres Čadca",Radôstka,"Realitná sieť UPgreat",1,1
"okres Čadca",Raková,"1. Reality Rent, s.r.o.",6,1
"okres Čadca",Raková,"SLNOVRAT, s.r.o.",5,2
"okres Čadca",Raková,"RS Mansory s.r.o.",3,3
"okres Čadca",Raková,"TRI LIPY, s. r. o.",3,4
"okres Čadca",Raková,"Wealth Group, s.r.o.",2,5
"okres Čadca",Raková,"JPE. Reality - Jozef Pajer",2,6
"okres Čadca",Raková,"MGM reality",1,7
"okres Čadca",Raková,"RECLOUD Reality a.s.",1,8
"okres Čadca",Raková,"Realitná kancelária",1,9
"okres Čadca",Raková,"ETHOS reality, s. r. o.",1,10
"okres Čadca",Raková,NajlepšíMakléri.sk,1,11
"okres Čadca",Raková,"BeMi realitná kancelária",1,12
"okres Čadca",Raková,"KUBALA REALITY, s.r.o.",1,13
"okres Čadca",Raková,"HOLESTIAK.sk reality s.r.o.",1,14
"okres Čadca",Rieka,"1. Reality Rent, s.r.o.",2,1
"okres Čadca",Rieka,"HOLESTIAK.sk reality s.r.o.",2,2
"okres Čadca",Rieka,"SLNOVRAT, s.r.o.",2,3
"okres Čadca",Rieka,"Reality Kopanice",1,4
"okres Čadca","Sídlisko 3","1. Reality Rent, s.r.o.",1,1
"okres Čadca",Skalité,"BeMi realitná kancelária",11,1
"okres Čadca",Skalité,"HOLESTIAK.sk reality s.r.o.",4,2
"okres Čadca",Skalité,"1. Reality Rent, s.r.o.",2,3
"okres Čadca",Skalité,"Realitná kancelária",1,4
"okres Čadca",Skalité,"TUreality s.r.o.",1,5
"okres Čadca",Skalité,"JPE. Reality - Jozef Pajer",1,6
"okres Čadca",Škrabákovci,"Realitné kancelárie SR",1,1
"okres Čadca","Stará Bystrica","BeMi realitná kancelária",2,1
"okres Čadca","Stará Bystrica","RES GROUP, s.r.o.",1,2
"okres Čadca","Stará Bystrica","Realitné kancelárie SR",1,3
"okres Čadca","Stará Bystrica","TRI LIPY, s. r. o.",1,4
"okres Čadca","Stará Bystrica","ADH-REAL s.r.o. Hirjaková Adriana",1,5
"okres Čadca",Staškov,"SLNOVRAT, s.r.o.",14,1
"okres Čadca",Staškov,"1. Reality Rent, s.r.o.",3,2
"okres Čadca",Staškov,"Safe reality s. r. o.",2,3
"okres Čadca",Staškov,"Direct Real, spol. s r.o.",1,4
"okres Čadca",Staškov,"PROFI INVEST družstvo",1,5
"okres Čadca",Staškov,"Trioreality, s.r.o.",1,6
"okres Čadca",Staškov,"HOLESTIAK.sk reality s.r.o.",1,7
"okres Čadca",Staškov,"BeMi realitná kancelária",1,8
"okres Čadca",Stred,"JPE. Reality - Jozef Pajer",3,1
"okres Čadca",Stred,"1. Reality Rent, s.r.o.",2,2
"okres Čadca",Stred,"HOLESTIAK.sk reality s.r.o.",2,3
"okres Čadca",Stred,"KUBALA REALITY, s.r.o.",2,4
"okres Čadca",Stred,"Reality IQ, s.r.o.",2,5
"okres Čadca",Stred,"SLNOVRAT, s.r.o.",2,6
"okres Čadca",Stred,"bezmaklérov, s.r.o.",1,7
"okres Čadca",Stred,"Safe reality s. r. o.",1,8
"okres Čadca",Stred,"REALITY SPOLU",1,9
"okres Čadca",Stred,"Wealth Group, s.r.o.",1,10
"okres Čadca",Stred,"Ing. Marcela Pišteková",1,11
"okres Čadca",Stred,"GAMA Reality, s.r.o.",1,12
"okres Čadca",Stred,OPENREALITY,1,13
"okres Čadca",Stred,"BeMi realitná kancelária",1,14
"okres Čadca",Svrčinovec,"1. Reality Rent, s.r.o.",3,1
"okres Čadca",Svrčinovec,"JPE. Reality - Jozef Pajer",2,2
"okres Čadca",Svrčinovec,"SLNOVRAT, s.r.o.",2,3
"okres Čadca",Svrčinovec,"BeMi realitná kancelária",2,4
"okres Čadca",Svrčinovec,"Reality IQ, s.r.o.",1,5
"okres Čadca",Svrčinovec,"HOLESTIAK.sk reality s.r.o.",1,6
"okres Čadca",Svrčinovec,"PhDr. Miloš Kocúr - BKM Consulting",1,7
"okres Čadca",Svrčinovec,"Romantické Chalupy, s.r.o.",1,8
"okres Čadca",Turkov,"Safe reality s. r. o.",1,1
"okres Čadca","U Hluška","B10 Slovensko, a. s.",1,1
"okres Čadca","U Hluška","Trioreality, s.r.o.",1,2
"okres Čadca","U Hluška","JPE. Reality - Jozef Pajer",1,3
"okres Čadca","U Hluška","WFG reality, s.r.o.",1,4
"okres Čadca","U Sneheľníka","ETHOS reality, s. r. o.",1,1
"okres Čadca","Vysoká nad Kysucou","Realitná kancelária",3,1
"okres Čadca","Vysoká nad Kysucou","Ing. Marcela Pišteková",2,2
"okres Čadca","Vysoká nad Kysucou","BeMi realitná kancelária",1,3
"okres Čadca","Vysoká nad Kysucou","SLNOVRAT, s.r.o.",1,4
"okres Čadca","Vysoká nad Kysucou","Stanislav Slovák",1,5
"okres Čadca",Zákopčie,"1. Reality Rent, s.r.o.",2,1
"okres Čadca",Zákopčie,"Ing. Marcela Pišteková",1,2
"okres Čadca",Zákopčie,"Romantické Chalupy, s.r.o.",1,3
"okres Čadca",Zákopčie,"Direct Real, spol. s r.o.",1,4
"okres Čadca",Zákopčie,"RK Finanz Real, s.r.o.",1,5
"okres Čadca",Zákopčie,"HOLESTIAK.sk reality s.r.o.",1,6
"okres Čadca",Zákopčie,"Realitná kancelária RED, s.r.o.",1,7
"okres Čadca",Žarec,"1. Reality Rent, s.r.o.",4,1
"okres Čadca",Žarec,"JPE. Reality - Jozef Pajer",2,2
"okres Čadca",Žarec,"KUBALA REALITY, s.r.o.",2,3
"okres Čadca",Žarec,"BeMi realitná kancelária",2,4
"okres Čadca",Žarec,"Renovo Reality",1,5
"okres Čadca",Žarec,"MENÍME BÝVANIE",1,6
"okres Čadca",Žarec,"Trioreality, s.r.o.",1,7
"okres Čadca",Žarec,"MGM reality",1,8
"okres Čadca",Žarec,"RIEŠIME BÝVANIE",1,9
"okres Čadca",Žarec,"Reality Alpia",1,10
"okres Čadca",Závodie,"B10 Slovensko, a. s.",1,1
"okres Čadca","Zborov nad Bystricou","ETHOS reality, s. r. o.",1,1
"okres Čadca","Zborov nad Bystricou","HOLESTIAK.sk reality s.r.o.",1,2
"okres Čadca","Zborov nad Bystricou","Wealth Group, s.r.o.",1,3
"okres Dolný Kubín",Banisko,"TUreality s.r.o.",1,1
"okres Dolný Kubín",Banisko,"OREA, s.r.o.",1,2
"okres Dolný Kubín",Brezovec,"FINREA - ak vám záleží na výsledku",8,1
"okres Dolný Kubín",Brezovec,"OREA, s.r.o.",7,2
"okres Dolný Kubín",Brezovec,"RK Dalmia s. r. o.",5,3
"okres Dolný Kubín",Brezovec,"ALT REAL, s.r.o.",1,4
"okres Dolný Kubín",Brezovec,"Bosen Group s.r.o.",1,5
"okres Dolný Kubín",Brezovec,"TUreality s.r.o.",1,6
"okres Dolný Kubín",Brezovec,"HD reality group s.r.o",1,7
"okres Dolný Kubín","Dlhá nad Oravou","OREA, s.r.o.",2,1
"okres Dolný Kubín","Dlhá nad Oravou","RE/MAX Slovakia",1,2
"okres Dolný Kubín","Dlhá nad Oravou","Bosen Group s.r.o.",1,3
"okres Dolný Kubín","Horná Lehota","OREA, s.r.o.",1,1
"okres Dolný Kubín",Istebné,"FINREA - ak vám záleží na výsledku",4,1
"okres Dolný Kubín",Istebné,"RK Dalmia s. r. o.",1,2
"okres Dolný Kubín",Istebné,"AstonReal s.r.o.",1,3
"okres Dolný Kubín",Jasenová,"OREA, s.r.o.",1,1
"okres Dolný Kubín",Jasenová,"FINREA - ak vám záleží na výsledku",1,2
"okres Dolný Kubín",Kraľovany,"AstonReal s.r.o.",2,1
"okres Dolný Kubín","Kubínska hoľa","OREA, s.r.o.",1,1
"okres Dolný Kubín","Kubínska hoľa","YNI reality",1,2
"okres Dolný Kubín",Leštiny,"FINREA - ak vám záleží na výsledku",3,1
"okres Dolný Kubín",Leštiny,"OREA, s.r.o.",1,2
"okres Dolný Kubín",Malatiná,"RK Dalmia s. r. o.",3,1
"okres Dolný Kubín",Malatiná,"OVERENÉ REALITY",1,2
"okres Dolný Kubín",Malatiná,"TUreality s.r.o.",1,3
"okres Dolný Kubín",Malatiná,"RAI COMPANY s.r.o.",1,4
"okres Dolný Kubín","Malý Bysterec","OREA, s.r.o.",2,1
"okres Dolný Kubín","Malý Bysterec","RK Dalmia s. r. o.",2,2
"okres Dolný Kubín","Malý Bysterec","RES GROUP, s.r.o.",1,3
"okres Dolný Kubín","Medzibrodie nad Oravou","OREA, s.r.o.",1,1
"okres Dolný Kubín",Medzihradné,"Reality BL, s.r.o.",1,1
"okres Dolný Kubín",Mokraď,"OREA, s.r.o.",7,1
"okres Dolný Kubín",Mokraď,"RK Dalmia s. r. o.",4,2
"okres Dolný Kubín",Mokraď,"FINREA - ak vám záleží na výsledku",1,3
"okres Dolný Kubín","Oravská Poruba","OREA, s.r.o.",1,1
"okres Dolný Kubín","Oravská Poruba","Georgi Conev",1,2
"okres Dolný Kubín","Oravská Poruba","FINREA - ak vám záleží na výsledku",1,3
"okres Dolný Kubín","Oravský Podzámok","RE/MAX Slovakia",2,1
"okres Dolný Kubín","Oravský Podzámok","RK Dalmia s. r. o.",1,2
"okres Dolný Kubín",Osádka,"Winners Reality Slovakia, s.r.o.",1,1
"okres Dolný Kubín",Osádka,"FINREA - ak vám záleží na výsledku",1,2
"okres Dolný Kubín",Párnica,"OREA, s.r.o.",2,1
"okres Dolný Kubín",Párnica,"TUreality s.r.o.",1,2
"okres Dolný Kubín",Párnica,"RE/MAX Slovakia",1,3
"okres Dolný Kubín",Párnica,"B10 Slovensko, a. s.",1,4
"okres Dolný Kubín",Párnica,"FINREA - ak vám záleží na výsledku",1,5
"okres Dolný Kubín",Párnica,"GRAVITAS a. s.",1,6
"okres Dolný Kubín",Párnica,donidDevelop,1,7
"okres Dolný Kubín",Pribiš,"OREA, s.r.o.",1,1
"okres Dolný Kubín",Pribiš,"LICITOR group, a.s.",1,2
"okres Dolný Kubín",Pucov,"BeMi realitná kancelária",1,1
"okres Dolný Kubín","Sedliacka Dubová","Realitné kancelárie SR",1,1
"okres Dolný Kubín",Stred,"OREA, s.r.o.",3,1
"okres Dolný Kubín",Stred,"RE/MAX Slovakia",2,2
"okres Dolný Kubín",Stred,"RK SPIRIT s.r.o.",2,3
"okres Dolný Kubín",Stred,"KES - RV s.r.o.",1,4
"okres Dolný Kubín",Stred,"Bosen Group s.r.o.",1,5
"okres Dolný Kubín",Stred,"RK Dalmia s. r. o.",1,6
"okres Dolný Kubín",Stred,"VAŠA REALITKA s.r.o.",1,7
"okres Dolný Kubín",Stred,"RK VILLEA, s. r. o.",1,8
"okres Dolný Kubín",Veličná,donidDevelop,2,1
"okres Dolný Kubín",Veličná,"OREA, s.r.o.",2,2
"okres Dolný Kubín",Veličná,"RK Dalmia s. r. o.",2,3
"okres Dolný Kubín",Veličná,"bezmaklérov, s.r.o.",1,4
"okres Dolný Kubín",Veličná,"FINREA - ak vám záleží na výsledku",1,5
"okres Dolný Kubín",Veličná,"AstonReal s.r.o.",1,6
"okres Dolný Kubín","Veľký Bysterec","FINREA - ak vám záleží na výsledku",4,1
"okres Dolný Kubín","Veľký Bysterec","OREA, s.r.o.",4,2
"okres Dolný Kubín","Veľký Bysterec","TUreality s.r.o.",3,3
"okres Dolný Kubín","Veľký Bysterec","AstonReal s.r.o.",2,4
"okres Dolný Kubín","Veľký Bysterec","RE/MAX Slovakia",1,5
"okres Dolný Kubín","Veľký Bysterec","RK Dalmia s. r. o.",1,6
"okres Dolný Kubín","Vyšný Kubín","RES GROUP, s.r.o.",2,1
"okres Dolný Kubín","Vyšný Kubín","RK Dalmia s. r. o.",1,2
"okres Dolný Kubín","Vyšný Kubín","OREA, s.r.o.",1,3
"okres Dolný Kubín","Vyšný Kubín","RK VILLEA, s. r. o.",1,4
"okres Dolný Kubín","Vyšný Kubín","ZRUBY RAJEC, s.r.o.",1,5
"okres Dolný Kubín",Záskalie,"OREA, s.r.o.",1,1
"okres Dolný Kubín",Záskalie,"VAŠA REALITKA s.r.o.",1,2
"okres Dolný Kubín",Záskalie,"FINREA - ak vám záleží na výsledku",1,3
"okres Dolný Kubín",Žaškov,"Bosen Group s.r.o.",1,1
"okres Dolný Kubín",Žaškov,"RK VILLEA, s. r. o.",1,2
"okres Dolný Kubín",Žaškov,"RK Dalmia s. r. o.",1,3
"okres Dolný Kubín",Žaškov,"Reality Alpia",1,4
"okres Dolný Kubín",Zázrivá,donidDevelop,2,1
"okres Dolný Kubín",Zázrivá,"RE/MAX Slovakia",2,2
"okres Dolný Kubín",Zázrivá,"TUreality s.r.o.",2,3
"okres Dolný Kubín",Zázrivá,"RK Dalmia s. r. o.",1,4
"okres Dolný Kubín",Zázrivá,"Reality Alpia",1,5
"okres Dolný Kubín",Zázrivá,"FINREA - ak vám záleží na výsledku",1,6
"okres Kysucké Nové Mesto","Budatínska Lehota","ŽILINAREAL, s.r.o.",1,1
"okres Kysucké Nové Mesto","Budatínska Lehota","HALO reality, s.r.o.",1,2
"okres Kysucké Nové Mesto","Budatínska Lehota","1. Reality Rent, s.r.o.",1,3
"okres Kysucké Nové Mesto","Budatínska Lehota","BeMi realitná kancelária",1,4
"okres Kysucké Nové Mesto","Dolný Vadičov","BR ACADEMY, s. r. o.",1,1
"okres Kysucké Nové Mesto","Dolný Vadičov","Realitné kancelárie SR",1,2
