location_district,location_area,property_type,condition,avg_price,avg_monthly_rent,PTR
"okres Liptovský Mikuláš","Vrbica - Nábrežie","2-room apartment","partially renovated",2439.333333,11.220000,18.1174489973
"okres Žilina",Vlčince,"studio apartment","new construction",4720.000000,19.140000,20.5503308952
"okres Žilina",Hájik,"2-room apartment","fully renovated",2741.770000,13.000000,17.5754487179
"okres Žilina",Vlčince,"3-room apartment","partially renovated",2454.285000,10.835000,18.8762113521
"okres Čadca",Žarec,"studio apartment","partially renovated",NULL,13.460000,NULL
"okres Žilina",Vlčince,"studio apartment","fully renovated",5452.265000,20.910000,21.7290969233
"okres Žilina",Solinky,"3-room apartment","partially renovated",2642.710000,10.430000,21.1146532438
"okres Čadca",Čierne,"3-room apartment","partially renovated",1644.740000,5.560000,24.6513788969
"okres Ružomberok","Staré mesto","4-room apartment","partially renovated",1890.550000,6.360000,24.7713574423
"okres Čadca",Centrum,"3-room apartment","fully renovated",1582.475000,8.250000,15.9845959596
"okres Čadca",Stred,"3-room apartment","partially renovated",1877.983333,9.080000,17.2355298550
"okres Liptovský Mikuláš",Palúdzka,"2-room apartment","new construction",3107.590000,13.125556,19.7298943628
"okres Bytča","Veľká Bytča","2-room apartment","fully renovated",2343.590000,11.395333,17.1385221184
"okres Martin",Košúty,"1-room apartment","fully renovated",3624.160000,14.810000,20.3925275715
"okres Martin",Priekopa,"2-room apartment","new construction",3472.220000,12.140000,23.8345689182
"okres Martin",Stred,"3-room apartment","fully renovated",3171.250000,7.648571,34.5516611316
"okres Martin",Jahodníky,"2-room apartment","fully renovated",2676.130000,9.825000,22.6983036472
"okres Liptovský Mikuláš",Palúdzka,"3-room apartment","partially renovated",1862.500000,9.040000,17.1690634218
"okres Žilina",Vlčince,"4-room apartment",unrenovated,2325.300000,8.930000,21.6993281075
"okres Kysucké Nové Mesto",Sídlisko,"2-room apartment","fully renovated",2588.830000,8.860000,24.3494168548
"okres Dolný Kubín",Stred,"2-room apartment","new construction",4112.410000,10.890000,31.4693143557
"okres Martin",Stred,"2-room apartment",unrenovated,2134.125000,7.690000,23.1266254876
"okres Martin",Záturčie,"1-room apartment","partially renovated",2895.650000,10.670000,22.6151983755
"okres Žilina","Staré mesto","1-room apartment","partially renovated",4715.450000,11.000000,35.7231060606
"okres Čadca",Kyčerka,"3-room apartment","fully renovated",2000.000000,8.910000,18.7055742611
"okres Ružomberok",Baničné,"2-room apartment","partially renovated",2481.480000,9.160000,22.5753275109
"okres Žilina",Trnové,house,"fully renovated",2500.000000,13.940000,14.9450023912
"okres Žilina","Teplička nad Váhom",house,"fully renovated",1863.020000,10.710000,14.4959539371
"okres Martin","Karvaša a Bláhovca",house,"new construction",260.000000,10.430000,2.0773410035
"okres Liptovský Mikuláš",Važec,house,"partially renovated",772.366000,3.900000,16.5035470085
"okres Žilina","Dolný Hričov",house,"new construction",NULL,6.095000,NULL
"okres Žilina","Staré mesto",house,"partially renovated",2055.085000,5.150000,33.2538025890
"okres Žilina",Závodie,house,"fully renovated",1772.080000,5.200000,28.3987179487
"okres Žilina",Bôrik,house,"partially renovated",1689.700000,0.030000,4693.6111111111
"okres Žilina",Bytčica,house,"new construction",1804.240000,8.000000,18.7941666667
"okres Bytča","Veľká Bytča",house,"new construction",3913.580000,9.720000,33.5526406036
"okres Námestovo",Stred,house,"new construction",NULL,8.670000,NULL
"okres Žilina","Staré mesto",house,"fully renovated",2025.545000,11.110000,15.1931068107
"okres Čadca",Čierne,house,unrenovated,1062.500000,3.130000,28.2880724175
"okres Martin",Sučany,house,"new construction",2228.215000,10.780000,17.2249149660
"okres Žilina",Višňové,house,"fully renovated",2918.415000,14.240000,17.0787394663
"okres Martin",Záturčie,house,"new construction",680.580000,2.990000,18.9682274247
"okres Námestovo","Oravská Polhora",house,"new construction",1078.220000,3.760000,23.8967198582
"okres Žilina","all district","3-room apartment","fully renovated",2889.718462,10.215484,23.5730261859
"okres Liptovský Mikuláš","all district","1-room apartment","new construction",4113.190000,14.140000,24.2408651579
"okres Martin","all district","3-room apartment","fully renovated",2109.253333,8.372000,20.9951159918
"okres Dolný Kubín","all district","3-room apartment",unrenovated,2270.982500,8.130000,23.2778034030
"okres Kysucké Nové Mesto","all district","2-room apartment","partially renovated",2282.426667,8.320000,22.8608440204
"okres Čadca","all district","3-room apartment","new construction",1845.970000,NULL,NULL
"okres Kysucké Nové Mesto","all district","1-room apartment","new construction",3728.340000,9.585000,32.4147104851
"okres Žilina","all district","3-room apartment","new construction",3174.402286,9.972000,26.5276297466
"okres Žilina","all district","4-room apartment","new construction",2968.784762,9.275000,26.6737175382
"okres Bytča","all district","2-room apartment","fully renovated",2763.730000,11.395333,20.2109787694
"okres Žilina","all district","3-room apartment","partially renovated",2360.442222,9.666667,20.3486391432
"okres Martin","all district","2-room apartment","fully renovated",2491.667778,9.944375,20.8800433914
"okres Liptovský Mikuláš","all district","2-room apartment","new construction",3530.526486,12.768571,23.0417750350
"okres Čadca","all district","2-room apartment","fully renovated",1826.004000,8.800000,17.2917045455
"okres Martin","all district","4-room apartment",unrenovated,1488.760000,7.000000,17.7233333333
"okres Martin","all district","3-room apartment","partially renovated",1871.712143,8.260000,18.8832944209
"okres Žilina","all district","3-room apartment",unrenovated,2338.332727,8.430000,23.1151910538
"okres Žilina","all district","2-room apartment","partially renovated",2872.318947,11.000000,21.7599920227
"okres Kysucké Nové Mesto","all district","2-room apartment","fully renovated",2525.256667,8.860000,23.7514735421
"okres Bytča","all district","2-room apartment","new construction",3041.110000,8.810000,28.7657018540
"okres Liptovský Mikuláš","all district","holiday apartment","new construction",5121.123393,15.480000,27.5684937177
"okres Žilina","all district","4-room apartment",unrenovated,2022.186667,8.930000,18.8707229097
"okres Liptovský Mikuláš","all district","1-room apartment","partially renovated",2184.735000,11.145000,16.3356886496
"okres Čadca","all district","2-room apartment","new construction",2014.910000,11.632000,14.4351071756
"okres Liptovský Mikuláš","all district","1-room apartment","fully renovated",2449.128333,14.194000,14.3788944448
"okres Čadca","all district","3-room apartment","fully renovated",1815.651667,9.294000,16.2797832562
"okres Martin","all district","4-room apartment","partially renovated",1960.471667,8.670000,18.8434416282
"okres Žilina","all district","2-room apartment","new construction",3561.193182,12.333889,24.0610320476
"okres Námestovo","all district","3-room apartment","new construction",1818.456000,5.735000,26.4233653008
"okres Martin","all district","2-room apartment",unrenovated,1925.425455,7.690000,20.8650352731
"okres Žilina","all district","1-room apartment","partially renovated",4218.820000,11.000000,31.9607575758
"okres Žilina","all district","2-room apartment",unrenovated,2585.128333,11.450000,18.8146166885
"okres Liptovský Mikuláš","all district","2-room apartment","fully renovated",2689.293333,10.602857,21.1365462865
"okres Martin","all district","2-room apartment","new construction",2847.854545,11.927857,19.8963830706
"okres Kysucké Nové Mesto","all district","2-room apartment",unrenovated,2111.785000,8.790000,20.0207148275
"okres Liptovský Mikuláš","all district","3-room apartment",unrenovated,1794.306250,6.880000,21.7333605862
"okres Ružomberok","all district","3-room apartment","partially renovated",1988.912000,NULL,NULL
"okres Liptovský Mikuláš","all district","3-room apartment","partially renovated",2084.653077,7.968000,21.8023456012
"okres Ružomberok","all district","2-room apartment","partially renovated",2183.822000,9.160000,19.8673762737
"okres Martin","all district","1-room apartment","partially renovated",2898.635000,11.815000,20.4445972634
"okres Martin","all district","3-room apartment","new construction",2471.873846,10.170000,20.2546201737
"okres Liptovský Mikuláš","all district","3-room apartment","fully renovated",2758.873333,9.955000,23.0945365227
"okres Martin","all district","1-room apartment","new construction",3375.320000,12.790000,21.9919207714
"okres Dolný Kubín","all district","studio apartment","new construction",3996.000000,18.180000,18.3168316832
"okres Čadca","all district","2-room apartment","partially renovated",1970.446667,12.500000,13.1363111133
"okres Martin","all district","4-room apartment","fully renovated",2229.071818,9.300000,19.9737618100
"okres Žilina","all district","2-room apartment","fully renovated",2955.898333,12.062353,20.4209627328
"okres Liptovský Mikuláš","all district","3-room apartment","new construction",3608.368889,6.550000,45.9080011323
"okres Liptovský Mikuláš","all district","2-room apartment",unrenovated,3059.835000,12.200000,20.9005122951
"okres Kysucké Nové Mesto","all district","3-room apartment","new construction",2572.368000,12.580000,17.0400635930
"okres Ružomberok","all district","3-room apartment","fully renovated",1972.633333,6.860000,23.9629899538
"okres Žilina","all district","1-room apartment","fully renovated",5000.000000,16.755000,24.8681985477
"okres Žilina","all district","2-room apartment","development project",5230.550000,12.670000,34.4024598790
"okres Dolný Kubín","all district","3-room apartment","fully renovated",2541.287500,9.720000,21.7874442730
"okres Žilina","all district","1-room apartment","new construction",4015.358125,15.858000,21.1005913156
"okres Martin","all district","2-room apartment","partially renovated",1886.342000,8.878889,17.7043734488
"okres Liptovský Mikuláš","all district","2-room apartment","partially renovated",2351.439000,10.155000,19.2962333826
"okres Martin","all district","1-room apartment","fully renovated",3315.735000,13.708889,20.1556267616
"okres Dolný Kubín","all district","2-room apartment","fully renovated",2629.365000,11.496000,19.0599991301
"okres Žilina","all district","4-room apartment","fully renovated",2473.201875,9.861250,20.9000031690
"okres Dolný Kubín","all district","2-room apartment","new construction",3896.190000,11.945000,27.1814566764
"okres Čadca","all district","3-room apartment","partially renovated",1920.963333,7.622000,21.0023980255
"okres Martin","all district","studio apartment",unrenovated,3080.000000,13.040000,19.6830265849
"okres Žilina","all district","studio apartment","fully renovated",4424.838000,20.910000,17.6344571975
"okres Dolný Kubín","all district","4-room apartment","fully renovated",2287.120000,8.530000,22.3438843298
"okres Liptovský Mikuláš","all district","holiday apartment","fully renovated",3384.775000,NULL,NULL
"okres Námestovo","all district","2-room apartment","fully renovated",2111.700000,8.590000,20.4860302678
"okres Žilina","all district","1-room apartment",unrenovated,3173.545000,11.400000,23.1984283626
"okres Ružomberok","all district","4-room apartment","partially renovated",1890.550000,6.360000,24.7713574423
"okres Liptovský Mikuláš","all district","4-room apartment","fully renovated",2814.925000,13.130000,17.8657336888
"okres Martin","all district","studio apartment","partially renovated",3750.000000,16.320000,19.1482843137
"okres Čadca","all district","1-room apartment","fully renovated",2796.610000,11.050000,21.0905731523
"okres Žilina","all district","studio apartment","new construction",4720.000000,20.330000,19.3474340056
"okres Čadca","all district","studio apartment","partially renovated",NULL,13.460000,NULL
"okres Dolný Kubín","all district","1-room apartment","partially renovated",2291.670000,13.460000,14.1881500743
"okres Bytča","all district","3-room apartment","new construction",2170.460000,9.645000,18.7528944185
"okres Dolný Kubín","all district","studio apartment","fully renovated",4820.710000,18.080000,22.2193491888
"okres Námestovo","all district","2-room apartment",unrenovated,2090.910000,6.720000,25.9289434524
"okres Martin","all district","studio apartment","fully renovated",3131.580000,13.762000,18.9627234414
"okres Bytča","all district","4-room apartment","fully renovated",1688.350000,12.430000,11.3190533655
"okres Dolný Kubín","all district","3-room apartment","partially renovated",1965.280000,8.305000,19.7198474814
"okres Čadca","all district","studio apartment","fully renovated",2130.000000,13.743333,12.9153532116
"okres Martin","all district",house,"fully renovated",1320.420000,0.100000,1100.3500000000
"okres Čadca","all district",house,"new construction",1790.622381,9.375000,15.9166433867
"okres Bytča","all district",house,"new construction",2378.940667,9.720000,20.3955818501
"okres Čadca","all district",house,unrenovated,750.752353,3.130000,19.9880818158
"okres Žilina","all district",house,"fully renovated",1807.076250,11.356667,13.2600249263
"okres Žilina","all district",house,"partially renovated",1231.615439,4.503333,22.7908129194
"okres Martin","all district",house,"new construction",1933.798889,8.106000,19.8803241323
"okres Ružomberok","all district",house,"fully renovated",1785.110000,6.940000,21.4350384246
"okres Liptovský Mikuláš","all district",house,unrenovated,989.996667,2.020000,40.8414466584
"okres Liptovský Mikuláš","all district",house,"new construction",2309.902500,6.270000,30.7004585327
"okres Žilina","all district",house,"new construction",2252.985000,7.391667,25.4000552243
"okres Liptovský Mikuláš","all district",house,"partially renovated",1117.708500,3.900000,23.8826602564
"okres Námestovo","all district",house,"new construction",1769.402222,6.215000,23.7248890051
