location_district,location_area,location_effect
"okres Turčianske Teplice",Sklené,-0.693170747963224000
"okres Kysucké Nové Mesto",Nesluša,-46.424386398516160000
"okres Martin",Diaková,-72.982200000000000000
"okres Ružomberok",Turík,97.056776589298310000
"okres Martin",Šútovo,-15.301779065153045000
"okres Ružomberok",Likavka,36.429132235641227500
"okres Kysucké Nové Mesto","Dolný Vadičov",-21.289460895485730000
"okres Liptovský Mikuláš",Gôtovany,20.132208892306570000
"okres Čadca",Podvysoká,-37.119549849383576913
"okres Čadca",Predmier,-35.594021681445750000
"okres Čadca",Milošová,-21.039835765122530000
"okres Kysucké Nové Mesto",Rudina,42.495995982124090000
"okres Ružomberok",Ludrová,-27.248399828447893087
"okres Liptovský Mikuláš",Podtureň,70.210338270333700000
"okres Martin",Dražkovce,-26.459766933086643087
"okres Dolný Kubín",Pribiš,-50.261251191652240000
"okres Čadca",Rieka,-27.549449167629363087
"okres Žilina","Dolná Tižina",49.629614971838965000
"okres Turčianske Teplice",Brieštie,-47.571967741213646913
"okres Žilina","Kamenná Poruba",149.350960161347525000
"okres Liptovský Mikuláš",Jamník,20.894228865041136913
"okres Bytča",Maršová-Rašov,58.249496689080590000
"okres Čadca",Hlinené,-41.558201234182490000
"okres Liptovský Mikuláš",Vavrišovo,-41.936781486479010000
"okres Ružomberok",Hubová,-48.533508641339800000
"okres Liptovský Mikuláš",Jakubovany,0.366712218379270000
"okres Dolný Kubín","Malý Bysterec",68.227493092574175000
"okres Martin",Rakovo,28.127924484234190000
"okres Bytča",Predmier,-11.221052743472110000
"okres Liptovský Mikuláš",Trstené,88.744808018564900000
"okres Žilina",Kľače,22.786340577668020000
"okres Žilina",Ovčiarsko,50.884102996821155000
"okres Žilina",Rosinky,206.590107963652280000
"okres Martin",Záborie,-44.000596743219470000
"okres Žilina",Divinka,51.053999744075813087
"okres Žilina",Krasňany,83.504976442519483087
"okres Bytča",Hvozdnica,-32.624804461364930000
"okres Ružomberok","Nová Hrboltová",-53.522939528545345000
"okres Dolný Kubín",Jasenová,60.680685538945085000
"okres Žilina",Zbyňov,75.944579278400286913
"okres Žilina",Nededza,35.162439219104955000
"okres Ružomberok","Liptovský Michal",26.305239501210625000
"okres Martin","Turčianske Jaseno",33.786279994195060000
"okres Martin",Ratkovo,-52.985687984092440000
"okres Dolný Kubín","Dlhá nad Oravou",-19.591102013386375000
"okres Tvrdošín",Habovka,41.196156949661730000
"okres Martin",Sklabiňa,53.194066564255740000
"okres Námestovo",Zákamenné,31.867503611045010000
"okres Ružomberok",Štiavnička,44.600872004049290000
"okres Liptovský Mikuláš","Liptovská Anna",20.725649361396570000
"okres Námestovo","Oravská Jasenica",14.053867849054900000
"okres Martin",Laskár,-1.482315613631370000
"okres Liptovský Mikuláš",Beňadiková,13.365367145132210000
"okres Martin",Trnovo,-14.352294803171280000
"okres Liptovský Mikuláš",Kvačany,5.593259263961060000
"okres Dolný Kubín","Horná Lehota",-44.184782254641610000
"okres Dolný Kubín","Vyšný Kubín",63.141275819332580000
"okres Tvrdošín",Liesek,7.870106996349860000
"okres Žilina","Kotrčiná Lúčka",33.076315836146930000
"okres Liptovský Mikuláš","Liptovské Matiašovce",10.705150858423050000
"okres Martin",Karlová,5.299658714245970000
"okres Čadca",Dunajov,-55.554344733548980000
"okres Ružomberok",Podsuchá,-71.092249746458880000
"okres Námestovo",Krušetnica,-9.076694889075630000
"okres Námestovo",Novoť,-25.190455598280470000
"okres Čadca","U Siheľníka",18.800277683847400000
"okres Martin","Horný Kalník",10.788326309783470000
"okres Dolný Kubín",Žaškov,-6.928610879345190000
"okres Námestovo",Vasiľov,-29.264897539403800000
"okres Liptovský Mikuláš",Vitálišovce,126.634853108833300000
"okres Martin",Socovce,-19.367801399119400000
"okres Žilina",Zádubnie,33.292617706981140000
"okres Turčianske Teplice",Bodorová,-78.562076880191040000
"okres Ružomberok","Revúcka dolina",-75.739742231615260000
"okres Námestovo",Čerchle,84.950910423476050000
"okres Liptovský Mikuláš","Pavlova Ves",-52.088571135049950000
"okres Žilina","Nezbudská Lúčka",102.978718261483090000
"okres Liptovský Mikuláš",Malatíny,33.143496929085150000
"okres Martin","Turčiansky Ďur",11.135311042837160000
"okres Dolný Kubín",Pucov,-39.137731592140110000
