location_district,location_area,location_effect
"okres Martin",Stráne,316
"okres Martin",Žabokreky,315
"okres Liptovský Mikuláš",Bobrovec,315
"okres Žilina",Rajec,313
"okres Dolný Kubín",Zázrivá,308
"okres Bytča","Hliník nad Váhom",304
"okres Kysucké Nové Mesto",Oškerda,304
"okres Žilina",Konská,303
"okres Martin",Blatnica,298
"okres Ružomberok","Liptovské Sliače",294
"okres Dolný Kubín",Párnica,293
"okres Ružomberok",Hrabovo,291
"okres Liptovský Mikuláš","Partizánska Ľupča",290
"okres Liptovský Mikuláš",Lazisko,289
"okres Martin",Mexiko,282
"okres Kysucké Nové Mesto","Horný Vadičov",280
"okres Martin",Bystrička,280
"okres Martin",Ľadoveň,278
"okres Liptovský Mikuláš","Malé Borové",275
"okres Martin",Podháj,272
"okres Martin",Rakovo,271
"okres Ružomberok","Pod Skalami",267
"okres Bytča","Bytča - sever",264
"okres Žilina",Nededza,261
"okres Liptovský Mikuláš","Kráľova Lehota",259
"okres Ružomberok",Kalameny,256
"okres Martin",Sever,254
"okres Martin","Košťany nad Turcom",249
"okres Ružomberok",Roveň,249
"okres Liptovský Mikuláš","Liptovský Ondrej",248
"okres Liptovský Mikuláš",Jakubovany,243
"okres Kysucké Nové Mesto",Suľkov,240
"okres Liptovský Mikuláš",Východná,228
"okres Ružomberok","Staré mesto",225
"okres Žilina","Dlhé Pole",223
"okres Kysucké Nové Mesto",Povina,220
"okres Martin","Karvaša a Bláhovca",215
"okres Martin","Kláštor pod Znievom",213
"okres Žilina",Lysica,213
"okres Kysucké Nové Mesto","Kysucký Lieskovec",213
"okres Martin",Záturčie,209
"okres Dolný Kubín",Kraľovany,206
"okres Ružomberok",Baničné,204
"okres Ružomberok","Liptovská Štiavnica",202
"okres Čadca","Stará Bystrica",199
"okres Čadca",Kyzkovci,195
"okres Martin",Vrícko,189
"okres Ružomberok","Liptovská Teplá",184
"okres Martin",Valča,179
"okres Ružomberok",Lisková,179
"okres Liptovský Mikuláš",Bobrovník,175
"okres Liptovský Mikuláš",Pribylina,170
"okres Martin",Slovany,162
"okres Kysucké Nové Mesto","Dolný Vadičov",158
"okres Námestovo",Ťapešovo,158
"okres Bytča",Štiavnik,157
"okres Žilina",Kľače,157
"okres Liptovský Mikuláš",Vlachy,154
"okres Bytča","Veľké Rovné",151
"okres Martin",Sučany,150
"okres Žilina",Lietava,148
"okres Martin","Turčianska Štiavnička",141
"okres Liptovský Mikuláš",Važec,134
"okres Tvrdošín",Tvrdošín,133
"okres Bytča",Kolárovice,123
"okres Liptovský Mikuláš","Liptovská Porúbka",122
"okres Námestovo","Oravská Lesná",122
"okres Tvrdošín",Zábiedovo,117
"okres Kysucké Nové Mesto",Rudinská,107
"okres Turčianske Teplice","Dolná Štubňa",100
"okres Čadca",Stred,98
"okres Martin",Necpaly,95
"okres Žilina","Rajecká Lesná",93
"okres Martin",Belá-Dulice,92
"okres Turčianske Teplice","Turčiansky Michal",87
"okres Čadca",Centrum,82
"okres Turčianske Teplice",Sklené,79
"okres Tvrdošín",Nižná,68
"okres Dolný Kubín","Dlhá nad Oravou",65
"okres Čadca",Zákopčie,59
"okres Turčianske Teplice",Diviaky,57
"okres Čadca",Čierne,39
"okres Turčianske Teplice",Stred,37
"okres Dolný Kubín",Malatiná,33
"okres Martin",Príbovce,30
"okres Martin",Turany,28
"okres Žilina",Belá,28
"okres Martin",Krpeľany,25
"okres Čadca",Oščadnica,22
"okres Čadca",Raková,22
"okres Tvrdošín",Vitanová,21
"okres Čadca",Staškov,14
"okres Martin",Trebostovo,13
"okres Ružomberok",Polík,12
"okres Martin",Podhradie,-5
"okres Čadca",Horelica,-6
"okres Čadca","Nová Bystrica",-7
"okres Liptovský Mikuláš","Veľké Borové",-11
"okres Turčianske Teplice",Rudno,-15
"okres Ružomberok","Liptovská Lúžna",-27
"okres Ružomberok","Liptovské Revúce",-29
"okres Ružomberok",Stankovany,-32
"okres Ružomberok","Biely Potok",-33
"okres Ružomberok",Ludrová,-41
"okres Čadca",Milošová,-44
"okres Kysucké Nové Mesto",Nesluša,-54
"okres Kysucké Nové Mesto",Ochodnica,-81
"okres Turčianske Teplice",Mošovce,-82
"okres Turčianske Teplice","Horná Štubňa",-88
"okres Liptovský Mikuláš","Nižná Boca",-91
"okres Turčianske Teplice","Slovenské Pravno",-95
"okres Námestovo",Hruštín,-95
"okres Bytča",Predmier,-98
"okres Čadca",Rieka,-99
"okres Čadca",Skalité,-104
"okres Čadca",Olešná,-113
"okres Liptovský Mikuláš",Vavrišovo,-114
"okres Turčianske Teplice","Malý Čepčín",-121
"okres Námestovo",Zubrohlava,-123
"okres Martin","Kolónia Hviezda",-137
"okres Námestovo","Oravská Polhora",-139
"okres Turčianske Teplice",Turček,-154
"okres Turčianske Teplice",Čremošné,-155
"okres Čadca",Závodie,-158
"okres Čadca","Dlhá nad Kysucou",-159
"okres Námestovo",Bobrov,-160
"okres Čadca",Kalinov,-161
"okres Čadca",Klokočov,-162
"okres Bytča","Hlboké nad Váhom",-166
"okres Čadca",Predmier,-167
"okres Čadca",Makov,-170
"okres Ružomberok",Komjatná,-170
"okres Námestovo",Lomná,-173
"okres Žilina",Šuja,-175
"okres Dolný Kubín",Medzihradné,-177
"okres Dolný Kubín","Medzibrodie nad Oravou",-178
"okres Čadca",Podvysoká,-180
"okres Čadca","Vysoká nad Kysucou",-187
"okres Čadca",Korňa,-187
"okres Čadca",Turkov,-187
"okres Martin",Dražkovce,-190
"okres Turčianske Teplice",Dubové,-190
"okres Turčianske Teplice",Budiš,-202
"okres Kysucké Nové Mesto",Lodno,-216
"okres Čadca",Hlinené,-217
"okres Čadca","Zborov nad Bystricou",-218
"okres Ružomberok",Hubová,-220
"okres Bytča",Súľov-Hradná,-226
"okres Čadca",Svrčinovec,-246
"okres Čadca",Čadečka,-254
"okres Ružomberok","Nová Hrboltová",-262
"okres Bytča",Hvozdnica,-279
"okres Turčianske Teplice",Jazernica,-309
"okres Turčianske Teplice",Brieštie,-317
"okres Martin",Záborie,-338
"okres Ružomberok",Martinček,-345
"okres Bytča",Petrovice,-365
"okres Ružomberok",Černová,-415
"okres Žilina","Malá Čierna",-418
"okres Turčianske Teplice",Abramová,-428
"okres Turčianske Teplice",Háj,-462
"okres Martin",Diaková,-582
