offer_id,offer_type,property_type,area,condition,location_district,location_city,location_area
Jus8fVVapj9,sale,"3-room apartment",97,"under construction","okres Martin",Martin,Jahodníky
JurldwLKNhM,sale,"1-room apartment",36,"fully renovated","okres Liptovský Mikuláš","Partizánska Ľupča","Partizánska Ľupča"
JulollxgJp5,sale,"2-room apartment",71,"under construction","okres Martin",Martin,Jahodníky
JupBjnV0coU,sale,"3-room apartment",85,"fully renovated","okres Čadca",Raková,Raková
JuqAM-ZO9ir,sale,"2-room apartment",55,"new construction","okres Liptovský Mikuláš","Malé Borové","Malé Borové"
Ju5VjRRX_4J,sale,"3-room apartment",NULL,"partially renovated","okres Žilina",Žilina,Hliny
Juarr5O2upK,sale,"1-room apartment",94,"under construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuXRtZdfweI,sale,"4-room apartment",85,"partially renovated","okres Martin",Martin,Ľadoveň
JuNZupA7Ru4,sale,"2-room apartment",52,"new construction","okres Žilina","Rajecké Teplice","Rajecké Teplice"
JuA8-pf41pn,rent,"3-room apartment",83,"fully renovated","okres Martin",Martin,Stred
JumbMyGo4iI,sale,"2-room apartment",58,"fully renovated","okres Ružomberok",Bešeňová,Bešeňová
JuaCjfZIx81,sale,"2-room apartment",48,"under construction","okres Ružomberok",Ružomberok,Roveň
JuUnD0myJmK,sale,"2-room apartment",62,"partially renovated","okres Žilina",Žilina,Hájik
JuIP59md355,sale,"4-room apartment",102,"under construction","okres Ružomberok",Ružomberok,Roveň
JuIh9K2txJ3,sale,"3-room apartment",144,"new construction","okres Námestovo",Zubrohlava,Zubrohlava
Jub5nNi4yTF,sale,"2-room apartment",62,"partially renovated","okres Žilina",Žilina,Vlčince
Juqj8-BDIgQ,sale,"3-room apartment",122,"new construction","okres Námestovo","Oravské Veselé","Oravské Veselé"
JuQfQh_4sSF,sale,"2-room apartment",84,"new construction","okres Žilina",Žilina,Hliny
JujYXXx5gXi,sale,"3-room apartment",169,"new construction","okres Žilina",Žilina,"Staré mesto"
JuxBkaifl6df,rent,"holiday apartment",42,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Iľanovo
JugTLMsHTVi,sale,"2-room apartment",52,unrenovated,"okres Martin",Martin,Podháj
Jul7be3Lkz5,sale,"holiday apartment",26,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
JuPT1z2mBzV,sale,"1-room apartment",36,"partially renovated","okres Žilina",Žilina,Vlčince
Ju4hZgzLszu,sale,"2-room apartment",62,"partially renovated","okres Tvrdošín",Trstená,Trstená
JuKlHRPhAEF,sale,"2-room apartment",57,"fully renovated","okres Martin",Vrútky,"Horné Vrútky"
JuvFESSKGWN,sale,"3-room apartment",86,"partially renovated","okres Martin",Vrútky,"Horné Vrútky"
JusgW9odCAS,sale,"4-room apartment",107,unrenovated,"okres Martin",Martin,Priekopa
Juvk9S_5ltU,sale,"2-room apartment",54,unrenovated,"okres Žilina",Žilina,Hliny
JunBqR0DBP9,rent,"2-room apartment",50,"new construction","okres Žilina",Žilina,"Staré mesto"
JuDCMQupxo0,sale,"2-room apartment",59,"partially renovated","okres Tvrdošín",Tvrdošín,Medvedzie
JufAeKZk5m-,sale,"2-room apartment",55,"partially renovated","okres Žilina",Bitarová,Bitarová
JuNguQDV0Zn,sale,"2-room apartment",52,"fully renovated","okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny
JuKOtZwcbir-,sale,"holiday apartment",28,"fully renovated","okres Ružomberok",Ružomberok,Hrabovo
JuMm4AW_gBf,sale,"5+ room apartment",150,"partially renovated","okres Žilina","Rajecké Teplice","Rajecké Teplice"
JuSYwKOlQ-6,sale,"3-room apartment",NULL,"new construction","okres Dolný Kubín","Dolný Kubín",NULL
JuZqtWo-t_S,sale,"holiday apartment",29,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia"
JuJCzmrTicR,sale,"2-room apartment",40,"new construction","okres Martin",Martin,Záturčie
JumsfvMXhg-,sale,"3-room apartment",67,unrenovated,"okres Žilina",Žilina,Solinky
JuymkoAFG_6,sale,"2-room apartment",60,unrenovated,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
JucOec67NRR,sale,"1-room apartment",33,unrenovated,"okres Tvrdošín",Nižná,Nižná
JuyOHLJxsdS,sale,"3-room apartment",64,"fully renovated","okres Žilina",Žilina,"Staré mesto"
Ju_yl2A922o,sale,"2-room apartment",57,unrenovated,"okres Turčianske Teplice","Turčianske Teplice",Stred
JuDoLB83xqT,sale,"3-room apartment",78,unrenovated,"okres Liptovský Mikuláš",Malužiná,Malužiná
JuQvJ7BykSU,sale,"2-room apartment",49,unrenovated,"okres Martin",Martin,Sever
JucOhPXEpxa,rent,"2-room apartment",71,"partially renovated","okres Žilina",Žilina,"Staré mesto"
JuFqVxR2Rua,rent,"2-room apartment",48,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
JuLEeBcqSvN,rent,"2-room apartment",50,"fully renovated","okres Bytča",Bytča,"Veľká Bytča"
JuHLqjLk9w7,sale,"2-room apartment",63,"fully renovated","okres Čadca",Oščadnica,Oščadnica
Juhlf1Su_tu,sale,"studio apartment",34,"partially renovated","okres Žilina",Žilina,Závodie
Ju4aGAgIjVo,sale,"3-room apartment",80,"partially renovated","okres Martin",Martin,Stred
JuHC3L7PHAo,rent,"studio apartment",15,"partially renovated","okres Martin",Martin,Stred
Ju4nG9JDEKF,sale,"3-room apartment",70,"partially renovated","okres Martin",Martin,Ľadoveň
JuxsO06uVZG,rent,"1-room apartment",43,unrenovated,"okres Žilina",Žilina,Hájik
JuxQsJlXHSK,rent,"3-room apartment",74,"fully renovated","okres Bytča",Bytča,"Veľká Bytča"
JuJrBHwvfXe,sale,"holiday apartment",23,"new construction","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
JuVk3AeemQd,sale,"3-room apartment",65,"under construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JucIMMNEosV,sale,"3-room apartment",67,"partially renovated","okres Ružomberok",Ružomberok,Baničné
Ju2EMTkOn53,sale,"2-room apartment",61,"new construction","okres Žilina",Žilina,Vlčince
JuYbhGZmbC7,sale,"2-room apartment",49,unrenovated,"okres Ružomberok","Liptovská Lúžna","Liptovská Lúžna"
JucmUHZL9fQ,rent,"2-room apartment",57,"new construction","okres Žilina",Žilina,"Staré mesto"
Ju59v0S7Gi9,sale,"3-room apartment",77,unrenovated,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny
Ju4SvmwHoAg,sale,"3-room apartment",72,"new construction","okres Ružomberok","Liptovská Teplá","Liptovská Teplá"
JuJBn5ZeVAm,rent,"2-room apartment",51,"partially renovated","okres Žilina",Žilina,Hliny
Juk9u-rNEqG,rent,"2-room apartment",46,"fully renovated","okres Bytča",Bytča,"Veľká Bytča"
JuNRFKe9B5N6,sale,"4-room apartment",140,"new construction","okres Martin",Sučany,Sučany
JuG99-vnL8U,sale,"4-room apartment",212,"new construction","okres Martin",Martin,Košúty
JuvzAFSDr4x,sale,"3-room apartment",110,"new construction","okres Žilina",Žilina,Bôrik
JuDorfwK08d,rent,"2-room apartment",85,"partially renovated","okres Martin",Martin,Stred
Jul_OGhX8QT,sale,"3-room apartment",60,"partially renovated","okres Ružomberok",Ružomberok,Hrabovo
Ju7UFzA6VtL,sale,"2-room apartment",53,"new construction","okres Žilina",Žilina,"Staré mesto"
Ju9qrQrSqzm,rent,"studio apartment",25,"new construction","okres Žilina",Žilina,Vlčince
Ju4Vd5pUjXm,sale,"3-room apartment",65,"partially renovated","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuA1jb9HH8o,sale,"2-room apartment",56,"partially renovated","okres Ružomberok",Ružomberok,"Staré mesto"
JuVp8M6bnwG,rent,"3-room apartment",80,"partially renovated","okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
JuKJT8WJuFF,rent,"1-room apartment",37,"new construction","okres Čadca",Čadca,Centrum
Ju8mh8KzH4f,rent,"2-room apartment",60,"fully renovated","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
Ju9k2e7JWOr,sale,"1-room apartment",38,"partially renovated","okres Martin",Turany,Turany
JuXNm9NwSwi,sale,"3-room apartment",75,"new construction","okres Žilina",Žilina,Hájik
JuOnQ9rym-h,sale,"4-room apartment",87,"partially renovated","okres Žilina",Žilina,"Staré mesto"
JuFNpzHutiG,sale,"3-room apartment",65,"partially renovated","okres Žilina",Žilina,Hliny
JuZ8UmPHnMd,sale,"2-room apartment",59,"fully renovated","okres Čadca",Staškov,Staškov
JuWLCChouGh,sale,"3-room apartment",102,"new construction","okres Martin",Sučany,Sučany
JuS6qI_HXQ_,sale,"4-room apartment",88,"partially renovated","okres Žilina",Žilina,Bôrik
JuvIFSCKDaN,sale,"2-room apartment",63,"fully renovated","okres Martin",Martin,Priekopa
JuJITXm9Zsf,sale,"3-room apartment",66,"fully renovated","okres Liptovský Mikuláš","Liptovská Kokava","Liptovská Kokava"
JueaFakyLvY,sale,"3-room apartment",83,"development project","okres Žilina",Žilina,"Staré mesto"
Ju1F-eiNHx4,sale,"3-room apartment",85,"fully renovated","okres Žilina",Žilina,"Staré mesto"
JuL3MT7o1WL,sale,"2-room apartment",60,"fully renovated","okres Martin",Martin,Stred
Ju_qGSnLBzz,rent,"2-room apartment",59,"new construction","okres Bytča",Bytča,"Thurzove sady"
JuhigkHR5x2,sale,"4-room apartment",320,"new construction","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
Ju5eub1EsyB,sale,"3-room apartment",100,"new construction","okres Žilina",Žilina,Bôrik
JuDetN4gLGy,sale,"holiday apartment",43,"new construction","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
JuxJN0jj6xv,sale,"1-room apartment",34,"new construction","okres Martin",Martin,Tomčany
JuQY1ZnmE4m,rent,"studio apartment",25,"fully renovated","okres Dolný Kubín","Dolný Kubín",Brezovec
Ju9zHP-4dng,sale,"3-room apartment",61,"partially renovated","okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny
JuTy8iCXD6j,sale,"2-room apartment",51,"new construction","okres Martin",Martin,Tomčany
JuMhyPasgwl,rent,"1-room apartment",41,"fully renovated","okres Martin",Vrútky,"Horné Vrútky"
JuPet_Ep-JW,rent,"studio apartment",70,"fully renovated","okres Liptovský Mikuláš","Liptovský Hrádok",NULL
JuGJ3bcseaG,sale,"1-room apartment",41,"partially renovated","okres Čadca",Čadca,Žarec
JuI3iwt9MRR,sale,"studio apartment",25,"new construction","okres Dolný Kubín","Dolný Kubín",Brezovec
JumSU3uP1r7,sale,"holiday apartment",49,"partially renovated","okres Čadca",Oščadnica,Oščadnica
JuCyeszuCeF,sale,"3-room apartment",65,unrenovated,"okres Čadca",Čadca,"Sídlisko 3"
JuDZ3hA20uQ,sale,"4-room apartment",100,"partially renovated","okres Dolný Kubín",Zázrivá,Zázrivá
Ju1Cm4LoVXM,sale,"studio apartment",123,"new construction","okres Ružomberok",Ružomberok,"Staré mesto"
JuOOVFGvzwX,sale,"2-room apartment",62,"new construction","okres Ružomberok","Liptovská Teplá","Liptovská Teplá"
JuuuYAHYGX8,sale,"2-room apartment",60,"development project","okres Dolný Kubín","Dolný Kubín",Brezovec
Juw69usHNF6,rent,"3-room apartment",86,"fully renovated","okres Žilina",Žilina,"Staré mesto"
Jup6mGYDCrv,rent,"2-room apartment",57,"fully renovated","okres Martin",Martin,Stred
Ju5R24o6GQR,sale,"3-room apartment",74,unrenovated,"okres Dolný Kubín","Dolný Kubín",Brezovec
Ju8_AnIgnrX,sale,"2-room apartment",57,"partially renovated","okres Čadca",Čadca,Žarec
JuY4e0DxXsH,rent,"2-room apartment",45,"new construction","okres Dolný Kubín","Dolný Kubín",Stred
Jue5OG4Sl5k,rent,"2-room apartment",50,"fully renovated","okres Žilina",Žilina,"Staré mesto"
Juo19uqWHqv,sale,"3-room apartment",85,"fully renovated","okres Martin",Vrútky,"Horné Vrútky"
JumQaXesU-y,rent,"studio apartment",28,"new construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuEVg7e9gge,sale,"3-room apartment",72,unrenovated,"okres Martin",Martin,Záturčie
JuXIzNjmik_,rent,"3-room apartment",104,"fully renovated","okres Žilina",Žilina,"Staré mesto"
Juv94EKwgh6,sale,"3-room apartment",73,"new construction","okres Ružomberok","Liptovská Teplá","Liptovská Teplá"
JukKH41KaWr,rent,"3-room apartment",121,"fully renovated","okres Martin",Martin,Stred
JuhxRDKuEfi,sale,"2-room apartment",58,"new construction","okres Ružomberok","Liptovská Teplá","Liptovská Teplá"
JuRJykTdszG,sale,"4-room apartment",150,"fully renovated","okres Martin",Sučany,Sučany
JuDJ_hnDscM,sale,"2-room apartment",60,"fully renovated","okres Martin",Martin,Stred
JulzEF1iR1R,sale,"2-room apartment",70,"fully renovated","okres Žilina",Žilina,"Staré mesto"
Jus2f1I5Shb,sale,"3-room apartment",68,"partially renovated","okres Žilina",Žilina,Hliny
JuWzCETm2y0,rent,"3-room apartment",70,"fully renovated","okres Čadca",Čadca,Kyčerka
Ju12shpSBga,sale,"3-room apartment",62,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
JuXnw8EKWYI,sale,"3-room apartment",93,"new construction","okres Žilina",Žilina,"Staré mesto"
JuJM07aUO0O,sale,"5+ room apartment",100,"partially renovated","okres Žilina",Žilina,Hliny
JuVtdEgquxp,sale,"3-room apartment",74,"new construction","okres Dolný Kubín","Dolný Kubín",Brezovec
JuP6qyzD4rb,sale,"holiday apartment",40,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
JuP-xJVwuxh,sale,"3-room apartment",77,"new construction","okres Martin","Košťany nad Turcom","Košťany nad Turcom"
Ju2skZ_XIuH,rent,"3-room apartment",90,"partially renovated","okres Čadca",Čierne,Čierne
JuxYMJGR4NW,sale,"1-room apartment",45,"partially renovated","okres Ružomberok",Ružomberok,Baničné
JuWx4I1iGWR,rent,"2-room apartment",80,"new construction","okres Námestovo",Mútne,Mútne
Jubx4f_wHQY,sale,"3-room apartment",87,unrenovated,"okres Žilina",Žilina,Vlčince
JuBjT8MmAiR,sale,"3-room apartment",65,"under construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
Ju8qAJxGCh0,sale,"3-room apartment",64,"partially renovated","okres Martin",Martin,Záturčie
Ju-DovddXIY,sale,"2-room apartment",71,unrenovated,"okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie"
Ju6ap4Twr5W,rent,"3-room apartment",NULL,"partially renovated","okres Ružomberok",Ružomberok,Klačno
JuVlvDHUEHV,rent,"2-room apartment",50,"fully renovated","okres Dolný Kubín","Dolný Kubín",Mokraď
JukzS9fkGsH,rent,"3-room apartment",84,"fully renovated","okres Žilina",Žilina,Vlčince
Jum2zoM9dK0,sale,"2-room apartment",60,"new construction","okres Žilina",Žilina,Vlčince
JuwxWNhZHvq,rent,"2-room apartment",44,"fully renovated","okres Žilina",Žilina,"Staré mesto"
JuNh7AtADFs,rent,"2-room apartment",44,"new construction","okres Čadca","Krásno nad Kysucou",Kalinov
JuoVEcjPg5o,rent,"3-room apartment",70,"new construction","okres Námestovo",Rabčice,Rabčice
JuyUHlMcv_Q,rent,"3-room apartment",73,"fully renovated","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuXQxA2vSe6,sale,"2-room apartment",42,"fully renovated","okres Žilina",Žilina,Vlčince
Jufd89QZCSO,sale,"holiday apartment",NULL,"new construction","okres Liptovský Mikuláš","Pavčina Lehota","Pavčina Lehota"
Ju2hVjHchsA,sale,"2-room apartment",47,"new construction","okres Martin",Martin,Stred
Ju9Zm5FKDvx,sale,"2-room apartment",58,"fully renovated","okres Žilina",Žilina,Hliny
Ju_q6RS-fKo,sale,"3-room apartment",118,"new construction","okres Námestovo","Oravské Veselé","Oravské Veselé"
Jutomv1SERc,rent,"2-room apartment",57,"fully renovated","okres Martin",Martin,Jahodníky
Jukc07qMxPz,sale,"2-room apartment",55,"new construction","okres Žilina",Žilina,Bytčica
JuZPdvGyLq9,sale,"3-room apartment",92,"fully renovated","okres Žilina",Žilina,"Staré mesto"
Ju8xVwtKo3R,sale,"1-room apartment",NULL,unrenovated,"okres Námestovo",Námestovo,Stred
JuIK5SS5weX,rent,"2-room apartment",55,"partially renovated","okres Martin",Martin,Stred
JuzzHVLtL7p,sale,"3-room apartment",69,"fully renovated","okres Tvrdošín",Tvrdošín,Medvedzie
Ju7J-Smt48P,sale,"2-room apartment",42,"new construction","okres Tvrdošín",Trstená,Trstená
JuvxR6XXHxE,rent,"3-room apartment",74,"fully renovated","okres Bytča",Bytča,"Veľká Bytča"
JuRuuJuhfW8,sale,"3-room apartment",85,"partially renovated","okres Martin",Vrútky,"Horné Vrútky"
JuZK70yldNu,sale,"1-room apartment",39,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia"
JuzSqFzglhO,sale,"3-room apartment",73,"new construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuT8ujDpM1g,rent,"1-room apartment",60,"partially renovated","okres Žilina",Žilina,"Staré mesto"
JuzmSjYalDj,sale,"3-room apartment",87,"partially renovated","okres Martin",Vrútky,"Horné Vrútky"
Ju6pkdVbtRp,sale,"3-room apartment",71,"fully renovated","okres Ružomberok",Ružomberok,Klačno
JudnXUbr0fH,sale,"2-room apartment",48,"under construction","okres Liptovský Mikuláš",Východná,Východná
JuBIZmW7FwQ,sale,"3-room apartment",71,"new construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
JuPDRHaKHGy,sale,"2-room apartment",59,"fully renovated","okres Žilina",Žilina,Hliny
JuD8hcoEgT4,sale,"2-room apartment",74,"new construction","okres Žilina",Žilina,Vlčince
JukBZSTP0a5,sale,"2-room apartment",55,"new construction","okres Turčianske Teplice","Turčianske Teplice",Stred
Ju1AcChzPhX,sale,"3-room apartment",62,"new construction","okres Liptovský Mikuláš","Vyšná Boca","Vyšná Boca"
JuE-VhHgCax,sale,"1-room apartment",22,"fully renovated","okres Žilina",Terchová,Terchová
JuBAitX8aRy,rent,"2-room apartment",55,"partially renovated","okres Ružomberok",Ružomberok,Baničné
JuYm2hUT2pj,rent,"3-room apartment",92,"fully renovated","okres Martin",Martin,Stred
Ju6opeOUPUx,sale,"2-room apartment",88,unrenovated,"okres Žilina",Žilina,"Staré mesto"
JuvmTUfehMc,rent,"2-room apartment",66,"fully renovated","okres Kysucké Nové Mesto",Rudinka,Rudinka
JuaMkijSYs-,rent,"studio apartment",25,"partially renovated","okres Dolný Kubín","Dolný Kubín",Brezovec
JuZL3wORd4j,rent,"1-room apartment",35,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Stošice
JunBxeMXtVv,sale,"3-room apartment",73,"partially renovated","okres Bytča","Veľké Rovné","Veľké Rovné"
JufXt9veplf,sale,"2-room apartment",45,"new construction","okres Martin",Martin,Košúty
Ju1v-rz6S-g,sale,"3-room apartment",64,unrenovated,"okres Žilina",Rajec,Rajec
JuK8NkfUxDo,sale,"3-room apartment",68,unrenovated,"okres Martin","Turčianska Štiavnička","Turčianska Štiavnička"
JuhvRDg8Y4C,rent,"2-room apartment",58,unrenovated,"okres Námestovo",Námestovo,Stred
JuqqisVRKbE,sale,"3-room apartment",65,"partially renovated","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JupIznadChw,sale,"3-room apartment",66,unrenovated,"okres Martin",Martin,Stred
JuCtiU-W9oK,sale,"3-room apartment",72,"fully renovated","okres Ružomberok",Ružomberok,Klačno
JuQUQOdCbAJ,sale,"4-room apartment",105,unrenovated,"okres Žilina",Žilina,"Staré mesto"
JuEGUe9TZYw,rent,"3-room apartment",72,"partially renovated","okres Žilina",Žilina,Vlčince
JuJTUgZNUdL,sale,"3-room apartment",72,unrenovated,"okres Martin",Turany,Turany
JugdzCpEbZl,sale,"2-room apartment",55,"partially renovated","okres Žilina",Žilina,Hliny
JuJ1fx159Ms,sale,"3-room apartment",65,unrenovated,"okres Čadca",Turzovka,Stred
JuUWRcxAAYr,sale,"2-room apartment",67,"fully renovated","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JucFSMwZ-YV,sale,"3-room apartment",83,"new construction","okres Martin",Martin,Priekopa
JuHBGisy5-E,sale,"2-room apartment",68,"partially renovated","okres Ružomberok",Ružomberok,Hrabovo
JuInv_n4G9P,sale,"2-room apartment",39,"development project","okres Žilina",Žilina,"Staré mesto"
JuUFq9Wci3W,rent,"studio apartment",25,"partially renovated","okres Martin",Martin,Ľadoveň
JuBnUuJa9ic,sale,"2-room apartment",56,"new construction","okres Žilina",Žilina,"Staré mesto"
Ju2txZynSMnS,sale,"4-room apartment",88,"fully renovated","okres Námestovo",Námestovo,Brehy
Jucm4yaaOJ2,sale,"3-room apartment",77,"fully renovated","okres Dolný Kubín","Dolný Kubín",Brezovec
JuT9LmGMkpW,sale,"holiday apartment",22,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
JuuOQAIf3eQ,sale,"2-room apartment",64,"new construction","okres Žilina",Žilina,"Staré mesto"
JuhSIJae8jB,sale,"holiday apartment",48,"new construction","okres Liptovský Mikuláš",Smrečany,Smrečany
Ju20KERTu8I,sale,"2-room apartment",59,unrenovated,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny
JuGfHZevCsA,rent,"3-room apartment",66,"fully renovated","okres Martin",Martin,Stred
JufXjo0g1k9,rent,"2-room apartment",59,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
JuPNe1hyDeq,rent,"2-room apartment",57,"fully renovated","okres Bytča",Bytča,"Veľká Bytča"
