location_district,location_area,latitude,longitude
"okres Dolný Kubín",Pribiš,49.2215,19.4042
"okres Dolný Kubín",Pucov,49.2178,19.3783
"okres Dolný Kubín",Párnica,49.1933,19.1956
"okres Dolný Kubín","Sedliacka Dubová",49.2615,19.4294
"okres Dolný Kubín",Stred,49.213,19.297
"okres Dolný Kubín",Veličná,49.2052,19.2453
"okres Dolný Kubín","Veľký Bysterec",49.2109,19.2849
"okres Dolný Kubín","Vyšný Kubín",49.1837,19.3167
"okres Dolný Kubín",Záskalie,49.2247,19.2995
"okres Dolný Kubín",Zázrivá,49.2736,19.1519
"okres Dolný Kubín",Žaškov,49.1785,19.2121
"okres Liptovský Mikuláš",Andice,49.0723,19.5522
"okres Liptovský Mikuláš",Belánska,49.04,19.7223
"okres Liptovský Mikuláš",Benice,49.0743,19.5597
"okres Liptovský Mikuláš",Beňadiková,49.0774,19.6816
"okres Liptovský Mikuláš",Bobrovec,49.1192,19.6113
"okres Liptovský Mikuláš",Bobrovník,49.1164,19.4772
"okres Liptovský Mikuláš",Bodice,49.0614,19.5756
"okres Liptovský Mikuláš",Bukovina,49.1347,19.4706
"okres Liptovský Mikuláš",Celiny,49.0404,19.7337
"okres Liptovský Mikuláš","Demänovská Dolina",48.9774,19.5948
"okres Liptovský Mikuláš",Demänová,49.0616,19.5854
"okres Liptovský Mikuláš",Dovalovo,49.0498,19.7602
"okres Liptovský Mikuláš",Dúbrava,49.0385,19.4997
"okres Liptovský Mikuláš",Galovany,49.0721,19.5325
"okres Liptovský Mikuláš",Gôtovany,49.0616,19.5041
"okres Liptovský Mikuláš",Huty,49.2195,19.5661
"okres Liptovský Mikuláš",Hybe,49.0447,19.8303
"okres Liptovský Mikuláš",Iľanovo,49.0548,19.6202
"okres Liptovský Mikuláš",Ižipovce,49.1406,19.4911
"okres Liptovský Mikuláš",Jakubovany,49.1028,19.7234
"okres Liptovský Mikuláš",Jamník,49.072,19.7098
"okres Liptovský Mikuláš","Kráľova Lehota",49.0254,19.7853
"okres Liptovský Mikuláš",Kvačany,49.1672,19.5413
"okres Liptovský Mikuláš",Lazisko,49.0288,19.5425
"okres Liptovský Mikuláš","Liptovská Anna",49.1468,19.4683
"okres Liptovský Mikuláš","Liptovská Kokava",49.0904,19.8186
"okres Liptovský Mikuláš","Liptovská Mara - Tatralandia",49.1047,19.5702
"okres Liptovský Mikuláš","Liptovská Ondrašová",49.098,19.5892
"okres Liptovský Mikuláš","Liptovská Porúbka",49.031,19.7359
"okres Liptovský Mikuláš","Liptovská Sielnica",49.145,19.5142
"okres Liptovský Mikuláš","Liptovské Beharovce",49.1367,19.5789
"okres Liptovský Mikuláš","Liptovské Kľačany",49.0328,19.4748
"okres Liptovský Mikuláš","Liptovské Matiašovce",49.1526,19.5488
"okres Liptovský Mikuláš","Liptovský Ján",49.0478,19.6785
"okres Liptovský Mikuláš","Liptovský Ondrej",49.0981,19.7124
"okres Liptovský Mikuláš","Liptovský Peter",49.0549,19.7335
"okres Liptovský Mikuláš","Liptovský Trnovec",49.1213,19.5462
"okres Liptovský Mikuláš",Malatíny,49.068,19.4592
"okres Liptovský Mikuláš",Malužiná,48.981,19.7705
"okres Liptovský Mikuláš","Malé Borové",49.2274,19.5322
"okres Liptovský Mikuláš","Nižná Boca",48.9488,19.7696
"okres Liptovský Mikuláš","Nižné Fabriky",49.0382,19.7381
"okres Liptovský Mikuláš",Okoličné,49.0748,19.6521
"okres Liptovský Mikuláš",Palúdzka,49.0841,19.5951
"okres Liptovský Mikuláš","Partizánska Ľupča",49.0646,19.4349
"okres Liptovský Mikuláš","Pavlova Ves",49.1287,19.5834
"okres Liptovský Mikuláš","Pavčina Lehota",49.0332,19.5636
"okres Liptovský Mikuláš",Ploštín,49.056,19.6059
"okres Liptovský Mikuláš",Podbreziny,49.0813,19.6513
"okres Liptovský Mikuláš",Podtureň,49.0535,19.6927
"okres Liptovský Mikuláš",Prekážka,49.037,19.715
"okres Liptovský Mikuláš",Pribylina,49.0978,19.7966
"okres Liptovský Mikuláš",Prosiek,49.1457,19.5015
"okres Liptovský Mikuláš",Smrečany,49.1193,19.6509
"okres Liptovský Mikuláš","Staré mesto",49.0874,19.609
"okres Liptovský Mikuláš",Stošice,49.0757,19.6692
"okres Liptovský Mikuláš","Svätý Kríž",49.0517,19.5347
"okres Liptovský Mikuláš",Trstené,49.1123,19.6185
"okres Liptovský Mikuláš","Uhorská Ves",49.0593,19.6817
"okres Liptovský Mikuláš",Vavrišovo,49.0707,19.7604
"okres Liptovský Mikuláš",Važec,49.0598,19.9796
"okres Liptovský Mikuláš","Veterná Poruba",49.1092,19.6764
"okres Liptovský Mikuláš","Veľké Borové",49.1979,19.5187
"okres Liptovský Mikuláš",Vitálišovce,49.0887,19.65
"okres Liptovský Mikuláš",Vlachy,49.0933,19.4737
"okres Liptovský Mikuláš","Vrbica - Nábrežie",49.078,19.6184
"okres Liptovský Mikuláš","Vyšná Boca",48.926,19.7516
"okres Liptovský Mikuláš",Východná,49.0587,19.8885
"okres Liptovský Mikuláš","Závažná Poruba",49.0539,19.6479
"okres Liptovský Mikuláš",Ľubeľa,49.0529,19.4787
"okres Martin",Belá-Dulice,49.0023,18.9801
"okres Martin",Blatnica,48.9371,18.9256
"okres Martin",Bystrička,49.0502,18.8807
"okres Martin",Diaková,49.0509,18.9641
"okres Martin","Dolné Vrútky",49.1169,18.915
"okres Martin","Dolný Kalník",49.0405,18.963
"okres Martin",Dražkovce,49.051,18.9555
"okres Martin","Horné Vrútky",49.1132,18.9251
"okres Martin","Horný Kalník",49.0333,18.9701
"okres Martin",Jahodníky,49.0551,18.9158
"okres Martin",Karlová,48.9605,18.9016
"okres Martin","Karvaša a Bláhovca",49.1172,18.8977
"okres Martin","Kláštor pod Znievom",48.9745,18.803
"okres Martin","Kolónia Hviezda",49.1087,18.9125
"okres Martin",Košúty,49.0884,18.9345
"okres Martin","Košťany nad Turcom",49.0283,18.9048
"okres Martin",Krpeľany,49.1237,19.0835
"okres Martin",Laskár,48.957,18.8761
"okres Martin",Ležiachov,48.98,18.8577
"okres Martin",Lipovec,49.1276,18.925
"okres Martin","Martinské hole",49.0939,18.8344
"okres Martin",Mexiko,49.1161,18.9283
"okres Martin",Necpaly,48.9868,18.9659
"okres Martin",Nolčovo,49.1097,19.0756
"okres Martin",Podhradie,49.0852,19.0556
"okres Martin",Podháj,49.08,18.9117
"okres Martin",Priekopa,49.1034,18.9318
"okres Martin",Príbovce,48.9997,18.8833
"okres Martin",Rakovo,48.9887,18.8811
"okres Martin",Ratkovo,49.1352,19.0862
"okres Martin",Sever,49.0795,18.926
"okres Martin",Sklabiňa,49.0456,19.0026
"okres Martin",Slovany,48.972,18.8225
"okres Martin",Socovce,48.9497,18.8679
"okres Martin",Stred,49.0656,18.9221
"okres Martin",Stráne,49.0826,18.8942
"okres Martin",Sučany,49.0988,18.9921
"okres Martin",Tomčany,49.0622,18.9418
"okres Martin",Trebostovo,49.0246,18.8615
"okres Martin",Trnovo,49.0151,18.86
"okres Martin",Turany,49.1157,19.0375
"okres Martin","Turčianska Štiavnička",49.0853,19.024
"okres Martin","Turčianske Jaseno",49.03,18.9903
"okres Martin","Turčianske Kľačany",49.1158,18.9489
"okres Martin","Turčiansky Peter",49.0292,18.8894
"okres Martin","Turčiansky Ďur",48.9531,18.8418
"okres Martin",Valča,49.0039,18.8424
"okres Martin",Vrícko,48.9696,18.7061
"okres Martin",Záborie,49.0367,18.9854
"okres Martin",Záturčie,49.0912,18.9161
"okres Martin",Ďanová,48.9767,18.9144
"okres Martin",Ľadoveň,49.0524,18.9234
"okres Martin",Šútovo,49.1501,19.084
"okres Martin",Žabokreky,49.0249,18.9234
"okres Námestovo",Bobrov,49.4277,19.5423
"okres Námestovo",Brehy,49.4051,19.4689
"okres Námestovo",Hruštín,49.3248,19.3486
"okres Námestovo",Klin,49.4349,19.4961
"okres Námestovo",Krušetnica,49.3765,19.3386
"okres Námestovo",Lokca,49.3677,19.4124
"okres Námestovo",Lomná,49.3616,19.3032
"okres Námestovo",Mútne,49.4606,19.3394
"okres Námestovo",Novoť,49.4273,19.2723
"okres Námestovo","Oravská Jasenica",49.3885,19.4356
"okres Námestovo","Oravská Lesná",49.3684,19.1843
"okres Námestovo","Oravská Polhora",49.5234,19.4466
"okres Námestovo","Oravské Veselé",49.4677,19.3816
"okres Námestovo",Polom,49.4144,19.4861
"okres Námestovo",Rabča,49.4811,19.4805
"okres Námestovo",Rabčice,49.5046,19.5158
"okres Námestovo","Slanická Osada",49.3999,19.5151
"okres Námestovo",Stred,49.4072,19.4786
"okres Námestovo",Vasiľov,49.3494,19.3849
"okres Námestovo",Vavrečka,49.3861,19.467
"okres Námestovo",Zubrohlava,49.445,19.5116
"okres Námestovo",Zákamenné,49.3854,19.3042
"okres Námestovo",Čerchle,49.4135,19.4766
"okres Námestovo",Ťapešovo,49.3762,19.4421
"okres Ružomberok",Baničné,49.0676,19.3004
"okres Ružomberok",Bešeňová,49.1002,19.4344
"okres Ružomberok","Biely Potok",49.0414,19.299
"okres Ružomberok",Gejdák,49.0619,19.2971
"okres Ružomberok",Hrabovo,49.0736,19.2736
"okres Ružomberok",Hrboltová,49.1036,19.2474
"okres Ružomberok",Hubová,49.1187,19.186
"okres Ružomberok",Ivachnová,49.094,19.4088
"okres Ružomberok",Kalameny,49.1253,19.4142
"okres Ružomberok",Klačno,49.0834,19.2691
"okres Ružomberok",Komjatná,49.1462,19.2443
"okres Ružomberok",Likavka,49.0921,19.3099
"okres Ružomberok","Liptovská Lúžna",48.9419,19.3187
"okres Ružomberok","Liptovská Osada",48.9513,19.2645
"okres Ružomberok","Liptovská Teplá",49.1023,19.4093
"okres Ružomberok","Liptovská Štiavnica",49.0524,19.3526
"okres Ružomberok","Liptovské Revúce",48.9233,19.1816
"okres Ružomberok","Liptovské Sliače",49.0609,19.3886
"okres Ružomberok","Liptovský Michal",49.0962,19.439
"okres Ružomberok",Lisková,49.0895,19.3526
"okres Ružomberok",Ludrová,49.0471,19.3322
"okres Ružomberok",Lúčky,49.1274,19.4035
"okres Ružomberok",Martinček,49.0919,19.336
"okres Ružomberok","Nová Hrboltová",49.0929,19.2689
"okres Ružomberok","Pod Skalami",49.0641,19.3057
"okres Ružomberok",Podsuchá,48.9915,19.2812
"okres Ružomberok",Polík,49.0833,19.2905
"okres Ružomberok","Revúcka dolina",48.9982,19.2879
"okres Ružomberok",Roveň,49.0739,19.3137
"okres Ružomberok",Rybárpole,49.0863,19.2821
"okres Ružomberok",Stankovany,49.1449,19.173
"okres Ružomberok","Staré mesto",49.0795,19.2993
"okres Ružomberok",Turík,49.1073,19.3817
"okres Ružomberok","Valaská Dubová",49.1408,19.293
"okres Ružomberok",Černová,49.0915,19.2552
"okres Ružomberok",Ľubochňa,49.1202,19.1672
"okres Ružomberok",Štiavnička,49.0696,19.3418
"okres Ružomberok",Švošov,49.1251,19.1979
"okres Turčianske Teplice",Rakša,48.882,18.8805
"okres Turčianske Teplice",Stred,48.8638,18.8594
"okres Turčianske Teplice",Jazernica,48.9274,18.8317
"okres Turčianske Teplice",Diviaky,48.878,18.8532
"okres Turčianske Teplice",Turček,48.7577,18.9253
"okres Turčianske Teplice","Slovenské Pravno",48.9094,18.7593
"okres Turčianske Teplice",Budiš,48.8731,18.7575
"okres Turčianske Teplice","Malý Čepčín",48.9028,18.8397
"okres Turčianske Teplice",Mošovce,48.9089,18.8876
"okres Turčianske Teplice","Turčiansky Michal",48.8849,18.8642
"okres Turčianske Teplice","Horná Štubňa",48.822,18.8859
"okres Turčianske Teplice",Háj,48.863,18.8857
"okres Turčianske Teplice",Dubové,48.8568,18.7946
"okres Turčianske Teplice",Abramová,48.9363,18.7968
"okres Turčianske Teplice",Kaľamenová,48.8895,18.7761
"okres Turčianske Teplice",Čremošné,48.8482,18.9046
"okres Turčianske Teplice",Sklené,48.786,18.8307
"okres Turčianske Teplice",Rudno,48.8854,18.7464
"okres Turčianske Teplice",Jasenovo,48.8787,18.7243
"okres Turčianske Teplice",Brieštie,48.9171,18.7369
"okres Turčianske Teplice",Blažovce,48.9395,18.8447
"okres Turčianske Teplice","Dolná Štubňa",48.8496,18.862
"okres Turčianske Teplice",Bodorová,48.9051,18.8493
"okres Tvrdošín",Habovka,49.2775,19.6034
"okres Tvrdošín",Liesek,49.3605,19.6757
"okres Tvrdošín",Medvedzie,49.3306,19.5445
"okres Tvrdošín",Nižná,49.3109,19.5205
"okres Tvrdošín",Podbiel,49.3089,19.485
"okres Tvrdošín","Suchá Hora",49.3661,19.7893
"okres Tvrdošín",Trstená,49.3601,19.6105
"okres Tvrdošín",Tvrdošín,49.3365,19.556
"okres Tvrdošín",Vitanová,49.357,19.7265
"okres Tvrdošín",Zuberec,49.2612,19.6147
"okres Tvrdošín",Zábiedovo,49.321,19.6071
"okres Žilina",Belá,49.2396,18.9425
"okres Žilina",Bitarová,49.2069,18.6718
"okres Žilina",Brezany,49.1896,18.672
"okres Žilina",Brodno,49.2549,18.7555
"okres Žilina",Budatín,49.2387,18.7423
"okres Žilina",Bytčica,49.1861,18.7338
"okres Žilina",Bánová,49.2016,18.7217
"okres Žilina",Bôrik,49.2083,18.7434
"okres Žilina",Divina,49.2717,18.6953
"okres Žilina",Divinka,49.2538,18.6982
"okres Žilina","Dlhé Pole",49.3036,18.6299
"okres Žilina","Dolná Tižina",49.2159,18.9155
"okres Žilina","Dolný Hričov",49.2324,18.6314
"okres Žilina",Fačkov,49.0116,18.6013
"okres Žilina",Gbeľany,49.2133,18.8474
"okres Žilina",Hliny,49.2139,18.7348
"okres Žilina","Horný Hričov",49.2588,18.6617
"okres Žilina",Hájik,49.2128,18.7102
"okres Žilina",Hôrky,49.2063,18.6923
"okres Žilina","Kamenná Poruba",49.0894,18.687
"okres Žilina",Konská,49.1139,18.6782
"okres Žilina","Kotrčiná Lúčka",49.252,18.8376
"okres Žilina",Krasňany,49.2141,18.886
"okres Žilina",Kunerad,49.0981,18.7093
"okres Žilina",Kľače,49.1071,18.6465
"okres Žilina",Lietava,49.1704,18.6723
"okres Žilina","Lietavská Lúčka",49.1756,18.7226
"okres Žilina","Lietavská Svinná-Babkov",49.1522,18.6752
"okres Žilina",Lysica,49.2443,18.9224
"okres Žilina","Malá Praha",49.219,18.7358
"okres Žilina","Malá Čierna",49.1031,18.597
"okres Žilina",Marček,49.2654,18.6704
"okres Žilina",Mojš,49.202,18.822
"okres Žilina","Mojšová Lúčka",49.1943,18.8112
"okres Žilina",Nededza,49.2203,18.8366
"okres Žilina","Nezbudská Lúčka",49.1769,18.866
"okres Žilina",Ovčiarsko,49.2234,18.6624
"okres Žilina","Paština Závada",49.2114,18.6389
"okres Žilina",Podhorie,49.1726,18.6445
"okres Žilina",Poluvsie,49.1314,18.7127
"okres Žilina",Porúbka,49.1545,18.7256
"okres Žilina","Považský Chlmec",49.2397,18.7278
"okres Žilina",Rajec,49.0885,18.6381
"okres Žilina","Rajecká Lesná",49.0448,18.633
"okres Žilina","Rajecké Teplice",49.1283,18.6811
"okres Žilina",Rosina,49.1794,18.769
"okres Žilina",Rosinky,49.2068,18.7774
"okres Žilina",Solinky,49.1993,18.7401
"okres Žilina","Staré mesto",49.2234,18.7394
"okres Žilina",Strečno,49.1891,18.8649
"okres Žilina",Stránske,49.1194,18.7049
"okres Žilina",Stráňavy,49.1724,18.8197
"okres Žilina",Strážov,49.2359,18.7033
"okres Žilina",Svederník,49.2635,18.6454
"okres Žilina","Teplička nad Váhom",49.2253,18.7955
"okres Žilina",Terchová,49.2574,19.0329
"okres Žilina",Trnové,49.1896,18.7946
"okres Žilina",Turie,49.1494,18.7534
"okres Žilina",Varín,49.2001,18.8681
"okres Žilina","Veľká Čierna",49.0913,18.5899
"okres Žilina",Višňové,49.1621,18.7828
"okres Žilina",Vlčince,49.2107,18.7652
"okres Žilina",Zbyňov,49.1211,18.6471
"okres Žilina",Zádubnie,49.2407,18.7693
"okres Žilina",Závodie,49.2156,18.7197
"okres Žilina",Čičmany,48.9551,18.5132
"okres Žilina",Ďurčiná,49.0627,18.6532
"okres Žilina",Šuja,49.0713,18.6295
"okres Žilina","Žilinská Lehota",49.2448,18.6794
"okres Bytča","Bytča - sever",49.2338,18.5518
"okres Bytča","Hlboké nad Váhom",49.2116,18.5927
"okres Bytča","Hliník nad Váhom",49.2334,18.5761
"okres Bytča",Hvozdnica,49.2103,18.4889
"okres Bytča",Jablonové,49.1838,18.5637
"okres Bytča",Kolárovice,49.2722,18.5339
"okres Bytča",Kotešová,49.2413,18.5982
"okres Bytča",Maršová-Rašov,49.1808,18.5138
"okres Bytča",Petrovice,49.2578,18.526
"okres Bytča",Predmier,49.1981,18.5317
"okres Bytča",Pšurnovice,49.2387,18.521
"okres Bytča",Súľov-Hradná,49.1648,18.5883
"okres Bytča",Štiavnik,49.2443,18.4659
"okres Bytča","Thurzove sady",49.2193,18.5437
"okres Bytča","Veľká Bytča",49.2227,18.5588
"okres Bytča","Veľké Rovné",49.2912,18.5834
"okres Kysucké Nové Mesto","Budatínska Lehota",49.3005,18.7962
"okres Kysucké Nové Mesto","Dolný Vadičov",49.2698,18.8461
"okres Kysucké Nové Mesto","Horný Vadičov",49.2642,18.8777
"okres Kysucké Nové Mesto",Kamence,49.3078,18.7904
"okres Kysucké Nové Mesto","Kysucký Lieskovec",49.3378,18.8132
"okres Kysucké Nové Mesto",Lodno,49.3346,18.8679
"okres Kysucké Nové Mesto","Lopušné Pažite",49.2789,18.8296
"okres Kysucké Nové Mesto",Nesluša,49.3109,18.7459
"okres Kysucké Nové Mesto",Nábrežie,49.3001,18.788
"okres Kysucké Nové Mesto",Ochodnica,49.3477,18.7924
"okres Kysucké Nové Mesto",Oškerda,49.2776,18.7681
"okres Kysucké Nové Mesto",Povina,49.3111,18.8129
"okres Kysucké Nové Mesto",Radoľa,49.2921,18.7939
"okres Kysucké Nové Mesto",Rudina,49.2869,18.7435
"okres Kysucké Nové Mesto",Rudinka,49.2714,18.7487
"okres Kysucké Nové Mesto",Rudinská,49.3145,18.7197
"okres Kysucké Nové Mesto",Snežnica,49.2574,18.7929
"okres Kysucké Nové Mesto",Stred,49.303,18.7867
"okres Kysucké Nové Mesto",Suľkov,49.3041,18.7712
"okres Kysucké Nové Mesto",Sídlisko,49.2986,18.7819
