offer_id,property_type,condition,monthly_rent_m2,location_district,location_city,location_area
JunBqR0DBP9,"2-room apartment","new construction",11.80,"okres Žilina",Žilina,"Staré mesto"
JucOhPXEpxa,"2-room apartment","partially renovated",10.28,"okres Žilina",Žilina,"Staré mesto"
JuFqVxR2Rua,"2-room apartment","new construction",13.54,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
JuLEeBcqSvN,"2-room apartment","fully renovated",10.94,"okres Bytča",Bytča,"Veľká Bytča"
JuHC3L7PHAo,"studio apartment","partially renovated",16.67,"okres Martin",Martin,Stred
JuxsO06uVZG,"1-room apartment",unrenovated,11.40,"okres Žilina",Žilina,Hájik
JuxQsJlXHSK,"3-room apartment","fully renovated",10.91,"okres Bytča",Bytča,"Veľká Bytča"
JucmUHZL9fQ,"2-room apartment","new construction",14.74,"okres Žilina",Žilina,"Staré mesto"
JuJBn5ZeVAm,"2-room apartment","partially renovated",12.35,"okres Žilina",Žilina,Hliny
Juk9u-rNEqG,"2-room apartment","fully renovated",10.86,"okres Bytča",Bytča,"Veľká Bytča"
JuDorfwK08d,"2-room apartment","partially renovated",6.47,"okres Martin",Martin,Stred
Ju9qrQrSqzm,"studio apartment","new construction",20.00,"okres Žilina",Žilina,Vlčince
JuVp8M6bnwG,"3-room apartment","partially renovated",7.50,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
JuKJT8WJuFF,"1-room apartment","new construction",14.32,"okres Čadca",Čadca,Centrum
Ju8mh8KzH4f,"2-room apartment","fully renovated",8.83,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
Ju_qGSnLBzz,"2-room apartment","new construction",8.81,"okres Bytča",Bytča,"Thurzove sady"
JuQY1ZnmE4m,"studio apartment","fully renovated",19.20,"okres Dolný Kubín","Dolný Kubín",Brezovec
JuMhyPasgwl,"1-room apartment","fully renovated",10.98,"okres Martin",Vrútky,"Horné Vrútky"
JuPet_Ep-JW,"studio apartment","fully renovated",5.71,"okres Liptovský Mikuláš","Liptovský Hrádok",NULL
Juw69usHNF6,"3-room apartment","fully renovated",8.49,"okres Žilina",Žilina,"Staré mesto"
Jup6mGYDCrv,"2-room apartment","fully renovated",9.88,"okres Martin",Martin,Stred
JuY4e0DxXsH,"2-room apartment","new construction",10.89,"okres Dolný Kubín","Dolný Kubín",Stred
Jue5OG4Sl5k,"2-room apartment","fully renovated",12.00,"okres Žilina",Žilina,"Staré mesto"
JumQaXesU-y,"studio apartment","new construction",16.79,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuXIzNjmik_,"3-room apartment","fully renovated",9.13,"okres Žilina",Žilina,"Staré mesto"
JukKH41KaWr,"3-room apartment","fully renovated",5.37,"okres Martin",Martin,Stred
JuWzCETm2y0,"3-room apartment","fully renovated",8.91,"okres Čadca",Čadca,Kyčerka
Ju2skZ_XIuH,"3-room apartment","partially renovated",5.56,"okres Čadca",Čierne,Čierne
JuWx4I1iGWR,"2-room apartment","new construction",6.25,"okres Námestovo",Mútne,Mútne
Ju6ap4Twr5W,"3-room apartment","partially renovated",NULL,"okres Ružomberok",Ružomberok,Klačno
JuVlvDHUEHV,"2-room apartment","fully renovated",11.60,"okres Dolný Kubín","Dolný Kubín",Mokraď
JukzS9fkGsH,"3-room apartment","fully renovated",9.52,"okres Žilina",Žilina,Vlčince
JuwxWNhZHvq,"2-room apartment","fully renovated",11.36,"okres Žilina",Žilina,"Staré mesto"
JuNh7AtADFs,"2-room apartment","new construction",10.91,"okres Čadca","Krásno nad Kysucou",Kalinov
JuoVEcjPg5o,"3-room apartment","new construction",5.71,"okres Námestovo",Rabčice,Rabčice
JuyUHlMcv_Q,"3-room apartment","fully renovated",16.44,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
Jutomv1SERc,"2-room apartment","fully renovated",9.65,"okres Martin",Martin,Jahodníky
JuIK5SS5weX,"2-room apartment","partially renovated",10.18,"okres Martin",Martin,Stred
JuvxR6XXHxE,"3-room apartment","fully renovated",10.83,"okres Bytča",Bytča,"Veľká Bytča"
JuT8ujDpM1g,"1-room apartment","partially renovated",11.00,"okres Žilina",Žilina,"Staré mesto"
JuBAitX8aRy,"2-room apartment","partially renovated",9.16,"okres Ružomberok",Ružomberok,Baničné
JuYm2hUT2pj,"3-room apartment","fully renovated",2.72,"okres Martin",Martin,Stred
JuvmTUfehMc,"2-room apartment","fully renovated",NULL,"okres Kysucké Nové Mesto",Rudinka,Rudinka
JuaMkijSYs-,"studio apartment","partially renovated",15.39,"okres Dolný Kubín","Dolný Kubín",Brezovec
JuZL3wORd4j,"1-room apartment","new construction",15.04,"okres Liptovský Mikuláš","Liptovský Mikuláš",Stošice
JuhvRDg8Y4C,"2-room apartment",unrenovated,6.72,"okres Námestovo",Námestovo,Stred
JuEGUe9TZYw,"3-room apartment","partially renovated",10.00,"okres Žilina",Žilina,Vlčince
JuUFq9Wci3W,"studio apartment","partially renovated",14.40,"okres Martin",Martin,Ľadoveň
JuGfHZevCsA,"3-room apartment","fully renovated",8.94,"okres Martin",Martin,Stred
JufXjo0g1k9,"2-room apartment","new construction",11.78,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
JuPNe1hyDeq,"2-room apartment","fully renovated",12.14,"okres Bytča",Bytča,"Veľká Bytča"
Ju4eeNbxgyr,"2-room apartment","fully renovated",13.80,"okres Žilina",Žilina,Solinky
JuN3wzC2QtN,"1-room apartment","partially renovated",13.06,"okres Martin",Martin,Sever
Ju7i7kUX31N,"2-room apartment","new construction",NULL,"okres Námestovo",Lokca,Lokca
JuTL4AQg4bH,"2-room apartment","fully renovated",10.00,"okres Martin",Martin,Jahodníky
JuYNcMLobvd,"4-room apartment","new construction",6.37,"okres Žilina",Žilina,Trnové
JuRDv8rOGAN,"2-room apartment","fully renovated",10.42,"okres Bytča",Bytča,"Veľká Bytča"
JuG-jkKlogR,"2-room apartment","fully renovated",12.00,"okres Martin",Martin,Stred
JuKxd6XdpfQ,"3-room apartment","fully renovated",8.29,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuykyParod3,"3-room apartment","new construction",7.86,"okres Bytča","Veľké Rovné","Veľké Rovné"
JuzGrB3SDsa,"studio apartment","fully renovated",16.00,"okres Martin",Vrútky,"Horné Vrútky"
Ju3pgjh4OY7,"2-room apartment","new construction",16.74,"okres Žilina",Žilina,Hájik
JuV0WpoDBe_,"1-room apartment","new construction",13.24,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuQ3YUuwUTb,"4-room apartment","new construction",11.96,"okres Žilina",Žilina,Hliny
JutqtoD-x5N,"2-room apartment",unrenovated,8.87,"okres Čadca",Čadca,Centrum
Juu8kqRVDip,"3-room apartment","fully renovated",10.33,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny
JuL2muHqM6p,"3-room apartment","fully renovated",10.71,"okres Žilina",Žilina,"Staré mesto"
JuzUlNr7U_e,"3-room apartment","partially renovated",11.67,"okres Žilina",Žilina,Vlčince
JuZK9MB7o6G,"4-room apartment","fully renovated",10.00,"okres Žilina",Žilina,Solinky
JuSreilLACi,"3-room apartment","new construction",12.10,"okres Žilina",Žilina,"Staré mesto"
JuZLDF7L6J1,"3-room apartment","fully renovated",11.11,"okres Žilina",Žilina,"Staré mesto"
JuKOidVb0W7,"3-room apartment",unrenovated,6.88,"okres Liptovský Mikuláš","Liptovský Hrádok",Belánska
JuIDpA00OUN,"2-room apartment","new construction",10.23,"okres Martin",Martin,Stred
JuEg-jxdD7t,"3-room apartment","new construction",9.08,"okres Martin",Martin,Stred
JuBSH-C3TAe,"2-room apartment","new construction",NULL,"okres Martin",Vrútky,"Horné Vrútky"
JuDV2pnh02W,"2-room apartment","fully renovated",8.62,"okres Martin",Sučany,Sučany
JuBpZ_BskLa,"2-room apartment","new construction",12.75,"okres Martin",Martin,Priekopa
JuFuOGe_LXE,"3-room apartment","fully renovated",11.65,"okres Žilina",Žilina,Hliny
JuKXwzVXskc,"4-room apartment","fully renovated",11.73,"okres Žilina",Žilina,"Staré mesto"
JuaoWKxAUyW,"3-room apartment","fully renovated",11.54,"okres Žilina",Žilina,Solinky
Juwu97tpKpb,"2-room apartment","fully renovated",8.24,"okres Martin",Martin,Stred
JuNAef2PSXl,"4-room apartment","fully renovated",10.24,"okres Žilina",Žilina,Hliny
JunvsP3a8hf,"holiday apartment","fully renovated",NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
JuuJ1uhMrN8,"2-room apartment","fully renovated",8.59,"okres Námestovo",Námestovo,Stred
JuTbC9RkGly,"4-room apartment","fully renovated",11.73,"okres Žilina",Žilina,"Staré mesto"
JuKzHgnrtuZ,"2-room apartment","new construction",9.08,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
JupAkSKIIBk,"4-room apartment","partially renovated",6.36,"okres Ružomberok",Ružomberok,"Staré mesto"
JunvOdNMl-j,"2-room apartment","fully renovated",13.00,"okres Martin",Martin,Stred
Ju5MSxaC_U4,"studio apartment","partially renovated",13.46,"okres Čadca",Čadca,Žarec
Ju0sE49cmdc,"3-room apartment","fully renovated",10.00,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
Ju9wHsIIJEO,"4-room apartment","fully renovated",8.00,"okres Žilina",Žilina,Trnové
JupJ5OCoIez,"2-room apartment","partially renovated",12.00,"okres Žilina",Žilina,Hájik
JuqvAhg9dB7,"3-room apartment","fully renovated",10.83,"okres Čadca","Krásno nad Kysucou",Stred
JudvlSKcuB3,"2-room apartment","partially renovated",9.00,"okres Martin",Martin,Košúty
Ju71Or7iIz1,"2-room apartment",unrenovated,8.00,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Stred
JupbJt5OZmn,"3-room apartment","partially renovated",7.73,"okres Dolný Kubín","Dolný Kubín",Brezovec
Ju-XczSJwZk,"3-room apartment","fully renovated",10.83,"okres Bytča",Bytča,"Veľká Bytča"
JuoQ5zgqUF8,"3-room apartment","fully renovated",8.33,"okres Žilina",Žilina,"Staré mesto"
Ju6NM6rUyuq,"1-room apartment","partially renovated",7.09,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Ondrašová"
JuYWEki50At,"studio apartment","new construction",25.71,"okres Žilina",Žilina,"Staré mesto"
Julagh5blsT,"2-room apartment","fully renovated",6.47,"okres Martin",Martin,Stred
JuaDMLn46eO,"2-room apartment","fully renovated",9.26,"okres Martin",Martin,Stred
JuzwzT16anT,"4-room apartment","new construction",11.96,"okres Žilina",Žilina,Hliny
JuK1t12r-oH,"2-room apartment","fully renovated",12.73,"okres Žilina",Žilina,Hliny
Ju7WBBedEh6,"3-room apartment","new construction",6.37,"okres Žilina",Žilina,Vlčince
JuFVUTYq75r,"2-room apartment","fully renovated",10.75,"okres Dolný Kubín","Dolný Kubín",Mokraď
JuktUK0BQQK,"2-room apartment","new construction",11.49,"okres Žilina",Žilina,Hliny
JuSqYMaXIJ4,"3-room apartment","partially renovated",10.58,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
Juty1iBq1Em,"3-room apartment","fully renovated",9.71,"okres Žilina",Žilina,"Staré mesto"
Ju4n_bUHLJ9,"2-room apartment",unrenovated,7.69,"okres Martin",Martin,Stred
JuDt4JSbLor,"2-room apartment","fully renovated",10.00,"okres Martin",Martin,Podháj
Jui1mJgPtv9,"3-room apartment","fully renovated",8.13,"okres Martin",Vrútky,"Horné Vrútky"
Jud1TyzIUXK,"2-room apartment","new construction",12.31,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
JuewVCwJvGy,"holiday apartment","fully renovated",NULL,"okres Žilina",Žilina,Vlčince
JuoZ1J6Es1y,"2-room apartment","fully renovated",13.00,"okres Žilina",Žilina,Hájik
JuWQ2JltmXN,"3-room apartment","new construction",8.72,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Stred
Ju4MMsyYZ5L,"studio apartment","fully renovated",18.00,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
JuzbyOpl5Xf,"3-room apartment","fully renovated",12.81,"okres Bytča",Bytča,"Veľká Bytča"
JuFU83JdcqO,"3-room apartment","partially renovated",8.88,"okres Dolný Kubín","Dolný Kubín","Veľký Bysterec"
JucGgWWz-uF,"1-room apartment",unrenovated,10.71,"okres Čadca",Čadca,Centrum
JueR5kVH0gB,"2-room apartment","new construction",9.00,"okres Martin",Martin,"Horné Vrútky"
Jugl5WLVOis,"2-room apartment",unrenovated,12.20,"okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie"
JuVx84ohOxh,"1-room apartment","partially renovated",NULL,"okres Martin",Martin,Stráne
Ju65cZ1we6J,"1-room apartment","new construction",17.57,"okres Žilina",Žilina,"Staré mesto"
Ju-XTfWbu4x,"2-room apartment","new construction",NULL,"okres Čadca",Čadca,Centrum
JuqmFIXrbkG,"studio apartment","new construction",18.18,"okres Dolný Kubín","Dolný Kubín",Brezovec
JuNbGbpkzSB,"4-room apartment","new construction",10.00,"okres Žilina",Žilina,Vlčince
JuOHl43if-S,"2-room apartment","fully renovated",13.95,"okres Dolný Kubín","Dolný Kubín",Mokraď
Juv-PlaXTBH,"3-room apartment","fully renovated",9.67,"okres Martin",Martin,Záturčie
JuiXqsf4YYv,"4-room apartment","fully renovated",13.13,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
Juuc5eYfRcY,"2-room apartment","fully renovated",10.61,"okres Martin",Martin,Podháj
JuvU6HPzzl0,"2-room apartment","fully renovated",13.10,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Ondrašová"
Ju67d-dUTmu,"3-room apartment","fully renovated",9.88,"okres Žilina",Žilina,"Staré mesto"
JutGSTAuW2R,"2-room apartment","fully renovated",10.42,"okres Martin",Martin,Stred
JuZCBswYwaN1,"holiday apartment","new construction",NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
Ju4LJ_g_D6K,"3-room apartment","fully renovated",10.92,"okres Bytča",Bytča,"Veľká Bytča"
JudMJ6hNCSy,"2-room apartment","fully renovated",10.00,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
Ju6MmU5y4t_,"4-room apartment","new construction",6.54,"okres Žilina",Žilina,Rosinky
Juq_j6YQYsV,"2-room apartment","fully renovated",8.75,"okres Martin",Martin,Stred
JuoJ3kkyC7Y,"2-room apartment","fully renovated",9.17,"okres Martin",Martin,Stred
JuVvUzJnXTu,"2-room apartment","new construction",12.86,"okres Žilina",Žilina,"Staré mesto"
JuNw9r8KaEc,"studio apartment","fully renovated",11.32,"okres Martin",Martin,Stred
Ju_V7mSpqiT,"1-room apartment","fully renovated",20.00,"okres Žilina",Žilina,Závodie
JuZMRwuUCim,"3-room apartment","fully renovated",11.54,"okres Kysucké Nové Mesto",Nesluša,Nesluša
JuyXVDLxEni,"2-room apartment","new construction",NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
Juq7qf85SJ_x,"2-room apartment",unrenovated,9.58,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Suľkov
JuW48-9PwOZ,"1-room apartment","new construction",10.00,"okres Čadca","Krásno nad Kysucou",Stred
Ju9pwW3rFN2,"1-room apartment","fully renovated",NULL,"okres Čadca",Čadca,Centrum
Ju5kidrwmrO2,"2-room apartment","new construction",9.20,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
JuokG910TrR,"1-room apartment","fully renovated",14.33,"okres Martin",Martin,Stred
JuJqHGEd9oq,"holiday apartment","fully renovated",14.40,"okres Žilina","Rajecké Teplice","Rajecké Teplice"
Ju9itHE-Ye8,"2-room apartment","fully renovated",11.82,"okres Martin",Martin,Stred
JuE1GXKIL78,"1-room apartment","fully renovated",15.79,"okres Žilina",Žilina,Vlčince
Juhxp3dqjhf,"1-room apartment","fully renovated",15.00,"okres Martin",Martin,Podháj
JufwsWkzi_8,"1-room apartment","fully renovated",14.33,"okres Martin",Martin,Stred
Juq2JDI17SL,"1-room apartment","new construction",17.57,"okres Žilina",Žilina,Vlčince
JufIcrH5ACA,"2-room apartment","fully renovated",11.29,"okres Žilina",Žilina,"Staré mesto"
Ju9Ws1QPS3n,"4-room apartment","fully renovated",8.77,"okres Žilina",Žilina,Vlčince
JuazplczVyT,"1-room apartment","partially renovated",15.20,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuuM-q0SgiK,"4-room apartment",unrenovated,8.93,"okres Žilina",Žilina,Vlčince
JuUOO-LXy23,"3-room apartment","fully renovated",11.10,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JucyrM14fby,"4-room apartment","fully renovated",8.98,"okres Žilina",Žilina,Vlčince
JuxE6cxjVt5,"3-room apartment","fully renovated",11.11,"okres Martin",Martin,Priekopa
JuS9mzdfL46,"2-room apartment","new construction",6.63,"okres Žilina",Žilina,Vlčince
Juopd9f8gHL,"2-room apartment","fully renovated",11.32,"okres Martin",Martin,Priekopa
JuKVuQz4tJM,"2-room apartment","fully renovated",12.56,"okres Dolný Kubín","Dolný Kubín",Mokraď
JuXU3OM1vfY,"3-room apartment","fully renovated",10.77,"okres Žilina",Žilina,"Staré mesto"
Ju7W5q5NyuP,"holiday apartment","new construction",NULL,"okres Tvrdošín",NULL,NULL
Ju-7v4T1AY6H,"2-room apartment","partially renovated",10.00,"okres Martin",Martin,Priekopa
Juqwj6nqGVe,"3-room apartment","new construction",16.44,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JufIYFnXqFe,"3-room apartment","fully renovated",7.86,"okres Martin",Martin,Stred
JuUk6PkKhU1,"2-room apartment","fully renovated",12.31,"okres Žilina",Žilina,"Staré mesto"
JumYoLK7UqZ,"1-room apartment","fully renovated",12.50,"okres Martin",Martin,Stred
JuJZH5W0xc8,"2-room apartment","fully renovated",8.29,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
Juluyhlg8Mb,"studio apartment","partially renovated",17.89,"okres Martin",Martin,Sever
JuE57rFMsYf,"2-room apartment","new construction",11.00,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
Ju6xkslUZo-,"2-room apartment","development project",12.67,"okres Žilina",Žilina,Bôrik
JuwbdEJILXn,"2-room apartment","partially renovated",12.60,"okres Žilina",Žilina,Hájik
JuvOvL67CnW,"4-room apartment","fully renovated",8.53,"okres Dolný Kubín","Dolný Kubín",Stred
Jum6U0_5m9N,"2-room apartment","fully renovated",8.47,"okres Žilina",Žilina,Vlčince
JuoiWz-kUDq,"2-room apartment","new construction",14.00,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
JuxN0XX5d2L,"3-room apartment","fully renovated",10.90,"okres Bytča",Bytča,"Veľká Bytča"
JuQfDarw60S,"2-room apartment","fully renovated",9.38,"okres Martin",Martin,Podháj
JuPs0jZ4Upm,"3-room apartment","fully renovated",11.67,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Nábrežie
JuZ2eoxoyai,"3-room apartment","new construction",5.00,"okres Liptovský Mikuláš","Partizánska Ľupča","Partizánska Ľupča"
Ju6KRY_ibJj,"3-room apartment","fully renovated",6.86,"okres Ružomberok",Ružomberok,Polík
JuuS6FA8WTM,"1-room apartment","fully renovated",11.05,"okres Čadca",Čadca,Žarec
JuwDKSHdYOM,"3-room apartment","fully renovated",8.25,"okres Čadca",Čadca,Centrum
JuKE1haIfBQ,"1-room apartment","new construction",16.67,"okres Žilina",Žilina,"Staré mesto"
JukH94BLOrl,"1-room apartment","partially renovated",10.53,"okres Martin",Turany,Turany
Ju_P4weQ1yi,"3-room apartment","partially renovated",9.72,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
Ju4jUNHrCaa,"2-room apartment","fully renovated",15.95,"okres Žilina",Žilina,Hliny
JueFBhJMkEL,"studio apartment","fully renovated",14.23,"okres Čadca",Čadca,Žarec
JuiowNIBmX1,"3-room apartment","partially renovated",8.38,"okres Čadca",Čadca,Kyčerka
JusujBj0j9H,"3-room apartment","fully renovated",9.50,"okres Žilina",Žilina,Vlčince
Ju1sYuOumZf,"3-room apartment","fully renovated",NULL,"okres Ružomberok",Ružomberok,Klačno
JupXiFdQKs1,"3-room apartment","partially renovated",10.43,"okres Žilina",Žilina,Solinky
Jut7GOvY7Cs,"3-room apartment","new construction",5.76,"okres Námestovo","Oravské Veselé","Oravské Veselé"
JuucDO18CeY,"3-room apartment","fully renovated",NULL,"okres Žilina",Žilina,Bôrik
Ju_N2iy5JWS,"studio apartment","fully renovated",14.44,"okres Martin",Necpaly,Necpaly
JukxcpBCVX8,"1-room apartment","new construction",17.93,"okres Žilina",Žilina,Vlčince
JuyD0Z9BTN-,"2-room apartment","fully renovated",10.34,"okres Bytča",Bytča,"Veľká Bytča"
Ju9LPOOoAn-,"3-room apartment","fully renovated",9.67,"okres Martin",Martin,Stred
Juq3cdm2VSm,"2-room apartment","fully renovated",11.02,"okres Bytča",Bytča,"Veľká Bytča"
Jum7aZZZlIy,"1-room apartment","fully renovated",14.81,"okres Martin",Martin,Košúty
JujQYigyRBf,"2-room apartment","partially renovated",6.90,"okres Martin",Martin,Sever
Ju6nNzmPk_9,"2-room apartment","fully renovated",13.12,"okres Bytča",Bytča,"Veľká Bytča"
Ju6oJmE8oWf,"2-room apartment","new construction",10.68,"okres Čadca",Čadca,Centrum
JuXmK-edCSR,"3-room apartment","fully renovated",10.95,"okres Bytča",Bytča,"Veľká Bytča"
JuURItmx0gz,"2-room apartment","new construction",11.46,"okres Žilina",Terchová,Terchová
JuBNi2HSNwg,"3-room apartment","fully renovated",7.78,"okres Martin",Martin,Ľadoveň
JuJGytVBKhB,"2-room apartment","fully renovated",11.40,"okres Martin",Martin,Podháj
JuaIL0ybcDR,"3-room apartment","fully renovated",8.02,"okres Žilina",Žilina,"Staré mesto"
JubGyQoKm-F,"2-room apartment","partially renovated",9.82,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Nábrežie
JuMlNRioczT,"3-room apartment","partially renovated",4.48,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuKy-dL9Ryo,"2-room apartment","new construction",13.71,"okres Žilina",Žilina,Vlčince
JuR0t0CZHt8,"2-room apartment","partially renovated",9.09,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuyBFHxJEo2F,"2-room apartment","partially renovated",12.50,"okres Čadca",Čadca,Centrum
Jus0-bkZHge,"3-room apartment","partially renovated",8.53,"okres Martin",Martin,Ľadoveň
Jubh8FOR_C9,"studio apartment","fully renovated",14.55,"okres Martin",Martin,Sever
JurzQ4OXOH_,"studio apartment","new construction",17.33,"okres Žilina",Žilina,Hliny
Ju88ayVM-YP5,"4-room apartment",unrenovated,4.04,"okres Turčianske Teplice","Turčianske Teplice",Diviaky
Ju27eP_ig4Z,"2-room apartment","new construction",12.75,"okres Žilina",Žilina,Hliny
JuY5BHrBXS_,"4-room apartment","fully renovated",9.30,"okres Martin",Martin,Košúty
JuDGw-se-Mg,"1-room apartment","new construction",10.53,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
JuQ4Jf_xqij,"2-room apartment","fully renovated",8.86,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
Ju9csMkjbyN,"3-room apartment","partially renovated",8.73,"okres Martin",Martin,Ľadoveň
JuwMlHIuC26,"2-room apartment","new construction",17.74,"okres Martin","Turčianska Štiavnička","Turčianska Štiavnička"
JuN8mAtD42x,"3-room apartment","fully renovated",9.17,"okres Čadca",Klubina,Klubina
Jun8HaIrjPB,"3-room apartment","fully renovated",9.03,"okres Dolný Kubín","Dolný Kubín","Veľký Bysterec"
JuZ6EDDylkC,"3-room apartment","fully renovated",8.82,"okres Žilina",Žilina,"Staré mesto"
Ju6cRlkmMC_,"1-room apartment","fully renovated",12.50,"okres Dolný Kubín",Istebné,Istebné
JuFBiuRLpoy,"2-room apartment","new construction",11.82,"okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie"
JuIgM2fUqeh,"2-room apartment","fully renovated",10.56,"okres Martin",Martin,Podháj
JurbbuyjxWx,"3-room apartment","new construction",9.47,"okres Žilina",Žilina,"Staré mesto"
JuSS030a7te,"1-room apartment","fully renovated",14.56,"okres Žilina",Žilina,Vlčince
Ju93xLSe03c,"1-room apartment","partially renovated",10.67,"okres Martin",Martin,Záturčie
JuRvQ8h5ljK,"3-room apartment","fully renovated",10.42,"okres Žilina",Žilina,Vlčince
JuqL8yAiSJt,"2-room apartment","new construction",12.79,"okres Čadca","Krásno nad Kysucou",Kalinov
JuCHpapFKG8,"2-room apartment","new construction",11.56,"okres Martin",Martin,Záturčie
Ju54zsovXgd,"3-room apartment","partially renovated",11.75,"okres Žilina",Žilina,Hliny
JuUygteSgA9,"2-room apartment","partially renovated",7.80,"okres Žilina",Žilina,"Staré mesto"
JuvxnqGhrvB,"3-room apartment","partially renovated",6.67,"okres Čadca",Čadca,NULL
JudF4Y5NRYO,"2-room apartment","new construction",15.38,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia"
JuWSXBSHA4W,"studio apartment","fully renovated",12.42,"okres Čadca",Čadca,Žarec
JuSwv58uXFj,"studio apartment","fully renovated",16.96,"okres Dolný Kubín","Dolný Kubín",Brezovec
JuSEGf_jb32,"2-room apartment","new construction",11.21,"okres Námestovo","Oravské Veselé","Oravské Veselé"
JujwaDNeJ1i,"2-room apartment","partially renovated",NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
Jusrma_M5xf,"3-room apartment","fully renovated",11.11,"okres Žilina",Žilina,Solinky
JuETFY0yocs,"3-room apartment","fully renovated",13.46,"okres Žilina",Žilina,Hliny
