location_district,location_area,location_effect
"okres Čadca","Nová Bystrica",-351
"okres Liptovský Mikuláš",Malužiná,-399
"okres Martin",Sučany,-410
"okres Martin","Turčianska Štiavnička",-430
"okres Bytča",Pšurnovice,-459
"okres Martin",Necpaly,-532
"okres Turčianske Teplice",Jazernica,-617
"okres Ružomberok",Polík,-627
"okres Martin",Príbovce,-674
"okres Žilina",Ďurčiná,-678
"okres Martin",Turany,-679
"okres Čadca","Dlhá nad Kysucou",-685
"okres Čadca",Kalinov,-689
"okres Čadca",Makov,-708
"okres Ružomberok","Liptovská Lúžna",-711
"okres Námestovo",Zubrohlava,-752
"okres Námestovo",Polom,-785
"okres Námestovo","Oravské Veselé",-923
"okres Bytča",Súľov-Hradná,-978
"okres Turčianske Teplice",Rakša,NULL
