offer_id,property_type,terrain,location_district,location_city,location_area
JufUCJs2WIN,house,flat,"okres Martin","Košťany nad Turcom","Košťany nad Turcom"
JuViiwQVAc8,house,sloped,"okres Martin",Vrútky,"Karvaša a Bláhovca"
Ju7iLKVUgMi,house,flat,"okres Martin",Valča,Valča
Ju_j96JYJ3R,house,flat,"okres Žilina",Stráňavy,Stráňavy
JuacBqltuem,house,flat,"okres Žilina","Teplička nad Váhom","Teplička nad Váhom"
Ju5jLRFNJLG,house,"mostly flat","okres Bytča",Bytča,"Hliník nad Váhom"
JuzhCWgXTbr,house,NULL,"okres Žilina",Gbeľany,Gbeľany
Ju7pOpcYmHI,house,"gently sloped","okres Žilina",Podhorie,Podhorie
Jueg5nyRwtD,house,"gently sloped","okres Žilina",Terchová,Terchová
Jua2IIfvhoU,house,"gently sloped","okres Martin",Vrútky,"Karvaša a Bláhovca"
Juq1uzcK3Zo,house,terraced,"okres Turčianske Teplice",Mošovce,Mošovce
JuwSpmc62PT,house,"gently sloped","okres Žilina",Lysica,Lysica
JuPi43juw_9,house,terraced,"okres Čadca",Oščadnica,Oščadnica
JuIasSYB1E7,house,flat,"okres Martin","Dolný Kalník","Dolný Kalník"
JuE3k8ViQWV,house,flat,"okres Žilina",Žilina,Trnové
JuJKCTa_I_C,house,"gently sloped","okres Martin",Belá-Dulice,Belá-Dulice
JuV4X4JdJ77,house,flat,"okres Turčianske Teplice","Turčianske Teplice","Turčiansky Michal"
JujjP_MAirA,house,flat,"okres Dolný Kubín","Dolný Kubín",Mokraď
JueY97MJhb3,house,flat,"okres Žilina",Žilina,"Malá Praha"
JubZoYrfSp9,house,flat,"okres Žilina",Žilina,Bánová
JuhR8_uiRxX,house,flat,"okres Ružomberok",Komjatná,Komjatná
JuOitn_WAgJ,house,flat,"okres Liptovský Mikuláš","Veľké Borové","Veľké Borové"
JuIa9S8sGpG,house,"gently sloped","okres Žilina",Žilina,Trnové
JuhybejcNce,house,flat,"okres Žilina",Žilina,"Staré mesto"
JudzDOvNunu,house,flat,"okres Martin",Martin,"Kolónia Hviezda"
JuPdbj_I7Hc,house,NULL,"okres Ružomberok",Ružomberok,Černová
Ju88y75X0Gs,house,other,"okres Ružomberok",Ružomberok,"Biely Potok"
Ju0TAHkXz3F,house,"mostly flat","okres Žilina",Mojš,Mojš
Ju2mmFeZCca,house,"mostly flat","okres Žilina",Žilina,Hliny
Ju_D1IbOI5l,house,"mostly flat","okres Liptovský Mikuláš","Závažná Poruba","Závažná Poruba"
JucYnfxB91V,house,flat,"okres Ružomberok","Liptovské Sliače","Liptovské Sliače"
JufRC9onHuL,house,"gently sloped","okres Čadca",Oščadnica,Oščadnica
Ju5R8pDPeWZ,house,flat,"okres Martin",Martin,"Kolónia Hviezda"
Ju6HLriDjfB,house,flat,"okres Ružomberok","Liptovská Štiavnica","Liptovská Štiavnica"
Ju7mrdPR_cn,house,NULL,"okres Bytča",Štiavnik,Štiavnik
Ju-2YZ37zxt,house,flat,"okres Liptovský Mikuláš",Važec,Važec
Ju1cp4Zdad9,house,"mostly flat","okres Ružomberok","Liptovské Sliače","Liptovské Sliače"
JulXcIcccXx,house,NULL,"okres Martin",Valča,Valča
Ju2sBY5BIo1,house,NULL,"okres Žilina",Mojš,Mojš
JuE7_yY48hp,house,NULL,"okres Liptovský Mikuláš","Liptovská Kokava","Liptovská Kokava"
JuZhO-rErgT,house,flat,"okres Čadca","Vysoká nad Kysucou","Vysoká nad Kysucou"
JuOha8XJ-eZ,house,NULL,"okres Martin",Vrútky,"Karvaša a Bláhovca"
Ju2EG21S4h4,house,other,"okres Liptovský Mikuláš",Bobrovník,Bobrovník
Jum5hTEjQIq,house,flat,"okres Turčianske Teplice","Turčianske Teplice",Stred
JuG-bGr9or0,house,"gently sloped","okres Martin",Martin,Stráne
JumII_lj6i4,house,NULL,"okres Žilina",Svederník,Svederník
JunpOFmuQsM,house,flat,"okres Čadca",Makov,Makov
JuaDU5eWN9y,house,"mostly flat","okres Čadca","Stará Bystrica","Stará Bystrica"
JucsRg9RieN,house,NULL,"okres Martin",Martin,Priekopa
JuM4P4vy0RV,house,NULL,"okres Žilina",Žilina,"Žilinská Lehota"
JuUMimgiwBf,house,sloped,"okres Kysucké Nové Mesto","Kysucké Nové Mesto","Budatínska Lehota"
Jukz4cqoQIH,house,other,"okres Čadca",Makov,Makov
JuKIg369MuS,house,NULL,"okres Liptovský Mikuláš",Bukovina,Bukovina
JuBqrsBTBJs,house,flat,"okres Ružomberok",Ružomberok,"Staré mesto"
Jusa_KVAuJ7,house,"gently sloped","okres Čadca",Svrčinovec,Svrčinovec
Jupd__eIrfW,house,NULL,"okres Martin",Vrútky,"Karvaša a Bláhovca"
Ju419iKir6V,house,flat,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Ondrašová"
JuVNXqUSw6h,house,"gently sloped","okres Ružomberok",Ružomberok,"Staré mesto"
JuV0_j6OG4Q,house,flat,"okres Čadca","Stará Bystrica","Stará Bystrica"
Juoa-Iz2VRV,house,flat,"okres Čadca",Olešná,Olešná
JuEW0eTR9MG,house,flat,"okres Žilina",Žilina,"Staré mesto"
Ju7atSyCG1P,house,flat,"okres Žilina",Žilina,Bytčica
JuvIyu9zHe0,house,flat,"okres Bytča",Bytča,"Hliník nad Váhom"
Ju23oRXuRNw,house,NULL,"okres Čadca",Čadca,Horelica
JudhN1eg-Z1,house,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
Ju9kLci6QHU,house,NULL,"okres Liptovský Mikuláš","Liptovská Porúbka","Liptovská Porúbka"
JuddrVo_6K8,house,NULL,"okres Tvrdošín",Zábiedovo,Zábiedovo
JubSXyHD9FS,house,other,"okres Žilina",Bitarová,Bitarová
JueNBBfFeD4,house,flat,"okres Žilina",Varín,Varín
JuCx5OqxogO,house,NULL,"okres Žilina",Rajec,Rajec
JugBNFAg1HA,house,flat,"okres Ružomberok",Ružomberok,Rybárpole
JuE1L7QIb5r,house,flat,"okres Martin",Martin,Priekopa
Ju0MsknUaYA,house,"mostly flat","okres Žilina",Terchová,Terchová
Ju1GDbbrB55,house,flat,"okres Čadca",Čadca,Podzávoz
JuaMaWInHEa,house,NULL,"okres Žilina","Dolný Hričov","Dolný Hričov"
JujFiU7wF23,house,flat,"okres Bytča",Bytča,"Bytča - sever"
JuxEotSi75n,house,flat,"okres Čadca",Makov,Makov
Ju5GSMP-mjz,house,NULL,"okres Čadca",Čadca,Horelica
JujtVzSs6Xp,house,flat,"okres Martin",Necpaly,Necpaly
JuHDbG3yLMb,house,flat,"okres Liptovský Mikuláš",Pribylina,Pribylina
Jug4SIOybnO,house,"gently sloped","okres Martin",Martin,Stred
Ju1tsUeFhRS,house,NULL,"okres Žilina",Rosina,Rosina
Juws22--sLM,house,"gently sloped","okres Liptovský Mikuláš","Liptovský Trnovec","Liptovský Trnovec"
JuiKlGUbKmU,house,flat,"okres Tvrdošín",Vitanová,Vitanová
JuvemPDdxob,house,flat,"okres Kysucké Nové Mesto","Kysucké Nové Mesto","Budatínska Lehota"
Juv-ZyHYN0s,house,flat,"okres Žilina",Hôrky,Hôrky
Ju9NWPjsyPl,house,NULL,"okres Čadca",Zákopčie,Zákopčie
JuFzDxVJ2q6,house,NULL,"okres Ružomberok","Liptovské Revúce","Liptovské Revúce"
JumvGr4WHDN,house,other,"okres Žilina",Gbeľany,Gbeľany
JumL89VNCQA,house,flat,"okres Ružomberok",Ružomberok,"Staré mesto"
JuE93RTyEY1k,house,NULL,"okres Ružomberok","Liptovská Lúžna","Liptovská Lúžna"
JuKa1Trlsqb,house,flat,"okres Žilina","Dlhé Pole","Dlhé Pole"
JufqC5RH_Te,house,flat,"okres Turčianske Teplice","Turčianske Teplice",Stred
JuFqa8ebzxy,house,flat,"okres Žilina",Terchová,Terchová
JuWeOewD3Gg,house,flat,"okres Liptovský Mikuláš",Dúbrava,Dúbrava
JuuJvOruCyE,house,NULL,"okres Martin",Martin,Sever
Ju1Fv2ySoaS,house,flat,"okres Martin",Príbovce,Príbovce
JuFC-aJuKRa,house,flat,"okres Žilina","Malá Čierna","Malá Čierna"
JuSs3N5i3rL,house,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Benice
JuKx19d2RCd,house,flat,"okres Martin",Martin,Jahodníky
JuY-SPBwd8P,house,NULL,"okres Liptovský Mikuláš",Smrečany,Smrečany
JuLWBKzZeJE,house,"gently sloped","okres Martin",Necpaly,Necpaly
JuD8rezKquD,house,flat,"okres Turčianske Teplice","Turčianske Teplice",Diviaky
JubU0eKdiVr,house,flat,"okres Bytča",Bytča,"Hliník nad Váhom"
Jupwy58HyS3,house,flat,"okres Liptovský Mikuláš","Liptovské Kľačany","Liptovské Kľačany"
Jux_9WVvE-Q,house,NULL,"okres Turčianske Teplice","Horná Štubňa","Horná Štubňa"
JupBKdvb5-A,house,flat,"okres Liptovský Mikuláš","Liptovský Trnovec","Liptovský Trnovec"
JuoQ_50mfjv,house,flat,"okres Žilina",Stránske,Stránske
JuiW01vp_No,house,NULL,"okres Čadca",Čadca,Čadečka
JugGPssQETW,house,flat,"okres Dolný Kubín",Zázrivá,Zázrivá
JuVBGZswzO8,house,"gently sloped","okres Žilina","Rajecké Teplice","Rajecké Teplice"
Ju6igj_0jNC,house,"gently sloped","okres Dolný Kubín","Oravský Podzámok","Oravský Podzámok"
Jun0rUiHHId,house,"gently sloped","okres Martin","Turčiansky Peter","Turčiansky Peter"
JuRC_sngF0m,house,flat,"okres Žilina",Terchová,Terchová
Jupi9oHSOxK,house,flat,"okres Turčianske Teplice",Háj,Háj
JuhlHrJa9hV,house,flat,"okres Martin",Martin,Stráne
Jufj_0Gj-0k,house,NULL,"okres Liptovský Mikuláš",Ľubeľa,Ľubeľa
JuqStupTj78,house,flat,"okres Žilina",Žilina,"Staré mesto"
Juk3KAL7-tq,house,flat,"okres Martin",Podhradie,Podhradie
JudpEUux9d7,house,"mostly flat","okres Liptovský Mikuláš","Závažná Poruba","Závažná Poruba"
Ju3LCu23qXh,house,flat,"okres Ružomberok",Ružomberok,"Staré mesto"
Juwr4hT_Hw4,house,NULL,"okres Martin",Martin,Priekopa
JuLejb12kjD,house,flat,"okres Kysucké Nové Mesto",Povina,Povina
Ju3CARY9OXA,house,NULL,"okres Čadca",Čadca,Centrum
JuuOm3BAvYEs,house,flat,"okres Martin",NULL,NULL
JuiyrWA4fnU,house,flat,"okres Čadca",Turzovka,Závodie
JuwmzGWznze,house,NULL,"okres Liptovský Mikuláš",Dúbrava,Dúbrava
JuZLXRA74dF,house,flat,"okres Martin",Ležiachov,Ležiachov
JuuVW7D3CC4,house,flat,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Ondrašová"
JucFteCcorV,house,flat,"okres Čadca",Raková,Raková
JutrNWqo1mF,house,NULL,"okres Martin",Žabokreky,Žabokreky
Ju91riyeIY0,house,NULL,"okres Liptovský Mikuláš","Svätý Kríž","Svätý Kríž"
JuJVlSLNzUp,house,NULL,"okres Turčianske Teplice","Horná Štubňa","Horná Štubňa"
JuDis4x18zz,house,"gently sloped","okres Liptovský Mikuláš",Ižipovce,Ižipovce
JuDZksNmp-x,house,NULL,"okres Ružomberok","Liptovská Teplá","Liptovská Teplá"
Ju-NcnxkRbA,house,NULL,"okres Ružomberok",Stankovany,Stankovany
JuCQvl5wSHc,house,NULL,"okres Čadca",Korňa,Korňa
JuMul7PwvM2d,house,"mostly flat","okres Žilina",Višňové,Višňové
Ju8Q97pjRsq,house,NULL,"okres Ružomberok",Ivachnová,Ivachnová
Ju2NkOjuxZI,house,other,"okres Žilina","Rajecké Teplice","Rajecké Teplice"
JuJ5uCQt9op,house,flat,"okres Žilina","Lietavská Svinná-Babkov","Lietavská Svinná-Babkov"
JurLHZvtaEy,house,"gently sloped","okres Martin",Martin,Stred
Juxivp9KfQ0,house,NULL,"okres Žilina",Rosina,Rosina
Jud93oHCOHE,house,flat,"okres Martin",Bystrička,Bystrička
JuJsyjovPfc,house,NULL,"okres Čadca","Dlhá nad Kysucou","Dlhá nad Kysucou"
JuOaEJ-u0ZG,house,"gently sloped","okres Čadca",Svrčinovec,Svrčinovec
Ju02FWXcSxg,house,flat,"okres Turčianske Teplice",Mošovce,Mošovce
JuNBS73Ff1Z,house,flat,"okres Martin",Turany,Turany
Juet0DuhtSi,house,NULL,"okres Liptovský Mikuláš",Prosiek,Prosiek
JutC2YgCUCh,house,NULL,"okres Martin",Bystrička,Bystrička
JuxTlJngqfx,house,"mostly flat","okres Žilina",Hôrky,Hôrky
JuTG5fkPlv9,house,sloped,"okres Turčianske Teplice",Abramová,Abramová
JunogbuFikZ,house,flat,"okres Ružomberok",Stankovany,Stankovany
JuQYvnGYftR,house,NULL,"okres Martin",Martin,Stráne
JuE2xdPeLMB,house,NULL,"okres Žilina",Žilina,Budatín
JuQBGbl9GCs,house,"gently sloped","okres Bytča",Kolárovice,Kolárovice
Ju_uHTH2LKy,house,"mostly flat","okres Bytča","Veľké Rovné","Veľké Rovné"
JucgDISpkFu,house,flat,"okres Ružomberok","Liptovská Štiavnica","Liptovská Štiavnica"
Juf5RoOgfBW,house,flat,"okres Bytča",Bytča,"Hliník nad Váhom"
JuZFa40Foop,house,flat,"okres Kysucké Nové Mesto",NULL,NULL
Juako0agoSO,house,"mostly flat","okres Žilina",Stránske,Stránske
Jubj0GQo0yb,house,"gently sloped","okres Čadca",Zákopčie,Zákopčie
JufilbyD1c1,house,NULL,"okres Ružomberok",Ružomberok,"Biely Potok"
JutiSbVRe_4,house,flat,"okres Žilina",Žilina,Bôrik
JuNs-c1_Jug,house,flat,"okres Čadca",Staškov,Staškov
JunPSVDxWEH,house,flat,"okres Martin",Martin,"Kolónia Hviezda"
Jujj9R6pdLi,house,flat,"okres Žilina",Konská,Konská
JuX1WyelwxA,house,flat,"okres Žilina","Malá Čierna","Malá Čierna"
JuiwpIv6ZO8n,house,NULL,"okres Turčianske Teplice","Turčianske Teplice","Turčiansky Michal"
JuzAGRifcCv,house,flat,"okres Čadca","Krásno nad Kysucou",Stred
JuWLq7Wh8lf,house,NULL,"okres Martin","Kláštor pod Znievom","Kláštor pod Znievom"
Ju9fCSXKuI8,house,NULL,"okres Liptovský Mikuláš",Važec,Važec
JuzfaiaPF1e,house,flat,"okres Martin",Martin,Jahodníky
Ju_jNWgq4Ah,house,"mostly flat","okres Liptovský Mikuláš","Kráľova Lehota","Kráľova Lehota"
JukqbzsVg5j,house,flat,"okres Martin",Belá-Dulice,Belá-Dulice
Ju7p-ibu19t,house,"gently sloped","okres Liptovský Mikuláš","Liptovská Porúbka","Liptovská Porúbka"
JuHbG5bC-AQ,house,"gently sloped","okres Martin",Martin,Stráne
JuMpX9TQAHl,house,flat,"okres Dolný Kubín","Dolný Kubín",Brezovec
JuTNxy0mSKf,house,"mostly flat","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Suľkov
Juwnal8LZ_c,house,"gently sloped","okres Žilina",Žilina,"Žilinská Lehota"
JukKOW5g8ic,house,flat,"okres Ružomberok",Kalameny,Kalameny
JufvMyqhmxo,house,flat,"okres Martin",Vrícko,Vrícko
JuUuFP8LBad,house,"mostly flat","okres Dolný Kubín",Malatiná,Malatiná
JuGlgzti-Xv,house,flat,"okres Čadca",Staškov,Staškov
JuLLKbrzsGT,house,"gently sloped","okres Žilina",Žilina,Budatín
JuHzzpFEcq7,house,NULL,"okres Žilina",Terchová,Terchová
JuAHn1RYaaM,house,flat,"okres Čadca",Korňa,Korňa
JuUyDXLqSR7,house,flat,"okres Tvrdošín",Nižná,Nižná
JuxqHjwv5kQ,house,flat,"okres Martin","Kláštor pod Znievom","Kláštor pod Znievom"
JukjLL6Pznq,house,flat,"okres Bytča","Hlboké nad Váhom","Hlboké nad Váhom"
JuEdQgaYA3w,house,flat,"okres Martin",Príbovce,Príbovce
JucVvBL8mQZ,house,flat,"okres Žilina",Brezany,Brezany
Juzanri8hki,house,flat,"okres Bytča",Bytča,"Hliník nad Váhom"
JuNKxzZQlzf,house,flat,"okres Žilina",Višňové,Višňové
JuLre6AewXY,house,NULL,"okres Ružomberok",Ivachnová,Ivachnová
JuJF0aEq48e,house,flat,"okres Žilina",Hôrky,Hôrky
Ju2bCMkIGvc,house,NULL,"okres Bytča",Štiavnik,Štiavnik
JuHinPus21r,house,flat,"okres Ružomberok",Lisková,Lisková
Ju3sdsvW1qf,house,NULL,"okres Ružomberok",Ružomberok,"Staré mesto"
JujgFHysqby,house,flat,"okres Martin","Turčianske Kľačany","Turčianske Kľačany"
Juec3rJbHzE,house,flat,"okres Liptovský Mikuláš","Liptovská Sielnica","Liptovská Sielnica"
JuVTTY5wrme,house,flat,"okres Turčianske Teplice","Turčianske Teplice",Diviaky
JufEAKik-mc,house,sloped,"okres Martin",Podhradie,Podhradie
Ju8UQkGga6F,house,sloped,"okres Ružomberok",Lisková,Lisková
JuMmB0vZcwg,house,"mostly flat","okres Žilina",Žilina,Bôrik
Juu4bOArZvB,house,NULL,"okres Ružomberok",Lúčky,Lúčky
JuG-JRPmhAG,house,other,"okres Žilina",NULL,NULL
Ju6-BxY4Q9v,house,NULL,"okres Martin",Blatnica,Blatnica
Ju4_CW18xww,house,flat,"okres Žilina","Paština Závada","Paština Závada"
JujfdD-5RPO,house,flat,"okres Ružomberok",Komjatná,Komjatná
JuJ5z8J0t7V,house,other,"okres Žilina",Žilina,Budatín
Ju7pKhqP4zK,house,flat,"okres Martin",Sučany,Sučany
JuRty8qQQ_7,house,"gently sloped","okres Tvrdošín",Tvrdošín,Tvrdošín
Juv0ePbKA7G,house,flat,"okres Dolný Kubín",Kraľovany,Kraľovany
JuKz9mvEvI_,house,"gently sloped","okres Liptovský Mikuláš",Važec,Važec
JunAaEjMO5H,house,flat,"okres Liptovský Mikuláš",Važec,Važec
JuVJGPaHJOp,house,"gently sloped","okres Čadca",Zákopčie,Zákopčie
JuqydMjWuh4,house,NULL,"okres Žilina",Lysica,Lysica
JunkMQWQbHn,house,flat,"okres Žilina",Žilina,Bánová
JuM-6ImZqgg,house,NULL,"okres Čadca",Čadca,Centrum
Jup9Yn-xSxK,house,other,"okres Žilina",Bitarová,Bitarová
JuB8tqpRaSl,house,"mostly flat","okres Ružomberok",Ružomberok,"Pod Skalami"
Juu2Y87Z-DK,house,NULL,"okres Čadca",Skalité,Skalité
JukEQsAHFmW,house,"gently sloped","okres Turčianske Teplice",Budiš,Budiš
JuMiWG_Bjr-,house,flat,"okres Žilina",Varín,Varín
JuoozgHS-2r,house,"gently sloped","okres Čadca",Čadca,"U Hluška"
Juzaery-uaM,house,NULL,"okres Martin",Martin,Tomčany
JuJSekEM4oc,house,flat,"okres Ružomberok","Liptovské Sliače","Liptovské Sliače"
JubJO0qS-zH,house,flat,"okres Liptovský Mikuláš",Ľubeľa,Ľubeľa
JueA1N-Ntfj,house,"gently sloped","okres Liptovský Mikuláš","Závažná Poruba","Závažná Poruba"
JuHtgn-PdTN,house,flat,"okres Martin","Turčianske Kľačany","Turčianske Kľačany"
Jub25_ejcJA,house,"gently sloped","okres Čadca",Oščadnica,Oščadnica
JuvMlRWqyJoo,house,other,"okres Kysucké Nové Mesto",Nesluša,Nesluša
JuzSO8DcIjL,house,flat,"okres Martin",Diaková,Diaková
JuT-mCUWMWu,house,"gently sloped","okres Liptovský Mikuláš",Bobrovník,Bobrovník
Ju14mSBpDUx,house,NULL,"okres Čadca",Oščadnica,Oščadnica
Ju07wpce3-e,house,NULL,"okres Ružomberok",Turík,Turík
JuiIP6qTDBs,house,flat,"okres Liptovský Mikuláš",Vlachy,Vlachy
JuWA9aOrYrn,house,flat,"okres Martin",Žabokreky,Žabokreky
JuTaKGvu-_W,house,NULL,"okres Bytča",Štiavnik,Štiavnik
Juolbg2gxyQ,house,other,"okres Liptovský Mikuláš",Ižipovce,Ižipovce
JuOzMZP3NXD,house,"gently sloped","okres Čadca","Krásno nad Kysucou",Kalinov
JuhiXx9KEAl,house,"gently sloped","okres Dolný Kubín","Dolný Kubín",Medzihradné
JuD_VuWF7qU,house,sloped,"okres Dolný Kubín",Istebné,Istebné
Ju7FT7K1T9V,house,flat,"okres Žilina",Svederník,Svederník
Ju1tEs_gT7e,house,sloped,"okres Žilina",Gbeľany,Gbeľany
JujDi-L-0hf,house,"mostly flat","okres Čadca",Olešná,Olešná
JuWVZLxkLMK,house,"gently sloped","okres Ružomberok",Ružomberok,Hrabovo
JuUrENnUrd4,house,flat,"okres Martin","Turčiansky Peter","Turčiansky Peter"
JuRBO1iDcGe,house,flat,"okres Martin",Sučany,Sučany
JuzawK4H-li,house,flat,"okres Kysucké Nové Mesto","Dolný Vadičov","Dolný Vadičov"
JuiNBbsX-1P,house,flat,"okres Žilina",Žilina,Bytčica
JuIGCsa_wh0,house,NULL,"okres Martin",Blatnica,Blatnica
JuCbUaiZ-t8,house,flat,"okres Čadca",Skalité,Skalité
JuPBoWiotP6,house,sloped,"okres Turčianske Teplice","Horná Štubňa","Horná Štubňa"
JuyVW5GYHzb,house,"gently sloped","okres Žilina",Lysica,Lysica
JufXd7f876u,house,flat,"okres Žilina",Žilina,Bánová
JuvDMV343M4,house,flat,"okres Bytča",Bytča,"Hliník nad Váhom"
JunqWaLvLjb,house,flat,"okres Liptovský Mikuláš","Liptovská Sielnica","Liptovská Sielnica"
JufxA_4siD5,house,"gently sloped","okres Námestovo",Námestovo,"Slanická Osada"
JuNEJj6Bobe,house,"gently sloped","okres Liptovský Mikuláš",Ľubeľa,Ľubeľa
Ju7GkmUpk7w,house,"gently sloped","okres Ružomberok","Liptovská Lúžna","Liptovská Lúžna"
JuugYuyjxCy,house,flat,"okres Čadca",Raková,Raková
JuENmSVbf52,house,"gently sloped","okres Žilina",Rosina,Rosina
JuSDor_pBw9,house,NULL,"okres Martin",Slovany,Slovany
JuEl9XITon-,house,NULL,"okres Turčianske Teplice",Rudno,Rudno
JuQ4i8mNwlL,house,flat,"okres Bytča",Kotešová,Kotešová
Ju3IlwS0uHk,house,flat,"okres Žilina",NULL,NULL
JurqmynKY4o,house,NULL,"okres Dolný Kubín","Oravský Podzámok","Oravský Podzámok"
JuhsSA9jVzs,house,flat,"okres Martin","Turčianske Kľačany","Turčianske Kľačany"
JuvA9DjdPST,house,flat,"okres Ružomberok",Lisková,Lisková
JuXVSVVWVLI,house,NULL,"okres Liptovský Mikuláš",Dúbrava,Dúbrava
Juv2ewXXJKK,house,NULL,"okres Martin",Vrútky,"Karvaša a Bláhovca"
Juy6D0BMpPr,house,sloped,"okres Martin",Belá-Dulice,Belá-Dulice
JuRvLvEuC6c,house,flat,"okres Čadca",Turzovka,NULL
JupqlbF43-v,house,"gently sloped","okres Bytča","Veľké Rovné","Veľké Rovné"
JuZgj6k1S7C,house,"mostly flat","okres Martin",Martin,Stráne
JuvbGiTBrMG,house,flat,"okres Liptovský Mikuláš",Lazisko,Lazisko
Ju6pNzkI7kN,house,flat,"okres Martin",Martin,Stráne
JuIyY_wrQVH,house,flat,"okres Bytča",Bytča,"Veľká Bytča"
JuhQKNPNiRq,house,NULL,"okres Žilina","Rajecké Teplice","Rajecké Teplice"
JuQ6y__HQN4,house,flat,"okres Martin","Kláštor pod Znievom","Kláštor pod Znievom"
JuL5-OdofNk,house,flat,"okres Žilina",Terchová,Terchová
JudAAa45gzT,house,flat,"okres Martin",Martin,Jahodníky
