offer_id,offer_type,property_type,area,condition,agency,office_city
Ju4nG9JDEKF,sale,"3-room apartment",70,"partially renovated","TUreality s.r.o.",Žilina
JuxsO06uVZG,rent,"1-room apartment",43,unrenovated,"Realitná kancelária SYMPATIA REAL s. r. o.",Žilina
JuxQsJlXHSK,rent,"3-room apartment",74,"fully renovated","Fortio Popper s.r.o.",Bytča
JuJrBHwvfXe,sale,"holiday apartment",23,"new construction","AstonReal s.r.o.","Banská Bystrica"
JuVk3AeemQd,sale,"3-room apartment",65,"under construction","Istrofinal, s. r. o.",Žilina
JucIMMNEosV,sale,"3-room apartment",67,"partially renovated","A-Byt Consult, s.r.o.",Ružomberok
Ju2EMTkOn53,sale,"2-room apartment",61,"new construction","Reinoo a.s.",Žilina
JuYbhGZmbC7,sale,"2-room apartment",49,unrenovated,"Obec Liptovská Lúžna","Liptovská Lúžna"
JucmUHZL9fQ,rent,"2-room apartment",57,"new construction",NULL,NULL
Ju59v0S7Gi9,sale,"3-room apartment",77,unrenovated,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
Ju4SvmwHoAg,sale,"3-room apartment",72,"new construction","FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuJBn5ZeVAm,rent,"2-room apartment",51,"partially renovated","Realitná kancelária",Bratislava
Juk9u-rNEqG,rent,"2-room apartment",46,"fully renovated","Fortio Popper s.r.o.",Bytča
JuNRFKe9B5N6,sale,"4-room apartment",140,"new construction","TARGETreal s. r. o.",Žilina
JuG99-vnL8U,sale,"4-room apartment",212,"new construction","Reality Alpia",Martin
JuvzAFSDr4x,sale,"3-room apartment",110,"new construction","Realitná kancelária",Bratislava
JuDorfwK08d,rent,"2-room apartment",85,"partially renovated","FINREA - ak vám záleží na výsledku","Dolný Kubín"
Jul_OGhX8QT,sale,"3-room apartment",60,"partially renovated","Piešťany Reality",Piešťany
Ju7UFzA6VtL,sale,"2-room apartment",53,"new construction","WFG reality, s.r.o.",Žilina
Ju9qrQrSqzm,rent,"studio apartment",25,"new construction",NULL,NULL
Ju4Vd5pUjXm,sale,"3-room apartment",65,"partially renovated","Direct Real, spol. s r.o.",Bratislava
JuA1jb9HH8o,sale,"2-room apartment",56,"partially renovated","Reality Alpia",Martin
JuVp8M6bnwG,rent,"3-room apartment",80,"partially renovated","ŠIRINY, s.r.o.",Zvolen
JuKJT8WJuFF,rent,"1-room apartment",37,"new construction","HOLESTIAK.sk reality s.r.o.",Čadca
Ju8mh8KzH4f,rent,"2-room apartment",60,"fully renovated","Realitná kancelária Peter Hubka","Liptovský Mikuláš"
Ju9k2e7JWOr,sale,"1-room apartment",38,"partially renovated","Like Reality s.r.o.","Považská Bystrica"
JuXNm9NwSwi,sale,"3-room apartment",75,"new construction","MGM reality",Žilina
JuOnQ9rym-h,sale,"4-room apartment",87,"partially renovated","RIEŠIME BÝVANIE",Bratislava
JuFNpzHutiG,sale,"3-room apartment",65,"partially renovated","TUreality s.r.o.",Žilina
JuZ8UmPHnMd,sale,"2-room apartment",59,"fully renovated","SLNOVRAT, s.r.o.",Olešná
JuWLCChouGh,sale,"3-room apartment",102,"new construction","TARGETreal s. r. o.",Žilina
JuS6qI_HXQ_,sale,"4-room apartment",88,"partially renovated","1. Reality Rent, s.r.o.",Žilina
JuvIFSCKDaN,sale,"2-room apartment",63,"fully renovated","TUreality s.r.o.",Žilina
JuJITXm9Zsf,sale,"3-room apartment",66,"fully renovated","ARBIZ real estate & finance s. r. o.",Ružomberok
JueaFakyLvY,sale,"3-room apartment",83,"development project","KORSO Project, s.r.o.",Žilina
Ju1F-eiNHx4,sale,"3-room apartment",85,"fully renovated","RIEŠIME BÝVANIE",Bratislava
JuL3MT7o1WL,sale,"2-room apartment",60,"fully renovated","Realitná kancelária",Bratislava
Ju_qGSnLBzz,rent,"2-room apartment",59,"new construction",NULL,NULL
JuhigkHR5x2,sale,"4-room apartment",320,"new construction","Occam New Home",Bratislava
Ju5eub1EsyB,sale,"3-room apartment",100,"new construction","Gro & Partners",Žilina
JuDetN4gLGy,sale,"holiday apartment",43,"new construction","Tatra Invest",Podtureň
JuxJN0jj6xv,sale,"1-room apartment",34,"new construction","Reality AK, spol. s r.o.",Martin
JuQY1ZnmE4m,rent,"studio apartment",25,"fully renovated","OREA, s.r.o.","Dolný Kubín"
Ju9zHP-4dng,sale,"3-room apartment",61,"partially renovated","HALO reality, s.r.o.",Prievidza
JuTy8iCXD6j,sale,"2-room apartment",51,"new construction","Reality AK, spol. s r.o.",Martin
JuMhyPasgwl,rent,"1-room apartment",41,"fully renovated","B10 Slovensko, a. s.",Žilina
JuPet_Ep-JW,rent,"studio apartment",70,"fully renovated","TUreality s.r.o.",Žilina
JuGJ3bcseaG,sale,"1-room apartment",41,"partially renovated","Renovo Reality",Žilina
JuI3iwt9MRR,sale,"studio apartment",25,"new construction","OREA, s.r.o.","Dolný Kubín"
JumSU3uP1r7,sale,"holiday apartment",49,"partially renovated",NULL,NULL
JuCyeszuCeF,sale,"3-room apartment",65,unrenovated,NULL,NULL
JuDZ3hA20uQ,sale,"4-room apartment",100,"partially renovated","TUreality s.r.o.",Žilina
Ju1Cm4LoVXM,sale,"studio apartment",123,"new construction",NULL,NULL
JuOOVFGvzwX,sale,"2-room apartment",62,"new construction",Limaxreal,"Liptovský Mikuláš"
JuuuYAHYGX8,sale,"2-room apartment",60,"development project",NULL,NULL
Juw69usHNF6,rent,"3-room apartment",86,"fully renovated","R2 SK, s.r.o.",Žilina
Jup6mGYDCrv,rent,"2-room apartment",57,"fully renovated","Reality Center, s.r.o.",Martin
Ju5R24o6GQR,sale,"3-room apartment",74,unrenovated,"RK Dalmia s. r. o.","Dolný Kubín"
Ju8_AnIgnrX,sale,"2-room apartment",57,"partially renovated","MENÍME BÝVANIE",Čadca
JuY4e0DxXsH,rent,"2-room apartment",45,"new construction","OREA, s.r.o.","Dolný Kubín"
Jue5OG4Sl5k,rent,"2-room apartment",50,"fully renovated",NULL,NULL
Juo19uqWHqv,sale,"3-room apartment",85,"fully renovated","Reality MT s.r.o.",Martin
JumQaXesU-y,rent,"studio apartment",28,"new construction","Realitné kancelárie SR",Bratislava
JuEVg7e9gge,sale,"3-room apartment",72,unrenovated,"R2 SK, s.r.o.",Žilina
JuXIzNjmik_,rent,"3-room apartment",104,"fully renovated","Realitné kancelárie SR",Bratislava
Juv94EKwgh6,sale,"3-room apartment",73,"new construction","AstonReal s.r.o.","Banská Bystrica"
JukKH41KaWr,rent,"3-room apartment",121,"fully renovated","TUreality s.r.o.",Žilina
JuhxRDKuEfi,sale,"2-room apartment",58,"new construction",donidDevelop,"Dolný Kubín"
JuRJykTdszG,sale,"4-room apartment",150,"fully renovated","JKV REAL",Prievidza
JuDJ_hnDscM,sale,"2-room apartment",60,"fully renovated","Realitná kancelária",Bratislava
JulzEF1iR1R,sale,"2-room apartment",70,"fully renovated","ŽILINAREAL, s.r.o.",Žilina
Jus2f1I5Shb,sale,"3-room apartment",68,"partially renovated","MGM reality",Žilina
JuWzCETm2y0,rent,"3-room apartment",70,"fully renovated","SLNOVRAT, s.r.o.",Olešná
Ju12shpSBga,sale,"3-room apartment",62,"new construction","RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuXnw8EKWYI,sale,"3-room apartment",93,"new construction","RS Mansory s.r.o.",Bratislava
JuJM07aUO0O,sale,"5+ room apartment",100,"partially renovated","RIEŠIME BÝVANIE",Bratislava
JuVtdEgquxp,sale,"3-room apartment",74,"new construction","OREA, s.r.o.","Dolný Kubín"
JuP6qyzD4rb,sale,"holiday apartment",40,"new construction","RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuP-xJVwuxh,sale,"3-room apartment",77,"new construction","B10 Slovensko, a. s.",Žilina
Ju2skZ_XIuH,rent,"3-room apartment",90,"partially renovated",NULL,NULL
JuxYMJGR4NW,sale,"1-room apartment",45,"partially renovated","OVERENÉ REALITY","Banská Bystrica"
JuWx4I1iGWR,rent,"2-room apartment",80,"new construction","BeMi realitná kancelária",Nitra
Jubx4f_wHQY,sale,"3-room apartment",87,unrenovated,"RK4 REALITY",Bratislava
JuBjT8MmAiR,sale,"3-room apartment",65,"under construction","Istrofinal, s. r. o.",Žilina
Ju8qAJxGCh0,sale,"3-room apartment",64,"partially renovated","Mgr. Silvia Lukáčová - RealPoint",Martin
Ju-DovddXIY,sale,"2-room apartment",71,unrenovated,"RE/MAX Slovakia",Bratislava
Ju6ap4Twr5W,rent,"3-room apartment",NULL,"partially renovated",NULL,NULL
JuVlvDHUEHV,rent,"2-room apartment",50,"fully renovated","OREA, s.r.o.","Dolný Kubín"
JukzS9fkGsH,rent,"3-room apartment",84,"fully renovated","Safe reality s. r. o.",Žilina
Jum2zoM9dK0,sale,"2-room apartment",60,"new construction","Reinoo a.s.",Žilina
JuwxWNhZHvq,rent,"2-room apartment",44,"fully renovated","DreamReality s.r.o.",Žilina
JuNh7AtADFs,rent,"2-room apartment",44,"new construction","MGM reality",Žilina
JuoVEcjPg5o,rent,"3-room apartment",70,"new construction","RE/MAX Slovakia",Bratislava
JuyUHlMcv_Q,rent,"3-room apartment",73,"fully renovated","Realitná kancelária RED, s.r.o.",Žilina
JuXQxA2vSe6,sale,"2-room apartment",42,"fully renovated","EASY centrum bývania, s.r.o.",Žilina
Jufd89QZCSO,sale,"holiday apartment",NULL,"new construction","PASS Reality, s.r.o.",Bratislava
Ju2hVjHchsA,sale,"2-room apartment",47,"new construction","Buby reality, s.r.o.",Žilina
Ju9Zm5FKDvx,sale,"2-room apartment",58,"fully renovated","Realitná kancelária RED, s.r.o.",Žilina
Ju_q6RS-fKo,sale,"3-room apartment",118,"new construction","OREA, s.r.o.","Dolný Kubín"
Jutomv1SERc,rent,"2-room apartment",57,"fully renovated","Reality Alpia",Martin
Jukc07qMxPz,sale,"2-room apartment",55,"new construction","Realitná kancelária RED, s.r.o.",Žilina
JuZPdvGyLq9,sale,"3-room apartment",92,"fully renovated","TUreality s.r.o.",Žilina
Ju8xVwtKo3R,sale,"1-room apartment",NULL,unrenovated,"BeMi realitná kancelária",Nitra
JuIK5SS5weX,rent,"2-room apartment",55,"partially renovated","Like Reality s.r.o.","Považská Bystrica"
JuzzHVLtL7p,sale,"3-room apartment",69,"fully renovated","Vianema s.r.o.",Bratislava
Ju7J-Smt48P,sale,"2-room apartment",42,"new construction","RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuvxR6XXHxE,rent,"3-room apartment",74,"fully renovated","Fortio Popper s.r.o.",Bytča
JuRuuJuhfW8,sale,"3-room apartment",85,"partially renovated","Like Reality s.r.o.","Považská Bystrica"
JuZK70yldNu,sale,"1-room apartment",39,"new construction","OVERENÉ REALITY","Banská Bystrica"
JuzSqFzglhO,sale,"3-room apartment",73,"new construction",Reality+,Žilina
JuT8ujDpM1g,rent,"1-room apartment",60,"partially renovated","WFG reality, s.r.o.",Žilina
JuzmSjYalDj,sale,"3-room apartment",87,"partially renovated","Like Reality s.r.o.","Považská Bystrica"
Ju6pkdVbtRp,sale,"3-room apartment",71,"fully renovated","NajBývanie, s.r.o.",Ružomberok
JudnXUbr0fH,sale,"2-room apartment",48,"under construction","REALITY TATRY",Levoča
JuBIZmW7FwQ,sale,"3-room apartment",71,"new construction",NULL,NULL
JuPDRHaKHGy,sale,"2-room apartment",59,"fully renovated","ŽILINAREAL, s.r.o.",Žilina
JuD8hcoEgT4,sale,"2-room apartment",74,"new construction","Realitná kancelária RED, s.r.o.",Žilina
JukBZSTP0a5,sale,"2-room apartment",55,"new construction","TARGETreal s. r. o.",Žilina
Ju1AcChzPhX,sale,"3-room apartment",62,"new construction","REALITY SPOLU",Bratislava
JuE-VhHgCax,sale,"1-room apartment",22,"fully renovated","Bonjour real",Bučany
JuBAitX8aRy,rent,"2-room apartment",55,"partially renovated","FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuYm2hUT2pj,rent,"3-room apartment",92,"fully renovated","ALT REAL, s.r.o.",Martin
Ju6opeOUPUx,sale,"2-room apartment",88,unrenovated,"Realitné kancelárie SR",Bratislava
JuvmTUfehMc,rent,"2-room apartment",66,"fully renovated",Reality+,Žilina
JuaMkijSYs-,rent,"studio apartment",25,"partially renovated","FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuZL3wORd4j,rent,"1-room apartment",35,"new construction","DVOŘÁK & PARTNERS s. r. o.","Banská Bystrica"
JunBxeMXtVv,sale,"3-room apartment",73,"partially renovated","RIEŠIME BÝVANIE",Bratislava
JufXt9veplf,sale,"2-room apartment",45,"new construction","B10 Slovensko, a. s.",Žilina
Ju1v-rz6S-g,sale,"3-room apartment",64,unrenovated,"TUreality s.r.o.",Žilina
JuK8NkfUxDo,sale,"3-room apartment",68,unrenovated,"LICITOR group, a.s.",Žilina
JuhvRDg8Y4C,rent,"2-room apartment",58,unrenovated,"RIEŠIME BÝVANIE",Bratislava
JuqqisVRKbE,sale,"3-room apartment",65,"partially renovated","GERT , s.r.o.","Liptovský Mikuláš"
JupIznadChw,sale,"3-room apartment",66,unrenovated,"B10 Slovensko, a. s.",Žilina
JuCtiU-W9oK,sale,"3-room apartment",72,"fully renovated","BEEVAM, s.r.o.","Banská Bystrica"
JuQUQOdCbAJ,sale,"4-room apartment",105,unrenovated,"Reality IQ, s.r.o.",Žilina
JuEGUe9TZYw,rent,"3-room apartment",72,"partially renovated","WFG reality, s.r.o.",Žilina
JuJTUgZNUdL,sale,"3-room apartment",72,unrenovated,"Reality D.P.A.",Martin
JugdzCpEbZl,sale,"2-room apartment",55,"partially renovated","KES - RV s.r.o.",Rožňava
JuJ1fx159Ms,sale,"3-room apartment",65,unrenovated,OPENREALITY,Brno
JuUWRcxAAYr,sale,"2-room apartment",67,"fully renovated","KA Real","Banská Bystrica"
JucFSMwZ-YV,sale,"3-room apartment",83,"new construction","Reality Center, s.r.o.",Martin
JuHBGisy5-E,sale,"2-room apartment",68,"partially renovated","NajBývanie, s.r.o.",Ružomberok
JuInv_n4G9P,sale,"2-room apartment",39,"development project","Teraz, a.s.",Žilina
JuUFq9Wci3W,rent,"studio apartment",25,"partially renovated","Reality Alpia",Martin
JuBnUuJa9ic,sale,"2-room apartment",56,"new construction","Financial Hotels Management, s.r.o.",Žilina
Ju2txZynSMnS,sale,"4-room apartment",88,"fully renovated","TUreality s.r.o.",Žilina
Jucm4yaaOJ2,sale,"3-room apartment",77,"fully renovated","RK Dalmia s. r. o.","Dolný Kubín"
JuT9LmGMkpW,sale,"holiday apartment",22,"new construction",jabyvam.sk,"Liptovský Mikuláš"
JuuOQAIf3eQ,sale,"2-room apartment",64,"new construction","WFG reality, s.r.o.",Žilina
JuhSIJae8jB,sale,"holiday apartment",48,"new construction","Porto Real Group",Bratislava
Ju20KERTu8I,sale,"2-room apartment",59,unrenovated,"RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuGfHZevCsA,rent,"3-room apartment",66,"fully renovated","Realitná kancelária DR, s.r.o.",Martin
JufXjo0g1k9,rent,"2-room apartment",59,"new construction","RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuPNe1hyDeq,rent,"2-room apartment",57,"fully renovated","Fortio Popper s.r.o.",Bytča
Jumt5qe1Qm47,sale,"2-room apartment",50,"partially renovated","AstonReal s.r.o.","Banská Bystrica"
JuI6MQ6tc2T,sale,"2-room apartment",59,unrenovated,"BeMi realitná kancelária",Nitra
Ju4eeNbxgyr,rent,"2-room apartment",50,"fully renovated","Realitná kancelária RED, s.r.o.",Žilina
JuN3wzC2QtN,rent,"1-room apartment",36,"partially renovated","Like Reality s.r.o.","Považská Bystrica"
JuZdOmvD2ic,sale,"4-room apartment",77,"under construction","Istrofinal, s. r. o.",Žilina
JuQG3Tg2HJV,sale,"holiday apartment",50,"new construction","RESIDENCE realitná kancelária","Liptovský Mikuláš"
Ju7i7kUX31N,rent,"2-room apartment",58,"new construction","RE/MAX Slovakia",Bratislava
JuT7xzp7Ax-,sale,"2-room apartment",61,"fully renovated",AZUR.RE,Bratislava
JuTL4AQg4bH,rent,"2-room apartment",55,"fully renovated","Reality ASTORIA, s.r.o.",Martin
JuYNcMLobvd,rent,"4-room apartment",102,"new construction",NULL,NULL
JuCgojI4KWH,sale,"3-room apartment",74,unrenovated,"Trioreality, s.r.o.",Čadca
JukjSccuSX6,sale,"2-room apartment",55,"fully renovated","TUreality s.r.o.",Žilina
JuvuB2q_3M4,sale,"holiday apartment",50,"under construction","Tatry mountain resorts, a.s.","Liptovský Mikuláš"
Jum788VaVl8,sale,"1-room apartment",33,"new construction","WFG reality, s.r.o.",Žilina
JuRDv8rOGAN,rent,"2-room apartment",46,"fully renovated","Fortio Popper s.r.o.",Bytča
JuguMiG6Pot,sale,"other apartment type",40,"new construction","Euro Bauer s.r.o.",Žilina
JunSqXxyUya,sale,"1-room apartment",33,"new construction","WFG reality, s.r.o.",Žilina
Juzl0Ycup_I,sale,"holiday apartment",56,"fully renovated",donidDevelop,"Dolný Kubín"
JuMrpN3u-gh,sale,"2-room apartment",47,"under construction","Reality Alpia",Martin
JuG-jkKlogR,rent,"2-room apartment",50,"fully renovated","Reality Alpia",Martin
Ju-seNslb4u,sale,"2-room apartment",55,"partially renovated","Realitná kancelária RED, s.r.o.",Žilina
JuKxd6XdpfQ,rent,"3-room apartment",70,"fully renovated",NULL,NULL
JuddoVYZYie,sale,"1-room apartment",27,"new construction",Limaxreal,"Liptovský Mikuláš"
Ju4lN_U1N_8,sale,"3-room apartment",91,"new construction","ARBIZ real estate & finance s. r. o.",Ružomberok
JuNQHesGhEl,sale,"3-room apartment",65,"under construction","Istrofinal, s. r. o.",Žilina
