offer_type,property_category,condition,location_district,agencies_num,total_listings,listings_per_10k,listings_per_agency,cr3,conservative_rating,growth_rating,execution_rating,combined_rating
sale,apartment,"new construction","okres Liptovský Mikuláš",48,131,18.403,2.73,36.64,72,71,67,70
sale,apartment,"new construction","okres Martin",13,43,4.633,3.31,55.81,52,45,53,50
sale,apartment,"new construction","okres Námestovo",8,9,1.392,1.13,44.44,44,31,34,36
sale,apartment,"new construction","okres Ružomberok",15,29,5.153,1.93,34.48,59,47,51,52
sale,apartment,"new construction","okres Turčianske Teplice",5,7,4.474,1.40,71.43,27,23,23,24
sale,apartment,"new construction","okres Žilina",30,120,7.483,4.00,43.33,68,60,69,66
sale,apartment,"partially renovated","okres Bytča",5,6,1.911,1.20,66.67,28,21,22,24
sale,apartment,"partially renovated","okres Čadca",17,25,2.885,1.47,32.00,57,42,46,48
sale,apartment,"partially renovated","okres Dolný Kubín",3,5,1.291,1.67,100.00,5,6,8,6
sale,apartment,"partially renovated","okres Kysucké Nové Mesto",6,10,3.073,1.67,70.00,29,24,26,26
sale,apartment,"partially renovated","okres Liptovský Mikuláš",13,31,4.355,2.38,48.39,52,42,47,47
sale,apartment,"partially renovated","okres Martin",25,68,7.326,2.72,36.76,64,54,59,59
sale,apartment,"partially renovated","okres Ružomberok",13,26,4.620,2.00,38.46,56,45,49,50
sale,apartment,"partially renovated","okres Turčianske Teplice",5,6,3.835,1.20,66.67,29,24,23,25
sale,apartment,"partially renovated","okres Tvrdošín",3,6,1.678,2.00,100.00,8,9,12,10
sale,apartment,"partially renovated","okres Žilina",25,56,3.492,2.24,26.79,66,50,57,58
sale,apartment,"under construction","okres Liptovský Mikuláš",5,19,2.669,3.80,78.95,37,33,44,38
sale,apartment,"under construction","okres Martin",4,19,2.047,4.75,94.74,30,31,44,35
sale,apartment,"under construction","okres Žilina",4,10,0.624,2.50,90.00,18,16,22,19
sale,apartment,unrenovated,"okres Čadca",7,8,0.923,1.14,50.00,40,28,31,33
sale,apartment,unrenovated,"okres Dolný Kubín",6,7,1.808,1.17,57.14,35,25,27,29
sale,apartment,unrenovated,"okres Kysucké Nové Mesto",5,6,1.844,1.20,66.67,28,21,22,24
sale,apartment,unrenovated,"okres Liptovský Mikuláš",12,18,2.529,1.50,44.44,47,35,39,40
sale,apartment,unrenovated,"okres Martin",24,44,4.741,1.83,38.64,55,44,47,49
sale,apartment,unrenovated,"okres Ružomberok",5,10,1.777,2.00,80.00,23,19,23,22
sale,apartment,unrenovated,"okres Tvrdošín",3,4,1.119,1.33,100.00,3,4,4,4
sale,apartment,unrenovated,"okres Žilina",17,32,1.996,1.88,37.50,54,40,46,47
sale,house,"fully renovated","okres Bytča",4,5,1.592,1.25,80.00,18,14,15,16
sale,house,"fully renovated","okres Čadca",14,24,2.769,1.71,41.67,51,38,43,44
sale,house,"fully renovated","okres Dolný Kubín",5,6,1.549,1.20,66.67,27,20,22,23
sale,house,"fully renovated","okres Kysucké Nové Mesto",5,7,2.151,1.40,71.43,26,20,22,23
sale,house,"fully renovated","okres Liptovský Mikuláš",13,20,2.810,1.54,40.00,51,38,41,43
sale,house,"fully renovated","okres Martin",26,50,5.387,1.92,30.00,63,50,53,55
sale,house,"fully renovated","okres Ružomberok",10,16,2.843,1.60,43.75,49,37,41,42
sale,house,"fully renovated","okres Turčianske Teplice",10,13,8.309,1.30,46.15,48,41,39,43
sale,house,"fully renovated","okres Žilina",19,46,2.869,2.42,39.13,58,45,52,52
sale,house,"new construction","okres Bytča",10,18,5.733,1.80,61.11,38,33,34,35
sale,house,"new construction","okres Čadca",17,26,3.000,1.53,34.62,55,41,45,47
sale,house,"new construction","okres Dolný Kubín",7,12,3.099,1.71,58.33,39,31,33,34
sale,house,"new construction","okres Kysucké Nové Mesto",8,9,2.766,1.13,44.44,45,33,35,38
sale,house,"new construction","okres Liptovský Mikuláš",19,32,4.495,1.68,34.38,57,44,47,49
sale,house,"new construction","okres Martin",24,64,6.895,2.67,32.81,67,55,61,61
sale,house,"new construction","okres Námestovo",5,8,1.237,1.60,75.00,24,19,22,22
sale,house,"new construction","okres Ružomberok",15,27,4.798,1.80,40.74,53,42,45,47
sale,house,"new construction","okres Turčianske Teplice",10,13,8.309,1.30,46.15,48,41,39,43
sale,house,"new construction","okres Tvrdošín",2,2,0.560,1.00,100.00,0,1,0,0
sale,house,"new construction","okres Žilina",36,109,6.797,3.03,38.53,65,55,61,60
sale,house,"partially renovated","okres Bytča",10,15,4.777,1.50,53.33,42,34,35,37
sale,house,"partially renovated","okres Čadca",21,42,4.846,2.00,42.86,54,43,47,48
sale,house,"partially renovated","okres Dolný Kubín",4,6,1.549,1.50,83.33,17,14,16,16
sale,house,"partially renovated","okres Kysucké Nové Mesto",8,13,3.995,1.63,61.54,36,29,31,32
sale,house,"partially renovated","okres Liptovský Mikuláš",20,52,7.305,2.60,40.38,61,52,56,56
sale,house,"partially renovated","okres Martin",28,51,5.495,1.82,25.49,66,52,55,58
sale,house,"partially renovated","okres Námestovo",4,4,0.619,1.00,75.00,20,14,15,16
sale,house,"partially renovated","okres Ružomberok",17,31,5.508,1.82,45.16,51,42,44,46
sale,house,"partially renovated","okres Turčianske Teplice",22,32,20.453,1.45,25.00,73,71,60,68
sale,house,"partially renovated","okres Tvrdošín",6,7,1.958,1.17,57.14,35,26,28,30
sale,house,"partially renovated","okres Žilina",29,64,3.991,2.21,26.56,66,51,57,58
sale,house,"under construction","okres Bytča",3,3,0.955,1.00,100.00,1,1,1,1
sale,house,"under construction","okres Čadca",7,9,1.039,1.29,55.56,36,26,29,30
sale,house,"under construction","okres Liptovský Mikuláš",9,11,1.545,1.22,45.45,44,31,34,36
sale,house,"under construction","okres Martin",3,7,0.754,2.33,100.00,9,10,14,11
sale,house,"under construction","okres Ružomberok",4,4,0.711,1.00,75.00,20,14,15,16
sale,house,"under construction","okres Turčianske Teplice",3,5,3.196,1.67,100.00,6,9,9,8
sale,house,"under construction","okres Žilina",7,8,0.499,1.14,50.00,40,27,31,33
sale,house,unrenovated,"okres Bytča",10,15,4.777,1.50,53.33,42,34,35,37
sale,house,unrenovated,"okres Čadca",27,55,6.346,2.04,45.45,52,44,46,47
sale,house,unrenovated,"okres Dolný Kubín",6,9,2.324,1.50,66.67,30,23,25,26
sale,house,unrenovated,"okres Kysucké Nové Mesto",10,16,4.917,1.60,50.00,45,37,38,40
sale,house,unrenovated,"okres Liptovský Mikuláš",23,53,7.445,2.30,39.62,60,50,53,54
sale,house,unrenovated,"okres Martin",30,54,5.818,1.80,24.07,67,52,56,58
sale,house,unrenovated,"okres Námestovo",7,7,1.083,1.00,42.86,44,31,33,36
sale,house,unrenovated,"okres Ružomberok",18,34,6.041,1.89,44.12,52,43,45,47
sale,house,unrenovated,"okres Turčianske Teplice",18,25,15.979,1.39,36.00,61,58,51,57
sale,house,unrenovated,"okres Tvrdošín",3,3,0.839,1.00,100.00,0,1,0,0
sale,house,unrenovated,"okres Žilina",38,75,4.677,1.97,21.33,69,53,58,60
sale,land,n/a,"okres Bytča",26,48,15.287,1.85,35.42,65,61,56,61
sale,land,n/a,"okres Čadca",27,127,14.654,4.70,56.69,67,68,74,70
sale,land,n/a,"okres Dolný Kubín",16,54,13.944,3.38,57.41,57,58,58,58
sale,land,n/a,"okres Kysucké Nové Mesto",22,40,12.293,1.82,35.00,63,57,54,58
sale,land,n/a,"okres Liptovský Mikuláš",39,114,16.014,2.92,25.44,80,75,73,76
sale,land,n/a,"okres Martin",41,156,16.807,3.80,27.56,85,80,82,82
sale,land,n/a,"okres Námestovo",10,22,3.403,2.20,59.09,41,34,38,38
sale,land,n/a,"okres Ružomberok",18,33,5.864,1.83,36.36,58,46,49,51
sale,land,n/a,"okres Turčianske Teplice",25,37,23.648,1.48,24.32,76,77,63,72
sale,land,n/a,"okres Tvrdošín",2,2,0.560,1.00,100.00,0,1,0,0
sale,land,n/a,"okres Žilina",59,230,14.343,3.90,29.13,82,76,80,79
