offer_id,land_area,terrain
JubfWlbtgdy,1889,"gently sloped"
JuY9N1R47k4,643,NULL
JuGtn_qttBC,803,NULL
Ju26ASiELkU,499,"gently sloped"
JuoYPByad-u,1401,flat
JueDQ4t8F1t,NULL,NULL
JuJBjXorHPL,NULL,NULL
JugbHbksCr-,3767,flat
JuRn13yIVnF,895,NULL
Ju67f0ZUF6a,1339,flat
Jus7PkExcYQ,1734,flat
JuuNE4PQz6D,860,"gently sloped"
Ju1YLWtdCP4,569,"mostly flat"
Jul88RI0614,947,NULL
Ju192g79OHm,1984,"gently sloped"
JusbhL9UXOL,1193,"gently sloped"
JuWIabvMs8m,250,"gently sloped"
JukIKAnSuKC,580,"gently sloped"
JubUi5eOFbH,660,"mostly flat"
JupQ7ehcKIt,810,"gently sloped"
