offer_id,monthly_rent,monthly_rent_m2
JuBpZ_BskLa,650,12.75
JuFuOGe_LXE,699,11.65
JuKXwzVXskc,1900,11.73
JuaoWKxAUyW,750,11.54
Juwu97tpKpb,560,8.24
JuNAef2PSXl,850,10.24
JunvsP3a8hf,NULL,NULL
JuuJ1uhMrN8,550,8.59
JuTbC9RkGly,1900,11.73
JuKzHgnrtuZ,590,9.08
JupAkSKIIBk,560,6.36
JunvOdNMl-j,650,13.00
Ju5MSxaC_U4,350,13.46
Ju0sE49cmdc,650,10.00
Ju9wHsIIJEO,800,8.00
JupJ5OCoIez,600,12.00
JuqvAhg9dB7,650,10.83
JudvlSKcuB3,450,9.00
Ju71Or7iIz1,520,8.00
JupbJt5OZmn,580,7.73
Ju-XczSJwZk,800,10.83
JuoQ5zgqUF8,750,8.33
Ju6NM6rUyuq,390,7.09
JuYWEki50At,360,25.71
Julagh5blsT,550,6.47
JuaDMLn46eO,500,9.26
JuzwzT16anT,1100,11.96
JuK1t12r-oH,700,12.73
Ju7WBBedEh6,650,6.37
JuFVUTYq75r,570,10.75
JuktUK0BQQK,770,11.49
JuSqYMaXIJ4,550,10.58
Juty1iBq1Em,680,9.71
Ju4n_bUHLJ9,500,7.69
JuDt4JSbLor,550,10.00
Jui1mJgPtv9,650,8.13
Jud1TyzIUXK,800,12.31
JuewVCwJvGy,NULL,NULL
JuoZ1J6Es1y,650,13.00
JuWQ2JltmXN,680,8.72
Ju4MMsyYZ5L,450,18.00
JuzbyOpl5Xf,1080,12.81
JuFU83JdcqO,590,8.88
JucGgWWz-uF,450,10.71
JueR5kVH0gB,504,9.00
Jugl5WLVOis,610,12.20
JuVx84ohOxh,NULL,NULL
Ju65cZ1we6J,650,17.57
Ju-XTfWbu4x,NULL,NULL
JuqmFIXrbkG,400,18.18
JuNbGbpkzSB,1100,10.00
JuOHl43if-S,530,13.95
Juv-PlaXTBH,580,9.67
JuiXqsf4YYv,1300,13.13
Juuc5eYfRcY,520,10.61
JuvU6HPzzl0,550,13.10
Ju67d-dUTmu,800,9.88
JutGSTAuW2R,750,10.42
JuZCBswYwaN1,NULL,NULL
Ju4LJ_g_D6K,800,10.92
JudMJ6hNCSy,600,10.00
Ju6MmU5y4t_,1700,6.54
Juq_j6YQYsV,490,8.75
JuoJ3kkyC7Y,550,9.17
JuVvUzJnXTu,900,12.86
JuNw9r8KaEc,430,11.32
Ju_V7mSpqiT,500,20.00
JuZMRwuUCim,750,11.54
JuyXVDLxEni,500,NULL
Juq7qf85SJ_x,460,9.58
JuW48-9PwOZ,500,10.00
Ju9pwW3rFN2,490,NULL
Ju5kidrwmrO2,460,9.20
JuokG910TrR,430,14.33
JuJqHGEd9oq,360,14.40
Ju9itHE-Ye8,650,11.82
JuE1GXKIL78,600,15.79
Juhxp3dqjhf,450,15.00
JufwsWkzi_8,430,14.33
Juq2JDI17SL,650,17.57
JufIcrH5ACA,790,11.29
Ju9Ws1QPS3n,700,8.77
JuazplczVyT,380,15.20
JuuM-q0SgiK,750,8.93
JuUOO-LXy23,699,11.10
JucyrM14fby,799,8.98
JuxE6cxjVt5,800,11.11
JuS9mzdfL46,530,6.63
Juopd9f8gHL,600,11.32
JuKVuQz4tJM,540,12.56
JuXU3OM1vfY,700,10.77
Ju7W5q5NyuP,NULL,NULL
Ju-7v4T1AY6H,590,10.00
Juqwj6nqGVe,1200,16.44
JufIYFnXqFe,550,7.86
JuUk6PkKhU1,800,12.31
JumYoLK7UqZ,500,12.50
JuJZH5W0xc8,580,8.29
Juluyhlg8Mb,340,17.89
JuE57rFMsYf,660,11.00
Ju6xkslUZo-,950,12.67
JuwbdEJILXn,630,12.60
JuvOvL67CnW,640,8.53
Jum6U0_5m9N,500,8.47
JuoiWz-kUDq,700,14.00
JuxN0XX5d2L,805,10.90
JuQfDarw60S,600,9.38
JuPs0jZ4Upm,700,11.67
JuZ2eoxoyai,400,5.00
Ju6KRY_ibJj,480,6.86
JuuS6FA8WTM,420,11.05
JuwDKSHdYOM,470,8.25
JuKE1haIfBQ,600,16.67
JukH94BLOrl,400,10.53
Ju_P4weQ1yi,700,9.72
Ju4jUNHrCaa,590,15.95
JueFBhJMkEL,370,14.23
JuiowNIBmX1,620,8.38
JusujBj0j9H,760,9.50
Ju1sYuOumZf,650,NULL
JupXiFdQKs1,730,10.43
Jut7GOvY7Cs,680,5.76
JuucDO18CeY,800,NULL
Ju_N2iy5JWS,260,14.44
JukxcpBCVX8,520,17.93
JuyD0Z9BTN-,640,10.34
Ju9LPOOoAn-,890,9.67
Juq3cdm2VSm,560,11.02
Jum7aZZZlIy,400,14.81
JujQYigyRBf,435,6.90
Ju6nNzmPk_9,690,13.12
Ju6oJmE8oWf,600,10.68
JuXmK-edCSR,810,10.95
JuURItmx0gz,590,11.46
JuBNi2HSNwg,700,7.78
JuJGytVBKhB,650,11.40
JuaIL0ybcDR,650,8.02
JubGyQoKm-F,540,9.82
JuMlNRioczT,950,4.48
JuKy-dL9Ryo,850,13.71
JuR0t0CZHt8,600,9.09
JuyBFHxJEo2F,450,12.50
Jus0-bkZHge,580,8.53
Jubh8FOR_C9,320,14.55
JurzQ4OXOH_,520,17.33
Ju88ayVM-YP5,650,4.04
Ju27eP_ig4Z,650,12.75
JuY5BHrBXS_,800,9.30
JuDGw-se-Mg,400,10.53
JuQ4Jf_xqij,620,8.86
Ju9csMkjbyN,620,8.73
JuwMlHIuC26,550,17.74
JuN8mAtD42x,550,9.17
Jun8HaIrjPB,650,9.03
JuZ6EDDylkC,750,8.82
Ju6cRlkmMC_,350,12.50
JuFBiuRLpoy,650,11.82
JuIgM2fUqeh,570,10.56
JurbbuyjxWx,1250,9.47
JuSS030a7te,597,14.56
Ju93xLSe03c,320,10.67
JuRvQ8h5ljK,750,10.42
JuqL8yAiSJt,550,12.79
JuCHpapFKG8,555,11.56
Ju54zsovXgd,740,11.75
JuUygteSgA9,390,7.80
JuvxnqGhrvB,500,6.67
JudF4Y5NRYO,600,15.38
JuWSXBSHA4W,330,12.42
JuSwv58uXFj,390,16.96
JuSEGf_jb32,650,11.21
JujwaDNeJ1i,NULL,NULL
Jusrma_M5xf,800,11.11
JuETFY0yocs,700,13.46
Juo8y036wNc,740,13.02
JuPeIRhvo6g,650,12.50
Juq3ES8kVdO,600,8.11
JupL8ZjnO78,650,16.67
JuzI-cY3VGB,600,10.00
Jurvisl8PBq,NULL,NULL
JuC3qFxZRHA,690,10.95
JuOtmAhAnN-,690,8.63
JuuGHfugsJe,590,14.46
JuK1Ou62x1-,650,NULL
JuxOi4dlZ8Z,550,9.48
JuxSKEPCvI9,420,10.50
JumIry3ptkT,450,7.12
JuJkIhlhMxu,600,8.42
JunnDIKOU8H,650,10.16
Ju1CJs1XMWM,700,14.29
Ju52OxQfZ-e,650,8.84
Juug2Jz1Pse,390,13.93
JuR_XmdYxiI,550,12.79
JuwL1ope4JQ,760,13.57
Jur94HxnWLm,350,14.58
JugZ1tAn0SZ,490,13.24
Juc_BdIYUe1,650,9.56
JuWjsR8x7Sv,500,8.20
JulRM1RZW6m,1200,8.82
JuNnPRzxLFf,630,NULL
Ju4lgcUtMo2,580,8.53
JuFMzwDkckH,750,8.72
JuB3Z9PEAiq,600,8.11
JuGX51SpwM8,650,8.13
JuEn89TLzyn,720,12.20
JuDVCgxcWoV,450,15.13
