offer_id,location_district,location_city,location_area
JuFqSi2fYOk,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Nábrežie
JunnFbGwfA5,"okres Žilina",Žilina,Vlčince
JuFv7NTgqug,"okres Čadca",Makov,Makov
JuxZgQdKO7u,"okres Bytča",Bytča,"Veľká Bytča"
Ju0iFsZ1mnv,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Ondrašová"
JuN4KXjUyk-,"okres Čadca",Čadca,Podzávoz
JuWV1dgtiBd,"okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
Judmv08qh2A,"okres Žilina",Žilina,"Staré mesto"
JugXYWqkt4N,"okres Martin",Vrútky,"Horné Vrútky"
JuqvNgpYqrd,"okres Dolný Kubín","Dolný Kubín",Mokraď
Ju_Lr-2Vc09,"okres Liptovský Mikuláš","Liptovský Hrádok",Dovalovo
JubDtFpPZPz,"okres Turčianske Teplice","Turčianske Teplice",Stred
Ju46Wlvz4BP,"okres Čadca",Čadca,Kyčerka
Jus8fVVapj9,"okres Martin",Martin,Jahodníky
JurldwLKNhM,"okres Liptovský Mikuláš","Partizánska Ľupča","Partizánska Ľupča"
JulollxgJp5,"okres Martin",Martin,Jahodníky
JupBjnV0coU,"okres Čadca",Raková,Raková
JuqAM-ZO9ir,"okres Liptovský Mikuláš","Malé Borové","Malé Borové"
Ju5VjRRX_4J,"okres Žilina",Žilina,Hliny
Juarr5O2upK,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuXRtZdfweI,"okres Martin",Martin,Ľadoveň
JuNZupA7Ru4,"okres Žilina","Rajecké Teplice","Rajecké Teplice"
JuA8-pf41pn,"okres Martin",Martin,Stred
JumbMyGo4iI,"okres Ružomberok",Bešeňová,Bešeňová
JuaCjfZIx81,"okres Ružomberok",Ružomberok,Roveň
JuUnD0myJmK,"okres Žilina",Žilina,Hájik
JuIP59md355,"okres Ružomberok",Ružomberok,Roveň
JuIh9K2txJ3,"okres Námestovo",Zubrohlava,Zubrohlava
Jub5nNi4yTF,"okres Žilina",Žilina,Vlčince
Juqj8-BDIgQ,"okres Námestovo","Oravské Veselé","Oravské Veselé"
JuQfQh_4sSF,"okres Žilina",Žilina,Hliny
JujYXXx5gXi,"okres Žilina",Žilina,"Staré mesto"
JuxBkaifl6df,"okres Liptovský Mikuláš","Liptovský Mikuláš",Iľanovo
JugTLMsHTVi,"okres Martin",Martin,Podháj
Jul7be3Lkz5,"okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
JuPT1z2mBzV,"okres Žilina",Žilina,Vlčince
Ju4hZgzLszu,"okres Tvrdošín",Trstená,Stred
JuKlHRPhAEF,"okres Martin",Vrútky,"Horné Vrútky"
JuvFESSKGWN,"okres Martin",Vrútky,"Horné Vrútky"
JusgW9odCAS,"okres Martin",Martin,Priekopa
Juvk9S_5ltU,"okres Žilina",Žilina,Hliny
JunBqR0DBP9,"okres Žilina",Žilina,"Staré mesto"
JuDCMQupxo0,"okres Tvrdošín",Tvrdošín,Medvedzie
JuQnZXQrlxH,"okres Ružomberok",Ružomberok,Hrabovo
JufAeKZk5m-,"okres Žilina",Bitarová,Bitarová
JuNguQDV0Zn,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny
JuKOtZwcbir-,"okres Ružomberok",Ružomberok,Hrabovo
JuMm4AW_gBf,"okres Žilina","Rajecké Teplice","Rajecké Teplice"
JuSYwKOlQ-6,"okres Dolný Kubín","Dolný Kubín",NULL
JuZqtWo-t_S,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia"
JuJCzmrTicR,"okres Martin",Martin,Záturčie
JumsfvMXhg-,"okres Žilina",Žilina,Solinky
JuymkoAFG_6,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
JucOec67NRR,"okres Tvrdošín",Nižná,Nižná
JuyOHLJxsdS,"okres Žilina",Žilina,"Staré mesto"
Ju_yl2A922o,"okres Turčianske Teplice","Turčianske Teplice",Stred
JuDoLB83xqT,"okres Liptovský Mikuláš",Malužiná,Malužiná
JuQvJ7BykSU,"okres Martin",Martin,Sever
JucOhPXEpxa,"okres Žilina",Žilina,"Staré mesto"
JuFqVxR2Rua,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
JuLEeBcqSvN,"okres Bytča",Bytča,"Veľká Bytča"
JuHLqjLk9w7,"okres Čadca",Oščadnica,Oščadnica
Juhlf1Su_tu,"okres Žilina",Žilina,Závodie
Ju4aGAgIjVo,"okres Martin",Martin,Stred
JuHC3L7PHAo,"okres Martin",Martin,Stred
Ju4nG9JDEKF,"okres Martin",Martin,Ľadoveň
JuxsO06uVZG,"okres Žilina",Žilina,Hájik
JuxQsJlXHSK,"okres Bytča",Bytča,"Veľká Bytča"
JuJrBHwvfXe,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
JuVk3AeemQd,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JucIMMNEosV,"okres Ružomberok",Ružomberok,Baničné
Ju2EMTkOn53,"okres Žilina",Žilina,Vlčince
JuYbhGZmbC7,"okres Ružomberok","Liptovská Lúžna","Liptovská Lúžna"
JucmUHZL9fQ,"okres Žilina",Žilina,"Staré mesto"
Ju59v0S7Gi9,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny
Ju4SvmwHoAg,"okres Ružomberok","Liptovská Teplá","Liptovská Teplá"
JuJBn5ZeVAm,"okres Žilina",Žilina,Hliny
Juk9u-rNEqG,"okres Bytča",Bytča,"Veľká Bytča"
JuNRFKe9B5N6,"okres Martin",Sučany,Sučany
JuG99-vnL8U,"okres Martin",Martin,Košúty
JuvzAFSDr4x,"okres Žilina",Žilina,Bôrik
JuDorfwK08d,"okres Martin",Martin,Stred
Jul_OGhX8QT,"okres Ružomberok",Ružomberok,Hrabovo
Ju7UFzA6VtL,"okres Žilina",Žilina,"Staré mesto"
Ju9qrQrSqzm,"okres Žilina",Žilina,Vlčince
Ju4Vd5pUjXm,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuA1jb9HH8o,"okres Ružomberok",Ružomberok,"Staré mesto"
JuVp8M6bnwG,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
JuKJT8WJuFF,"okres Čadca",Čadca,Centrum
Ju8mh8KzH4f,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
Ju9k2e7JWOr,"okres Martin",Turany,Turany
JuXNm9NwSwi,"okres Žilina",Žilina,Hájik
JuOnQ9rym-h,"okres Žilina",Žilina,"Staré mesto"
JuFNpzHutiG,"okres Žilina",Žilina,Hliny
JuZ8UmPHnMd,"okres Čadca",Staškov,Staškov
JuWLCChouGh,"okres Martin",Sučany,Sučany
JuS6qI_HXQ_,"okres Žilina",Žilina,Bôrik
JuvIFSCKDaN,"okres Martin",Martin,Priekopa
JuJITXm9Zsf,"okres Liptovský Mikuláš","Liptovská Kokava","Liptovská Kokava"
JueaFakyLvY,"okres Žilina",Žilina,"Staré mesto"
Ju1F-eiNHx4,"okres Žilina",Žilina,"Staré mesto"
JuL3MT7o1WL,"okres Martin",Martin,Stred
Ju_qGSnLBzz,"okres Bytča",Bytča,"Thurzove sady"
JuhigkHR5x2,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
Ju5eub1EsyB,"okres Žilina",Žilina,Bôrik
JuDetN4gLGy,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
JuxJN0jj6xv,"okres Martin",Martin,Tomčany
JuQY1ZnmE4m,"okres Dolný Kubín","Dolný Kubín",Brezovec
Ju9zHP-4dng,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny
JuTy8iCXD6j,"okres Martin",Martin,Tomčany
JuMhyPasgwl,"okres Martin",Vrútky,"Horné Vrútky"
JuPet_Ep-JW,"okres Liptovský Mikuláš","Liptovský Hrádok",NULL
JuGJ3bcseaG,"okres Čadca",Čadca,Žarec
JuI3iwt9MRR,"okres Dolný Kubín","Dolný Kubín",Brezovec
JumSU3uP1r7,"okres Čadca",Oščadnica,Oščadnica
JuCyeszuCeF,"okres Čadca",Čadca,"Sídlisko 3"
JuDZ3hA20uQ,"okres Dolný Kubín",Zázrivá,Zázrivá
Ju1Cm4LoVXM,"okres Ružomberok",Ružomberok,"Staré mesto"
JuOOVFGvzwX,"okres Ružomberok","Liptovská Teplá","Liptovská Teplá"
JuuuYAHYGX8,"okres Dolný Kubín","Dolný Kubín",Brezovec
Juw69usHNF6,"okres Žilina",Žilina,"Staré mesto"
Jup6mGYDCrv,"okres Martin",Martin,Stred
Ju5R24o6GQR,"okres Dolný Kubín","Dolný Kubín",Brezovec
Ju8_AnIgnrX,"okres Čadca",Čadca,Žarec
JuY4e0DxXsH,"okres Dolný Kubín","Dolný Kubín",Stred
Jue5OG4Sl5k,"okres Žilina",Žilina,"Staré mesto"
Juo19uqWHqv,"okres Martin",Vrútky,"Horné Vrútky"
JumQaXesU-y,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuEVg7e9gge,"okres Martin",Martin,Záturčie
JuXIzNjmik_,"okres Žilina",Žilina,"Staré mesto"
Juv94EKwgh6,"okres Ružomberok","Liptovská Teplá","Liptovská Teplá"
JukKH41KaWr,"okres Martin",Martin,Stred
JuhxRDKuEfi,"okres Ružomberok","Liptovská Teplá","Liptovská Teplá"
JuRJykTdszG,"okres Martin",Sučany,Sučany
JuDJ_hnDscM,"okres Martin",Martin,Stred
JulzEF1iR1R,"okres Žilina",Žilina,"Staré mesto"
Jus2f1I5Shb,"okres Žilina",Žilina,Hliny
JuWzCETm2y0,"okres Čadca",Čadca,Kyčerka
Ju12shpSBga,"okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
JuXnw8EKWYI,"okres Žilina",Žilina,"Staré mesto"
JuJM07aUO0O,"okres Žilina",Žilina,Hliny
JuVtdEgquxp,"okres Dolný Kubín","Dolný Kubín",Brezovec
JuP6qyzD4rb,"okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
JuP-xJVwuxh,"okres Martin","Košťany nad Turcom","Košťany nad Turcom"
Ju2skZ_XIuH,"okres Čadca",Čierne,Čierne
JuxYMJGR4NW,"okres Ružomberok",Ružomberok,Baničné
JuWx4I1iGWR,"okres Námestovo",Mútne,Mútne
Jubx4f_wHQY,"okres Žilina",Žilina,Vlčince
JuBjT8MmAiR,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
Ju8qAJxGCh0,"okres Martin",Martin,Záturčie
Ju-DovddXIY,"okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie"
Ju6ap4Twr5W,"okres Ružomberok",Ružomberok,Klačno
JuVlvDHUEHV,"okres Dolný Kubín","Dolný Kubín",Mokraď
JukzS9fkGsH,"okres Žilina",Žilina,Vlčince
Jum2zoM9dK0,"okres Žilina",Žilina,Vlčince
JuwxWNhZHvq,"okres Žilina",Žilina,"Staré mesto"
JuNh7AtADFs,"okres Čadca","Krásno nad Kysucou",Kalinov
JuoVEcjPg5o,"okres Námestovo",Rabčice,Rabčice
JuyUHlMcv_Q,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuXQxA2vSe6,"okres Žilina",Žilina,Vlčince
Jufd89QZCSO,"okres Liptovský Mikuláš","Pavčina Lehota","Pavčina Lehota"
Ju2hVjHchsA,"okres Martin",Martin,Stred
Ju9Zm5FKDvx,"okres Žilina",Žilina,Hliny
Ju_q6RS-fKo,"okres Námestovo","Oravské Veselé","Oravské Veselé"
Jutomv1SERc,"okres Martin",Martin,Jahodníky
Jukc07qMxPz,"okres Žilina",Žilina,Bytčica
JuZPdvGyLq9,"okres Žilina",Žilina,"Staré mesto"
Ju8xVwtKo3R,"okres Námestovo",Námestovo,Stred
JuIK5SS5weX,"okres Martin",Martin,Stred
JuzzHVLtL7p,"okres Tvrdošín",Tvrdošín,Medvedzie
Ju7J-Smt48P,"okres Tvrdošín",Trstená,Stred
JuvxR6XXHxE,"okres Bytča",Bytča,"Veľká Bytča"
JuRuuJuhfW8,"okres Martin",Vrútky,"Horné Vrútky"
JuZK70yldNu,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia"
JuzSqFzglhO,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuT8ujDpM1g,"okres Žilina",Žilina,"Staré mesto"
JuzmSjYalDj,"okres Martin",Vrútky,"Horné Vrútky"
Ju6pkdVbtRp,"okres Ružomberok",Ružomberok,Klačno
JudnXUbr0fH,"okres Liptovský Mikuláš",Východná,Východná
JuBIZmW7FwQ,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
JuPDRHaKHGy,"okres Žilina",Žilina,Hliny
JuD8hcoEgT4,"okres Žilina",Žilina,Vlčince
JukBZSTP0a5,"okres Turčianske Teplice","Turčianske Teplice",Stred
Ju1AcChzPhX,"okres Liptovský Mikuláš","Vyšná Boca","Vyšná Boca"
JuE-VhHgCax,"okres Žilina",Terchová,Terchová
JuBAitX8aRy,"okres Ružomberok",Ružomberok,Baničné
JuYm2hUT2pj,"okres Martin",Martin,Stred
Ju6opeOUPUx,"okres Žilina",Žilina,"Staré mesto"
JuvmTUfehMc,"okres Kysucké Nové Mesto",Rudinka,Rudinka
JuaMkijSYs-,"okres Dolný Kubín","Dolný Kubín",Brezovec
JuZL3wORd4j,"okres Liptovský Mikuláš","Liptovský Mikuláš",Stošice
JunBxeMXtVv,"okres Bytča","Veľké Rovné","Veľké Rovné"
JufXt9veplf,"okres Martin",Martin,Košúty
Ju1v-rz6S-g,"okres Žilina",Rajec,Rajec
JuK8NkfUxDo,"okres Martin","Turčianska Štiavnička","Turčianska Štiavnička"
JuhvRDg8Y4C,"okres Námestovo",Námestovo,Stred
JuqqisVRKbE,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JupIznadChw,"okres Martin",Martin,Stred
JuCtiU-W9oK,"okres Ružomberok",Ružomberok,Klačno
JuQUQOdCbAJ,"okres Žilina",Žilina,"Staré mesto"
JuEGUe9TZYw,"okres Žilina",Žilina,Vlčince
JuJTUgZNUdL,"okres Martin",Turany,Turany
JugdzCpEbZl,"okres Žilina",Žilina,Hliny
JuJ1fx159Ms,"okres Čadca",Turzovka,Stred
JuUWRcxAAYr,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JucFSMwZ-YV,"okres Martin",Martin,Priekopa
JuHBGisy5-E,"okres Ružomberok",Ružomberok,Hrabovo
JuInv_n4G9P,"okres Žilina",Žilina,"Staré mesto"
JuUFq9Wci3W,"okres Martin",Martin,Ľadoveň
JuBnUuJa9ic,"okres Žilina",Žilina,"Staré mesto"
Ju2txZynSMnS,"okres Námestovo",Námestovo,Brehy
Jucm4yaaOJ2,"okres Dolný Kubín","Dolný Kubín",Brezovec
JuT9LmGMkpW,"okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
JuuOQAIf3eQ,"okres Žilina",Žilina,"Staré mesto"
JuhSIJae8jB,"okres Liptovský Mikuláš",Smrečany,Smrečany
Ju20KERTu8I,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny
JuGfHZevCsA,"okres Martin",Martin,Stred
JufXjo0g1k9,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
JuPNe1hyDeq,"okres Bytča",Bytča,"Veľká Bytča"
Jumt5qe1Qm47,"okres Ružomberok",Ružomberok,Klačno
JuI6MQ6tc2T,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia"
Ju4eeNbxgyr,"okres Žilina",Žilina,Solinky
JuN3wzC2QtN,"okres Martin",Martin,Sever
JuZdOmvD2ic,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuQG3Tg2HJV,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
Ju7i7kUX31N,"okres Námestovo",Lokca,Lokca
JuT7xzp7Ax-,"okres Martin",Martin,Stred
JuTL4AQg4bH,"okres Martin",Martin,Jahodníky
JuYNcMLobvd,"okres Žilina",Žilina,Trnové
JuCgojI4KWH,"okres Čadca",Čadca,Žarec
JukjSccuSX6,"okres Martin",Vrútky,NULL
JuvuB2q_3M4,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
Jum788VaVl8,"okres Žilina",Žilina,"Staré mesto"
JuRDv8rOGAN,"okres Bytča",Bytča,"Veľká Bytča"
JuguMiG6Pot,"okres Žilina",Rajec,Rajec
JunSqXxyUya,"okres Žilina",Žilina,"Staré mesto"
Juzl0Ycup_I,"okres Martin",Martin,"Martinské hole"
JuMrpN3u-gh,"okres Žilina",Žilina,Hájik
JuG-jkKlogR,"okres Martin",Martin,Stred
Ju-seNslb4u,"okres Martin",Martin,Priekopa
JuKxd6XdpfQ,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuddoVYZYie,"okres Ružomberok","Liptovská Teplá","Liptovská Teplá"
Ju4lN_U1N_8,"okres Liptovský Mikuláš","Liptovský Mikuláš",Stošice
JuNQHesGhEl,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
Juv6SZd0pv9,"okres Martin",Vrútky,NULL
Ju01CyxoHbS,"okres Žilina",Terchová,Terchová
JuQxdKNuhGj,"okres Žilina",Žilina,"Staré mesto"
JuMc4nt1NbY,"okres Liptovský Mikuláš","Liptovský Hrádok",Celiny
JuykyParod3,"okres Bytča","Veľké Rovné","Veľké Rovné"
Ju4N6fIAndO,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Ondrašová"
JuiNHN3K-2n,"okres Čadca",Staškov,Staškov
JucceUznreI,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuzGrB3SDsa,"okres Martin",Vrútky,"Horné Vrútky"
JuCJs2os-i-x,"okres Martin",Martin,Stred
Ju3z3M9TPDa,"okres Žilina",Žilina,Závodie
JuDxBcaveH8,"okres Martin",Vrútky,"Horné Vrútky"
Ju_5trjiiyY,"okres Žilina",Žilina,Solinky
Juo9yc6U_zm,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Stred
JueZYUzuLYA,"okres Ružomberok",Bešeňová,Bešeňová
