offer_id,price,price_m2
JuK8NkfUxDo,45300.00,670.71
JuqqisVRKbE,NULL,NULL
JupIznadChw,1.00,0.02
JuCtiU-W9oK,136400.00,1897.08
JuQUQOdCbAJ,199999.00,1904.75
JuJTUgZNUdL,98000.00,1361.11
JugdzCpEbZl,139888.00,2543.42
JuJ1fx159Ms,104000.00,1600.00
JuUWRcxAAYr,87500.00,1314.80
JucFSMwZ-YV,206000.00,2479.24
JuHBGisy5-E,159000.00,2338.24
JuInv_n4G9P,204749.00,5249.97
JuBnUuJa9ic,218073.00,3894.16
Ju2txZynSMnS,199000.00,2267.03
Jucm4yaaOJ2,189900.00,2463.35
JuT9LmGMkpW,99900.00,4540.91
JuuOQAIf3eQ,217500.00,3398.44
JuhSIJae8jB,155000.00,3229.17
Ju20KERTu8I,125000.00,2118.64
Jumt5qe1Qm47,NULL,NULL
JuI6MQ6tc2T,190000.00,3207.29
JuZdOmvD2ic,224000.00,2892.94
JuQG3Tg2HJV,345000.00,6900.00
JuT7xzp7Ax-,139990.00,2313.88
JuCgojI4KWH,135000.00,1824.32
JukjSccuSX6,NULL,NULL
JuvuB2q_3M4,480500.00,9662.18
Jum788VaVl8,136900.00,4148.48
JuguMiG6Pot,NULL,NULL
JunSqXxyUya,136900.00,4148.48
Juzl0Ycup_I,299000.00,5339.29
JuMrpN3u-gh,166743.00,3547.72
Ju-seNslb4u,100000.00,1818.18
JuddoVYZYie,75900.00,2780.22
Ju4lN_U1N_8,237400.00,2610.51
JuNQHesGhEl,187000.00,2860.64
Juv6SZd0pv9,NULL,NULL
Ju01CyxoHbS,232120.68,4901.20
JuQxdKNuhGj,179990.00,2117.53
JuMc4nt1NbY,256166.00,2152.66
Ju4N6fIAndO,166900.00,2454.41
JuiNHN3K-2n,74537.00,1835.43
JucceUznreI,125000.00,2327.75
JuCJs2os-i-x,123000.00,3166.02
Ju3z3M9TPDa,157000.00,3019.23
JuDxBcaveH8,149900.00,1763.53
Ju_5trjiiyY,163000.00,3326.53
Juo9yc6U_zm,154000.00,2231.88
JueZYUzuLYA,129000.00,4300.00
Juqo1hWp_Zj,NULL,NULL
JueVCjlarhT,NULL,NULL
JuX7LFsuKfI,118500.00,2235.85
Ju2PTXS03nR,129000.00,1767.12
Ju1Fw0u3Cah,145000.00,2042.25
JuckFfec6yi,170000.00,1981.35
JuiYPO6c35-,NULL,NULL
Jup8gJ48Fqt,235698.75,4489.50
Jub6sy4N9gp,169050.00,4293.88
Ju28AQVsAqz,129900.00,NULL
JuuVvHxxC-m,141900.00,2150.00
Jumr_ISbK0Z,249193.00,3344.87
JuxXBGk_4Zo,NULL,NULL
JudTaFLI7V1,93000.00,3152.54
JulUy_Gy-T7,82000.00,2284.76
JuTgtQtwGXl,145900.00,2431.67
JuAoUEm3GbZ,110000.00,1486.49
JuZFiZ0fwgL,159000.00,2944.44
JuH6sKr2JgO,109000.00,3892.86
Ju34-Gac91u,239999.00,4907.96
Ju7lDmg4T0n,NULL,NULL
JuR7qWw7H0C,344400.00,4200.00
Ju6FesX3XoQ,99000.00,1523.08
JuTBls071FE,72500.00,3815.79
JukANoj_iFm,NULL,NULL
Juj0AUCC2FC,335000.00,6090.91
Juh1ylk55iy,NULL,NULL
JupjDJ9XYhE,369000.00,3804.12
JuN-Pnp6KBM,104900.00,1613.85
JuPcc0iMceY,129900.00,3330.77
JudyIRiA8kq,350000.00,6730.77
JuUZC8aojHf,NULL,NULL
JuMZVzeIVRp,124166.00,3547.60
Ju892FRo72v,288800.00,4734.43
JuODe5tlbwG,220000.00,2244.90
JulQn0N46Be,242000.00,4916.70
Ju1BpgSKaaX,123490.00,1960.16
JuVTyDRO6Fo,160000.00,2000.00
JueuOSIj-04,1.00,0.01
JutPVr1bWDy,109900.00,1630.56
JuuAb4gfi_M,130000.00,2888.89
Ju90gNOpUS1,274100.00,2692.80
Ju1vHkMA9-i,249900.00,2716.30
Ju-a60L4yJH,224000.00,4278.07
JuWACwgZ0JW,149900.00,1784.52
JuhldTbf0YC,147684.00,2272.06
Ju-zlCEP8xA,346000.00,7521.74
JuyMZex0bdp,250000.00,4464.29
Jux3XqE2ppP,299900.00,6910.14
JuCx6JHdbha,216900.00,3336.92
Jul4B6HJsMz,94900.00,2791.18
JuITiNm8gMP,179000.00,2796.88
JuZyhdrORR4,188600.00,2690.44
Jun_e5pu1kO,248900.00,2928.24
JuD2CR5HuKc,69300.00,1540.00
Ju4j49rCz8N,NULL,NULL
Ju5mXWZ29s_,95000.00,1756.01
Jurvv0ZHBuR,NULL,NULL
JuAxXn7nLOP,225000.00,1240.83
JuHpUtcCNg-,NULL,NULL
JuQIDFd_kHU,241672.86,4989.12
JudmgOWhHLZ1,108656.00,1790.64
Ju0hF7AM_5h,143900.00,2213.85
JuEeA2GuHj3,135000.00,1387.46
JuDDQHUehhw,109900.00,2113.46
Ju0xJVhINu5,NULL,NULL
JuTiMVE781u,NULL,NULL
JuV9QF4vC1L,155000.00,2246.38
JumNtvscU-s,299900.00,6910.14
JuSTl0QkI_h,159000.00,2338.24
JuJZPVcldrZ,324900.00,3143.08
JuSSppam0PC,133280.00,3949.04
JucYBy-FPZ5,210900.00,3418.15
JuTc88Wux9w,113000.00,2017.86
Ju-cD3Eglt7,112325.00,2354.82
Jua8nBfq4pP,188000.00,2065.93
JuYUZodjDKp,79999.00,879.11
Ju5Yoj_C-t-,165000.00,2946.43
Ju0FWK0oDmX,141523.00,3931.19
